Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Leon Draisaitl, Healthy, Edm, LW- C, SALT, @Ari, W 5-3, 1, 2, 2, 2, 0, 1, 1, 0, 0, 1, 10, 8, 0, 8, 2, 0, 11.35
Connor McDavid, Healthy, Edm, C, DINK, @Ari, W 5-3, 1, 2, 2, 2, 0, 1, 1, 0, 0, 0, 4, 7, 0, 6, 3, 0, 9.95
Timo Meier, Healthy, SJ, RW- LW, SALT, Ott, W 6-3, 1, 1, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 3, 2, 9.55
Rasmus Sandin, IR, Tor, D, FA, @LA, W 6-2, 1, 0, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 6.95
John Tavares, Healthy, Tor, C, HERB, @LA, W 6-2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 10, 5, 0, 3, 0, 1, 6.8
Alex Ovechkin, DTD, Wsh, LW, BOWS, Mon, W 6-3, 1, 0, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 6.75
Chandler Stephenson, Healthy, VGK, C- RW, FA, @Nsh, W 5-2, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 9, 12, 0, 5, 1, 2, 6.75
Kevin Rooney, Healthy, NYR, C- LW, FA, @NYI, W 4-1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 2, 0, 3, 0, 1, 6.7
Charlie Coyle, Healthy, Bos, C, FA, @Buf, W 5-1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1, 8, 8, 0, 4, 0, 1, 6.65
Zack Kassian, Healthy, Edm, RW, FA, @Ari, W 5-3, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 6.5
Dmitry Orlov, Healthy, Wsh, D, ME, Mon, W 6-3, 1, 1, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 6.4
Ryan Reaves, Healthy, NYR, RW, FA, @NYI, W 4-1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 6.3
Auston Matthews, Healthy, Tor, C, BOWS, @LA, W 6-2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 7, 4, 0, 6, 0, 2, 6.2
Dylan Larkin, O, Det, C, CLB, StL, W 4-2, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 12, 4, 0, 1, 1, 0, 6.2
Aaron Ekblad, IR, Fla, D, HERB, Phi, W 2-1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 1, 0, 0, 0, 4, 1, 2, 6.05
Chris Kreider, DTD, NYR, LW- RW, NBUS, @NYI, W 4-1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 5.9
Robby Fabbri, IR, Det, C- LW, FA, StL, W 4-2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 5.9
Patrice Bergeron, Healthy, Bos, C, CLB, @Buf, W 5-1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 12, 2, 0, 5, 2, 0, 5.85
Clayton Keller, IR, Ari, C- LW- RW, FA, Edm, L 3-5, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 0, 0, 5.7
Michael Bunting, O, Tor, LW, BOWS, @LA, W 6-2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 5.7
Nazem Kadri, Healthy, Col, C, ME, Ana, W 5-2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 16, 9, 0, 4, 0, 0, 5.6
Nic Dowd, Healthy, Wsh, C, FA, Mon, W 6-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 7, 8, 0, 1, 5, 0, 5.5
Evgeny Kuznetsov, Healthy, Wsh, C, HERB, Mon, W 6-3, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 13, 11, 0, 2, 1, 0, 5.45
Logan Couture, Healthy, SJ, C, CLB, Ott, W 6-3, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 10, 12, 0, 5, 1, 1, 5.35
Mark Stone, Healthy, VGK, RW, DINK, @Nsh, W 5-2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 5.3
Nick Foligno, Healthy, Bos, LW- RW, FA, @Buf, W 5-1, 1, 0, 2, 2, 5, 0, 0, 0, 0, 0, 1, 0, 0, 2, 5, 0, 5.3
Sonny Milano, Healthy, Ana, LW, FA, @Col, L 2-5, 1, 2, 0, -1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 5.2
Josh Norris, Healthy, Ott, C, OXP, @SJ, L 3-6, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 8, 12, 0, 4, 2, 4, 5.1
Sam Bennett, Healthy, Fla, LW- C, BOWS, Phi, W 2-1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 5, 9, 0, 6, 3, 0, 5.1
Nico Hischier, DTD, NJ, C, OXP, Min, L 2-3, 1, 0, 2, 1, 4, 0, 0, 0, 0, 0, 12, 5, 0, 2, 2, 1, 5.1
Mario Ferraro, Healthy, SJ, D, NBUS, Ott, W 6-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 5.1
Vladislav Gavrikov, Healthy, Cls, D, FA, Wpg, W 3-0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 5.1
Adam Erne, Healthy, Det, LW- RW, FA, StL, W 4-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 3, 1, 1, 5.1
Alex Pietrangelo, Healthy, VGK, D, BOWS, @Nsh, W 5-2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3, 4.9
Cale Makar, Healthy, Col, D, DINK, Ana, W 5-2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2, 4.8
Jonas Brodin, Healthy, Min, D, FA, @NJ, W 3-2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 4, 4.75
John Carlson, Healthy, Wsh, D, ME, Mon, W 6-3, 1, 1, 1, -1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 4.7
Ivan Provorov, Healthy, Phi, D, LKR, @Fla, L 1-2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 4, 4.7
Mike Reilly, Healthy, Bos, D, FA, @Buf, W 5-1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 2, 4.7
Filip Forsberg, Healthy, Nsh, LW, CLB, VGK, L 2-5, 1, 2, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4.6
Pierre Engvall, Healthy, Tor, LW- C- RW, FA, @LA, W 6-2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 4.55
Brady Tkachuk, Healthy, Ott, LW- C, BOWS, @SJ, L 3-6, 1, 1, 1, 1, 8, 0, 0, 0, 0, 0, 4, 4, 0, 4, 3, 0, 4.5
Tyson Barrie, Healthy, Edm, D, FA, @Ari, W 5-3, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4.5
Sean Couturier, IR, Phi, C, FA, @Fla, L 1-2, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 9, 4, 0, 8, 3, 4, 4.5
Pavel Zacha, Healthy, NJ, C- LW- RW, FA, Min, L 2-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 5, 0, 4.5
Teddy Blueger, Healthy, Pit, C- LW, FA, Van, W 4-1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 5, 0, 1, 1, 1, 4.5
David Pastrnak, Healthy, Bos, RW, CLB, @Buf, W 5-1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4.4
Zach Werenski, Healthy, Cls, D, DINK, Wpg, W 3-0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4.4
Alexander Kerfoot, Healthy, Tor, C- LW, FA, @LA, W 6-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 0, 2, 1, 2, 4.4
Brock McGinn, Healthy, Pit, LW, FA, Van, W 4-1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 4.4
Nico Sturm, Healthy, Col, C, FA, Ana, W 5-2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 0, 3, 2, 1, 4.4
Sean Durzi, Healthy, LA, D, HERB, Tor, L 2-6, 1, 1, 1, -2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 4.35
Gregory Hofmann, O, Cls, LW- C- RW, FA, Wpg, W 3-0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 4.3
Viktor Arvidsson, Healthy, LA, RW- LW, OXP, Tor, L 2-6, 1, 1, 1, -3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 2, 4.25
Thomas Chabot, Healthy, Ott, D, ME, @SJ, L 3-6, 1, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 4.2
Erik Karlsson, O, SJ, D, FA, Ott, W 6-3, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 4.2
Wayne Simmonds, Healthy, Tor, RW, FA, @LA, W 6-2, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4.2
Adam Brooks, Healthy, Wpg, C, FA, @Cls, L 0-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 4, 4, 0, 2, 0, 1, 4.2
Erik Johnson, Healthy, Col, D, CLB, Ana, W 5-2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 4.1
Zach Aston-Reese, Healthy, Ana, C- LW, FA, @Col, L 2-5, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 4.1
Tomas Hertl, Healthy, SJ, C, BBS, Ott, W 6-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 0, 1, 1, 1, 4.0
Luke Schenn, Healthy, Van, D, BOWS, @Pit, L 1-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 4.0
Marcus Pettersson, Healthy, Pit, D, FA, Van, W 4-1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 4.0
Taylor Hall, Healthy, Bos, LW, FA, @Buf, W 5-1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3.9
Artturi Lehkonen, Healthy, Col, LW- RW, FA, Ana, W 5-2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3.9
Nick Jensen, Healthy, Wsh, D, FA, Mon, W 6-3, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3.9
Nicolas Aube-Kubel, Healthy, Col, RW, FA, Ana, W 5-2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3.9
Gabriel Landeskog, O, Col, LW, DINK, Ana, W 5-2, 1, 0, 2, 1, 2, 0, 1, 0, 0, 0, 2, 3, 0, 4, 0, 0, 3.85
Zach Whitecloud, Healthy, VGK, D, CLB, @Nsh, W 5-2, 1, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 3.8
Jake Evans, Healthy, Mon, RW- C, FA, @Wsh, L 3-6, 1, 1, 1, -1, 0, 0, 0, 0, 0, 0, 9, 5, 0, 4, 0, 0, 3.8
Bo Horvat, DTD, Van, C, BBS, @Pit, L 1-4, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 10, 9, 0, 4, 3, 1, 3.7
Valeri Nichushkin, Healthy, Col, RW- LW, DINK, Ana, W 5-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 3.6
Jared McCann, Healthy, Sea, LW- C, FA, Car, W 2-1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 2, 5, 0, 1, 1, 1, 3.6
Ryan Hartman, Healthy, Min, RW- C, OXP, @NJ, W 3-2, 1, 1, 0, 1, 4, 0, 0, 0, 0, 0, 6, 9, 0, 3, 3, 1, 3.5
Rasmus Ristolainen, O, Phi, D, BBS, @Fla, L 1-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 3.5
Jason Spezza, Healthy, Tor, C, FA, @LA, W 6-2, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 9, 6, 0, 2, 0, 0, 3.5
Rudolfs Balcers, Healthy, SJ, LW- RW, FA, Ott, W 6-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 2, 3.5
Ryan Murray, DTD, Col, D, FA, Ana, W 5-2, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3.5
Mikko Rantanen, DTD, Col, RW, HERB, Ana, W 5-2, 1, 0, 1, 2, 2, 0, 1, 0, 0, 0, 6, 4, 0, 4, 1, 0, 3.45
Shayne Gostisbehere, Healthy, Ari, D, FA, Edm, L 3-5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 3.4
Andrew Peeke, Healthy, Cls, D, FA, Wpg, W 3-0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3.4
Kris Russell, Healthy, Edm, D, FA, @Ari, W 5-3, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3.4
Nick Bonino, Healthy, SJ, C, FA, Ott, W 6-3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 5, 3, 0, 2, 0, 1, 3.4
Marcus Johansson, Healthy, Wsh, LW, FA, Mon, W 6-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 0, 0, 3.4
Bryan Rust, Healthy, Pit, RW, NBUS, Van, W 4-1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 3.2
Jesper Bratt, Healthy, NJ, RW, FA, Min, L 2-3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 3.2
Tyler Bertuzzi, Healthy, Det, LW- RW, BOWS, StL, W 4-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 3.1
Evan Rodrigues, Healthy, Pit, C- RW, FA, Van, W 4-1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 5, 0, 3, 0, 0, 3.1
Andy Andreoff, Healthy, NYI, LW, FA, NYR, L 1-4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 3.1
Jacob Trouba, O, NYR, D, BBS, @NYI, W 4-1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 3.1
Tom Wilson, Healthy, Wsh, RW, ME, Mon, W 6-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3.1
Barclay Goodrow, Healthy, NYR, RW- C- LW, FA, @NYI, W 4-1, 1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 9, 11, 0, 1, 3, 0, 3.1
Frederick Gaudreau, Healthy, Min, C- LW, FA, @NJ, W 3-2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 4, 5, 0, 1, 1, 1, 3.05
Jamie Drysdale, Healthy, Ana, D, FA, @Col, L 2-5, 1, 0, 2, -1, 4, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3.0
