Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Jonathan Huberdeau, Healthy, Fla, LW, LKR, Buf, W 7-4, 1, 1, 4, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0, 9.95
Kirill Kaprizov, Healthy, Min, LW, CLB, NJ, W 5-2, 1, 2, 1, 4, 0, 0, 0, 0, 0, 1, 1, 1, 0, 4, 0, 0, 8.9
Aaron Ekblad, IR, Fla, D, HERB, Buf, W 7-4, 1, 2, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8.9
Victor Hedman, Healthy, TB, D, NBUS, StL, W 4-2, 1, 2, 1, 2, 4, 0, 1, 0, 0, 1, 0, 0, 0, 5, 0, 1, 8.35
Sam Reinhart, Healthy, Fla, RW, SALT, Buf, W 7-4, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 0, 8.3
Ryan Hartman, Healthy, Min, RW- C, OXP, NJ, W 5-2, 1, 1, 2, 4, 2, 0, 0, 0, 0, 0, 5, 6, 0, 10, 0, 1, 8.2
MacKenzie Weegar, Healthy, Fla, D, HERB, Buf, W 7-4, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 3, 4, 7.75
Valeri Nichushkin, Healthy, Col, RW- LW, DINK, @Mon, W 4-1, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 2, 2, 7.5
Anton Lundell, O, Fla, C, BBS, Buf, W 7-4, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 5, 7, 0, 5, 0, 2, 7.3
Seth Jones, Healthy, Chi, D, CLB, @Wsh, W 4-3, 1, 1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6, 7.2
Alexander Edler, O, LA, D, FA, Cgy, L 2-3, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 6.2
Jason Robertson, Healthy, Dal, LW, SALT, Cls, W 3-2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 5.9
Vinnie Hinostroza, Healthy, Buf, RW, FA, @Fla, L 4-7, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 5.8
Alex Goligoski, Healthy, Min, D, FA, NJ, W 5-2, 1, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5.5
Alex DeBrincat, Healthy, Chi, LW, OXP, @Wsh, W 4-3, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 7, 2, 1, 5.45
Andrew Mangiapane, Healthy, Cgy, LW- RW, FA, @LA, W 3-2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1, 5.35
Timo Meier, Healthy, SJ, RW- LW, SALT, @NYI, W 2-1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 5.3
Lucas Carlsson, Healthy, Fla, D, FA, Buf, W 7-4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 5.3
Dylan Cozens, Healthy, Buf, C, FA, @Fla, L 4-7, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 7, 8, 0, 2, 2, 1, 5.2
Alex Formenton, Healthy, Ott, LW, FA, @Car, W 3-2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5.2
Nic Dowd, Healthy, Wsh, C, FA, Chi, L 3-4, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 4, 11, 0, 2, 6, 0, 5.1
Tyler Ennis, IR, Ott, LW- RW, FA, @Car, W 3-2, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 1, 5.0
Jani Hakanpaa, Healthy, Dal, D, NBUS, Cls, W 3-2, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 4.9
