Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Jeremy Swayman, Healthy, Bos, G, BBS, Phi, W 6-0, 1, 1, 0, 0, 29, 1, 8.9
Jake Oettinger, Healthy, Dal, G, LKR, @Vgk, W 4-0, 1, 1, 0, 0, 27, 1, 8.7
Juuse Saros, Healthy, Nsh, G, SALT, Cgy, W 2-1, 1, 1, 0, 1, 38, 0, 7.3
Jordan Binnington, Healthy, StL, G, SLC, Ott, W 2-1, 1, 1, 0, 1, 32, 0, 6.7
Sergei Bobrovsky, DTD, Fla, G, SLC, @Buf, W 4-1, 1, 1, 0, 1, 28, 0, 6.3
Jaroslav Halak, Healthy, NYR, G, FA, @Cls, W 3-1, 1, 1, 0, 1, 24, 0, 5.9
Andrei Vasilevskiy, Healthy, TB, G, LKR, @Sea, W 4-1, 1, 1, 0, 1, 22, 0, 5.7
Vitek Vanecek, Healthy, NJ, G, CLB, @SJ, W 4-3, 1, 1, 0, 3, 29, 0, 5.4
Darcy Kuemper, Healthy, Wsh, G, SALT, @NYI, W 4-3, 1, 1, 0, 3, 27, 0, 5.2
Pavel Francouz, O, Col, G, FA, Det, W 6-3, 1, 1, 0, 3, 26, 0, 5.1
Casey DeSmith, Healthy, Pit, G, FA, Ana, W 4-3, 1, 1, 0, 3, 26, 0, 5.1
James Reimer, Healthy, SJ, G, FA, NJ, L 3-4, 1, 0, 0, 3, 38, 0, 2.3
John Gibson, Healthy, Ana, G, ME, @Pit, L 3-4, 1, 0, 0, 4, 41, 0, 2.1
Ilya Sorokin, Healthy, NYI, G, CLB, Wsh, L 3-4, 1, 0, 0, 4, 31, 0, 1.1
Jacob Markstrom, Healthy, Cgy, G, OXP, @Nsh, L 1-2, 1, 0, 1, 2, 27, 0, 0.7
Logan Thompson, DTD, Vgk, G, DINK, Dal, L 0-4, 1, 0, 1, 3, 32, 0, 0.7
Philipp Grubauer, Healthy, Sea, G, BBS, TB, L 1-4, 1, 0, 1, 2, 27, 0, 0.7
Elvis Merzlikins, DTD, Cls, G, FA, NYR, L 1-3, 1, 0, 1, 3, 30, 0, 0.5
Ukko-Pekka Luukkonen, Healthy, Buf, G, BOWS, Fla, L 1-4, 1, 0, 1, 3, 30, 0, 0.5
Samuel Ersson, Healthy, Phi, G, FA, @Bos, L 0-6, 0, 0, 0, 2, 11, 0, 0.1
Igor Shesterkin, Healthy, NYR, G, DINK, @Cls, W 3-1, 0, 0, 0, 0, 0, 0, --
Linus Ullmark, Healthy, Bos, G, SALT, Phi, W 6-0, 0, 0, 0, 0, 0, 0, --
Alexandar Georgiev, Healthy, Col, G, SLC, Det, W 6-3, 0, 0, 0, 0, 0, 0, --
Tristan Jarry, Healthy, Pit, G, HERB, Ana, W 4-3, 0, 0, 0, 0, 0, 0, --
Martin Jones, Healthy, Sea, G, DINK, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Spencer Knight, IR, Fla, G, FA, @Buf, W 4-1, 0, 0, 0, 0, 0, 0, --
Joonas Korpisalo, Healthy, LA, G, DINK, --, --, 0, 0, 0, 0, 0, 0, --
Adin Hill, O, Vgk, G, FA, Dal, L 0-4, 0, 0, 0, 0, 0, 0, --
Semyon Varlamov, Healthy, NYI, G, FA, Wsh, L 3-4, 0, 0, 0, 0, 0, 0, --
Anton Forsberg, IR, Ott, G, FA, @StL, L 1-2, 0, 0, 0, 0, 0, 0, --
Craig Anderson, O, Buf, G, FA, Fla, L 1-4, 0, 0, 0, 0, 0, 0, --
Charlie Lindgren, O, Wsh, G, FA, @NYI, W 4-3, 0, 0, 0, 0, 0, 0, --
Joel Hofer, Healthy, StL, G, FA, Ott, W 2-1, 0, 0, 0, 0, 0, 0, --
Eric Comrie, Healthy, Buf, G, FA, Fla, L 1-4, 0, 0, 0, 0, 0, 0, --
Robin Lehner, IR, Vgk, G, FA, Dal, L 0-4, 0, 0, 0, 0, 0, 0, --
Dan Vladar, Healthy, Cgy, G, FA, @Nsh, L 1-2, 0, 0, 0, 0, 0, 0, --
Mackenzie Blackwood, Healthy, NJ, G, FA, @SJ, W 4-3, 0, 0, 0, 0, 0, 0, --
Mads Sogaard, DTD, Ott, G, FA, @StL, L 1-2, 0, 0, 0, 0, 0, 0, --
Akira Schmid, Healthy, NJ, G, FA, @SJ, W 4-3, 0, 0, 0, 0, 0, 0, --
Alex Nedeljkovic, Healthy, Det, G, FA, @Col, L 3-6, 0, 0, 0, 0, 0, 0, --
Kevin Lankinen, Healthy, Nsh, G, FA, Cgy, W 2-1, 0, 0, 0, 0, 0, 0, --
Alex Lyon, Healthy, Fla, G, FA, @Buf, W 4-1, 0, 0, 0, 0, 0, 0, --
Laurent Brossoit, Healthy, Vgk, G, FA, Dal, L 0-4, 0, 0, 0, 0, 0, 0, --
Brian Elliott, Healthy, TB, G, FA, @Sea, W 4-1, 0, 0, 0, 0, 0, 0, --
Kaapo Kahkonen, Healthy, SJ, G, FA, NJ, L 3-4, 0, 0, 0, 0, 0, 0, --
Scott Wedgewood, O, Dal, G, FA, @Vgk, W 4-0, 0, 0, 0, 0, 0, 0, --
Thomas Greiss, DTD, StL, G, FA, Ott, W 2-1, 0, 0, 0, 0, 0, 0, --
Lukas Dostal, Healthy, Ana, G, FA, @Pit, L 3-4, 0, 0, 0, 0, 0, 0, --
Jonas Johansson, Healthy, Col, G, FA, Det, W 6-3, 0, 0, 0, 0, 0, 0, --
Yaroslav Askarov, Healthy, Nsh, G, FA, Cgy, W 2-1, 0, 0, 0, 0, 0, 0, --
Keith Kinkaid, Healthy, Col, G, FA, Det, W 6-3, 0, 0, 0, 0, 0, 0, --
Tuukka Rask, Healthy, Bos, G, FA, Phi, W 6-0, 0, 0, 0, 0, 0, 0, --
Felix Sandstrom, Healthy, Phi, G, FA, @Bos, L 0-6, 0, 0, 0, 0, 0, 0, --
Malcolm Subban, Healthy, Buf, G, FA, Fla, L 1-4, 0, 0, 0, 0, 0, 0, --
Michael Hutchinson, Healthy, Cls, G, FA, NYR, L 1-3, 0, 0, 0, 0, 0, 0, --
Anthony Stolarz, IR, Ana, G, FA, @Pit, L 3-4, 0, 0, 0, 0, 0, 0, --
Dustin Wolf, Healthy, Cgy, G, FA, @Nsh, L 1-2, 0, 0, 0, 0, 0, 0, --
Daniil Tarasov, Healthy, Cls, G, FA, NYR, L 1-3, 0, 0, 0, 0, 0, 0, --
Braden Holtby, O, Dal, G, FA, @Vgk, W 4-0, 0, 0, 0, 0, 0, 0, --
Pekka Rinne, Healthy, Nsh, G, FA, Cgy, W 2-1, 0, 0, 0, 0, 0, 0, --
Justus Annunen, Healthy, Col, G, FA, Det, W 6-3, 0, 0, 0, 0, 0, 0, --
Joey Daccord, Healthy, Sea, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Louis Domingue, Healthy, NYR, G, FA, @Cls, W 3-1, 0, 0, 0, 0, 0, 0, --
Anton Khudobin, Healthy, Chi, G, FA, --, --, 0, 0, 0, 0, 0, 0, --
Devan Dubnyk, Healthy, Col, G, FA, Det, W 6-3, 0, 0, 0, 0, 0, 0, --
Chris Driedger, IR, Sea, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Dustin Tokarski, Healthy, Pit, G, FA, Ana, W 4-3, 0, 0, 0, 0, 0, 0, --
Ryan Miller, Healthy, Ana, G, FA, @Pit, L 3-4, 0, 0, 0, 0, 0, 0, --
Jonathan Bernier, IR, NJ, G, FA, @SJ, W 4-3, 0, 0, 0, 0, 0, 0, --
Nico Daws, Healthy, NJ, G, FA, @SJ, W 4-3, 0, 0, 0, 0, 0, 0, --
Christopher Gibson, Healthy, Sea, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Aaron Dell, Healthy, SJ, G, FA, NJ, L 3-4, 0, 0, 0, 0, 0, 0, --
Cory Schneider, Healthy, NYI, G, FA, Wsh, L 3-4, 0, 0, 0, 0, 0, 0, --
Curtis McElhinney, Healthy, TB, G, FA, @Sea, W 4-1, 0, 0, 0, 0, 0, 0, --
