Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Thatcher Demko, IR, Van, G, BOWS, Chi, W 2-0, 1, 1, 0, 0, 31, 1, 9.1
Kaapo Kahkonen, Healthy, NJ, G, FA, Vgk, W 6-5, 1, 1, 0, 3, 44, 0, 6.9
Anthony Stolarz, Healthy, Fla, G, FA, @Nsh, W 4-1, 1, 1, 0, 1, 26, 0, 6.1
Jeremy Swayman, Healthy, Bos, G, SALT, Wpg, W 4-1, 1, 1, 0, 1, 20, 0, 5.5
Connor Ingram, Healthy, Ari, G, OXP, Pit, W 5-2, 1, 1, 0, 2, 25, 0, 5.5
Vitek Vanecek, IR, SJ, G, BOWS, @LA, W 4-3, 1, 1, 0, 5, 27, 0, 4.2
Juuse Saros, Healthy, Nsh, G, SALT, Fla, L 1-4, 1, 0, 1, 2, 34, 0, 1.4
David Rittich, Healthy, LA, G, HERB, SJ, L 3-4, 1, 0, 0, 3, 24, 0, 0.9
Petr Mrazek, Healthy, Chi, G, FA, @Van, L 0-2, 1, 0, 1, 2, 27, 0, 0.7
Logan Thompson, Healthy, Vgk, G, DINK, @NJ, L 5-6, 1, 0, 0, 6, 32, 0, 0.2
Linus Ullmark, Healthy, Bos, G, LKR, Wpg, W 4-1, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, @Nsh, W 4-1, --, --, --, --, --, --, --
Adin Hill, O, Vgk, G, DINK, @NJ, L 5-6, --, --, --, --, --, --, --
Cam Talbot, Healthy, LA, G, BOWS, SJ, L 3-4, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, @Nsh, W 4-1, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, DINK, Chi, W 2-0, --, --, --, --, --, --, --
Laurent Brossoit, Healthy, Wpg, G, FA, @Bos, L 1-4, --, --, --, --, --, --, --
Karel Vejmelka, Healthy, Ari, G, FA, Pit, W 5-2, --, --, --, --, --, --, --
Alex Nedeljkovic, Healthy, Pit, G, FA, @Ari, L 2-5, --, --, --, --, --, --, --
Pheonix Copley, IR, LA, G, FA, SJ, L 3-4, --, --, --, --, --, --, --
Mackenzie Blackwood, Healthy, SJ, G, FA, @LA, W 4-3, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, @NJ, L 5-6, --, --, --, --, --, --, --
Yaroslav Askarov, Healthy, Nsh, G, FA, Fla, L 1-4, --, --, --, --, --, --, --
Arvid Soderblom, Healthy, Chi, G, FA, @Van, L 0-2, --, --, --, --, --, --, --
Kevin Lankinen, Healthy, Nsh, G, FA, Fla, L 1-4, --, --, --, --, --, --, --
Jiri Patera, Healthy, Vgk, G, FA, @NJ, L 5-6, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, Wpg, W 4-1, --, --, --, --, --, --, --
Magnus Chrona, Healthy, SJ, G, FA, @LA, W 4-3, --, --, --, --, --, --, --
Arturs Silovs, Healthy, Van, G, FA, Chi, W 2-0, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, @Van, L 0-2, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, @Van, L 0-2, --, --, --, --, --, --, --
Magnus Hellberg, Healthy, Fla, G, FA, @Nsh, W 4-1, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, Wpg, W 4-1, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, @Van, L 0-2, --, --, --, --, --, --, --
Jaxson Stauber, Healthy, Chi, G, FA, @Van, L 0-2, --, --, --, --, --, --, --
Collin Delia, Healthy, Wpg, G, FA, @Bos, L 1-4, --, --, --, --, --, --, --
Eetu Makiniemi, Healthy, SJ, G, FA, @LA, W 4-3, --, --, --, --, --, --, --
Michael Hrabal, Healthy, Ari, G, FA, Pit, W 5-2, --, --, --, --, --, --, --
Jonathan Bernier, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, Fla, L 1-4, --, --, --, --, --, --, --
Andrew Hammond, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Garret Sparks, Healthy, LA, G, FA, SJ, L 3-4, --, --, --, --, --, --, --
Troy Grosenick, Healthy, Nsh, G, FA, Fla, L 1-4, --, --, --, --, --, --, --
Jeff Glass, Healthy, Chi, G, FA, @Van, L 0-2, --, --, --, --, --, --, --
Erik Kallgren, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Harri Sateri, Healthy, Ari, G, FA, Pit, W 5-2, --, --, --, --, --, --, --
Eddie Lack, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Keith Kinkaid, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Zach Sawchenko, Healthy, Van, G, FA, Chi, W 2-0, --, --, --, --, --, --, --
Josef Korenar, Healthy, Ari, G, FA, Pit, W 5-2, --, --, --, --, --, --, --
Jean-Francois Berube, Healthy, LA, G, FA, SJ, L 3-4, --, --, --, --, --, --, --
Connor Hellebuyck, Healthy, Wpg, G, HERB, @Bos, L 1-4, 1, 0, 1, 3, 17, 0, -0.8
Tristan Jarry, Healthy, Pit, G, SLC, @Ari, L 2-5, 1, 0, 1, 4, 22, 0, -0.8
Igor Shesterkin, Healthy, NYR, G, DINK, --, --, --, --, --, --, --, --, --
Alexandar Georgiev, Healthy, Col, G, SLC, --, --, --, --, --, --, --, --, --
Andrei Vasilevskiy, Healthy, TB, G, LKR, --, --, --, --, --, --, --, --, --
Ilya Sorokin, Healthy, NYI, G, CLB, --, --, --, --, --, --, --, --, --
Jake Oettinger, Healthy, Dal, G, LKR, --, --, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, --, --, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, --, --, --, --, --, --, --, --, --
Jacob Markstrom, Healthy, Cgy, G, BBS, --, --, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, --, --, --, --, --, --, --, --, --
Jordan Binnington, Healthy, StL, G, ME, --, --, --, --, --, --, --, --, --
Filip Gustavsson, Healthy, Min, G, BOWS, --, --, --, --, --, --, --, --, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, --, --, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, --, --, --, --, --, --, --, --, --
Joey Daccord, Healthy, Sea, G, FA, --, --, --, --, --, --, --, --, --
Pyotr Kochetkov, Healthy, Car, G, BBS, --, --, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, --, --, --, --, --, --, --, --, --
Charlie Lindgren, Healthy, Wsh, G, HERB, --, --, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, --, --, --, --, --, --, --, --, --
Joonas Korpisalo, Healthy, Ott, G, FA, --, --, --, --, --, --, --, --, --
Alex Lyon, Healthy, Det, G, SALT, --, --, --, --, --, --, --, --, --
Marc-Andre Fleury, Healthy, Min, G, FA, --, --, --, --, --, --, --, --, --
Ville Husso, O, Det, G, OXP, --, --, --, --, --, --, --, --, --
Jonas Johansson, Healthy, TB, G, OXP, --, --, --, --, --, --, --, --, --
Samuel Ersson, Healthy, Phi, G, BBS, --, --, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, FA, --, --, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, --, --, --, --, --, --, --, --, --
John Gibson, Healthy, Ana, G, FA, --, --, --, --, --, --, --, --, --
Semyon Varlamov, Healthy, NYI, G, FA, --, --, --, --, --, --, --, --, --
Philipp Grubauer, Healthy, Sea, G, FA, --, --, --, --, --, --, --, --, --
Jake Allen, Healthy, NJ, G, FA, Vgk, W 6-5, --, --, --, --, --, --, --
Justus Annunen, Healthy, Col, G, FA, --, --, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, --, --, --, --, --, --, --, --, --
Scott Wedgewood, Healthy, Dal, G, FA, --, --, --, --, --, --, --, --, --
Elvis Merzlikins, Healthy, Cls, G, FA, --, --, --, --, --, --, --, --, --
Sam Montembeault, Healthy, Mon, G, BOWS, --, --, --, --, --, --, --, --, --
James Reimer, Healthy, Det, G, FA, --, --, --, --, --, --, --, --, --
Lukas Dostal, Healthy, Ana, G, FA, --, --, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, --, --, --, --, --, --, --, --, --
Joel Hofer, Healthy, StL, G, FA, --, --, --, --, --, --, --, --, --
Antti Raanta, Healthy, Car, G, FA, --, --, --, --, --, --, --, --, --
Dustin Wolf, Healthy, Cgy, G, SLC, --, --, --, --, --, --, --, --, --
Jack Campbell, Healthy, Edm, G, FA, --, --, --, --, --, --, --, --, --
Anton Forsberg, Healthy, Ott, G, FA, --, --, --, --, --, --, --, --, --
Daniil Tarasov, Healthy, Cls, G, FA, --, --, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, --, --, --, --, --, --, --, --, --
Jesper Wallstedt, Healthy, Min, G, FA, --, --, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, --, --, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, --, --, --, --, --, --, --, --, --
Dan Vladar, O, Cgy, G, FA, --, --, --, --, --, --, --, --, --
Matt Murray, Healthy, Dal, G, FA, --, --, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, --, --, --, --, --, --, --, --, --
Cayden Primeau, Healthy, Mon, G, FA, --, --, --, --, --, --, --, --, --
Chris Driedger, Healthy, Sea, G, FA, --, --, --, --, --, --, --, --, --
Ivan Prosvetov, Healthy, Col, G, FA, --, --, --, --, --, --, --, --, --
Malcolm Subban, Healthy, StL, G, FA, --, --, --, --, --, --, --, --, --
Spencer Martin, Healthy, Car, G, FA, --, --, --, --, --, --, --, --, --
Pavel Francouz, IR, Col, G, FA, --, --, --, --, --, --, --, --, --
Eric Comrie, Healthy, Buf, G, FA, --, --, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, --, --, --, --, --, --, --, --, --
Braden Holtby, Healthy, Dal, G, FA, --, --, --, --, --, --, --, --, --
Sebastian Cossa, Healthy, Det, G, FA, --, --, --, --, --, --, --, --, --
Cal Petersen, Healthy, Phi, G, FA, --, --, --, --, --, --, --, --, --
