Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Marc-Andre Fleury, Healthy, Min, G, SALT, --, --, 1, 1, 0, 0, 37, 1, 9.7
Vitek Vanecek, Healthy, Wsh, G, FA, @NYI, W 2-0, 1, 1, 0, 0, 23, 1, 8.3
Alex Nedeljkovic, Healthy, Det, G, FA, Buf, W 4-0, 1, 1, 0, 0, 22, 1, 8.2
Darcy Kuemper, Healthy, Col, G, SALT, @Ari, W 5-0, 1, 1, 0, 0, 20, 1, 8.0
Louis Domingue, Healthy, Pit, G, FA, @SJ, W 2-1, 1, 1, 0, 1, 40, 0, 7.5
Frederik Andersen, DTD, Car, G, HERB, Van, W 4-1, 1, 1, 0, 1, 30, 0, 6.5
Sergei Bobrovsky, Healthy, Fla, G, SALT, Cls, W 9-2, 1, 1, 0, 2, 28, 0, 5.8
Igor Shesterkin, Healthy, NYR, G, DINK, @Phi, W 3-2, 1, 1, 0, 2, 26, 0, 5.6
Andrei Vasilevskiy, Healthy, TB, G, LKR, Dal, W 3-1, 1, 1, 0, 1, 19, 0, 5.4
Matt Murray, IR, Ott, G, FA, @Edm, W 6-4, 1, 1, 0, 4, 33, 0, 5.3
Cal Petersen, Healthy, LA, G, FA, @Sea, W 3-1, 1, 1, 0, 1, 17, 0, 5.2
Linus Ullmark, Healthy, Bos, G, CLB, Nsh, W 4-3, 1, 1, 0, 3, 26, 0, 5.1
Jack Campbell, Healthy, Tor, G, OXP, @StL, W 6-5, 1, 1, 0, 5, 20, 0, 3.5
Juuse Saros, O, Nsh, G, BOWS, @Bos, L 3-4, 1, 0, 0, 4, 40, 0, 2.0
Semyon Varlamov, Healthy, NYI, G, FA, Wsh, L 0-2, 1, 0, 1, 1, 34, 0, 1.9
Adin Hill, O, SJ, G, FA, Pit, L 1-2, 1, 0, 0, 2, 25, 0, 1.5
Lukas Dostal, Healthy, Ana, G, FA, @Chi, L 0-3, 1, 0, 1, 2, 33, 0, 1.3
Anton Khudobin, O, Dal, G, FA, @TB, L 1-3, 1, 0, 1, 2, 26, 0, 0.6
Joonas Korpisalo, O, Cls, G, FA, @Fla, L 2-9, 0, 0, 0, 5, 31, 0, 0.6
Aaron Dell, Healthy, Buf, G, FA, @Det, L 0-4, 1, 0, 1, 4, 35, 0, 0.5
Jacob Markstrom, Healthy, Cgy, G, DINK, VGK, Postponed, 0, 0, 0, 0, 0, 0, --
Tristan Jarry, O, Pit, G, DINK, @SJ, W 2-1, 0, 0, 0, 0, 0, 0, --
Ilya Sorokin, Healthy, NYI, G, CLB, Wsh, L 0-2, 0, 0, 0, 0, 0, 0, --
Mike Smith, Healthy, Edm, G, LKR, Ott, L 4-6, 0, 0, 0, 0, 0, 0, --
Robin Lehner, O, VGK, G, ME, @Cgy, Postponed, 0, 0, 0, 0, 0, 0, --
Ville Husso, Healthy, StL, G, BBS, Tor, L 5-6, 0, 0, 0, 0, 0, 0, --
Ilya Samsonov, Healthy, Wsh, G, FA, @NYI, W 2-0, 0, 0, 0, 0, 0, 0, --
Philipp Grubauer, Healthy, Sea, G, FA, LA, L 1-3, 0, 0, 0, 0, 0, 0, --
