Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Alex Nedeljkovic, Healthy, Det, G, FA, @NJ, W 3-0, 1, 1, 0, 0, 17, 1, 7.7
Martin Jones, Healthy, Phi, G, FA, Pit, W 4-1, 1, 1, 0, 1, 37, 0, 7.2
Connor Hellebuyck, Healthy, Wpg, G, ME, Col, W 4-1, 1, 1, 0, 1, 30, 0, 6.5
Elvis Merzlikins, Healthy, Cls, G, BOWS, Edm, W 5-2, 1, 1, 0, 2, 33, 0, 6.3
James Reimer, Healthy, SJ, G, OXP, @VGK, W 5-4, 1, 1, 0, 4, 42, 0, 6.2
Erik Kallgren, Healthy, Tor, G, FA, @Wsh, W 4-3, 1, 1, 0, 3, 34, 0, 5.9
Andrei Vasilevskiy, Healthy, TB, G, LKR, @Fla, W 8-4, 1, 1, 0, 4, 35, 0, 5.5
Jeremy Swayman, Healthy, Bos, G, BBS, @Mon, W 5-3, 1, 1, 0, 3, 23, 0, 4.8
Pyotr Kochetkov, Healthy, Car, G, FA, @NYI, W 5-2, 0, 1, 0, 1, 7, 0, 4.2
Marc-Andre Fleury, Healthy, Min, G, SALT, @Nsh, W 5-4, 1, 1, 0, 4, 21, 0, 4.1
Ville Husso, Healthy, StL, G, BBS, @Ana, W 6-3, 1, 1, 0, 3, 14, 0, 3.9
David Rittich, Healthy, Nsh, G, FA, Min, L 4-5, 1, 0, 0, 5, 42, 0, 1.7
Louis Domingue, Healthy, Pit, G, FA, @Phi, L 1-4, 1, 0, 1, 3, 39, 0, 1.4
Vitek Vanecek, Healthy, Wsh, G, FA, Tor, L 3-4, 1, 0, 0, 3, 27, 0, 1.2
Antti Raanta, Healthy, Car, G, FA, @NYI, W 5-2, 1, 0, 0, 1, 17, 0, 1.2
Darcy Kuemper, Healthy, Col, G, SALT, @Wpg, L 1-4, 1, 0, 1, 4, 40, 0, 1.0
Sam Montembeault, Healthy, Mon, G, FA, Bos, L 3-5, 1, 0, 1, 4, 37, 0, 0.7
Andrew Hammond, Healthy, NJ, G, FA, Det, L 0-3, 1, 0, 1, 1, 21, 0, 0.6
Logan Thompson, Healthy, VGK, G, FA, SJ, L 4-5, 1, 0, 0, 4, 25, 0, 0.5
Semyon Varlamov, Healthy, NYI, G, FA, Car, L 2-5, 1, 0, 1, 3, 29, 0, 0.4
Juuse Saros, O, Nsh, G, BOWS, Min, L 4-5, 0, 0, 0, 0, 0, 0, --
Jack Campbell, Healthy, Tor, G, OXP, @Wsh, W 4-3, 0, 0, 0, 0, 0, 0, --
Cam Talbot, Healthy, Min, G, HERB, @Nsh, W 5-4, 0, 0, 0, 0, 0, 0, --
Frederik Andersen, DTD, Car, G, HERB, @NYI, W 5-2, 0, 0, 0, 0, 0, 0, --
Tristan Jarry, O, Pit, G, DINK, @Phi, L 1-4, 0, 0, 0, 0, 0, 0, --
Ilya Sorokin, Healthy, NYI, G, CLB, Car, L 2-5, 0, 0, 0, 0, 0, 0, --
Linus Ullmark, Healthy, Bos, G, CLB, @Mon, W 5-3, 0, 0, 0, 0, 0, 0, --
Mike Smith, Healthy, Edm, G, LKR, @Cls, L 2-5, 0, 0, 0, 0, 0, 0, --
Robin Lehner, O, VGK, G, ME, SJ, L 4-5, 0, 0, 0, 0, 0, 0, --
Jordan Binnington, Healthy, StL, G, FA, @Ana, W 6-3, 0, 0, 0, 0, 0, 0, --
Ilya Samsonov, Healthy, Wsh, G, FA, Tor, L 3-4, 0, 0, 0, 0, 0, 0, --
Carter Hart, O, Phi, G, FA, Pit, W 4-1, 0, 0, 0, 0, 0, 0, --
Mackenzie Blackwood, Healthy, NJ, G, FA, Det, L 0-3, 0, 0, 0, 0, 0, 0, --
Carey Price, O, Mon, G, LKR, Bos, L 3-5, 0, 0, 0, 0, 0, 0, --
Adin Hill, O, SJ, G, FA, @VGK, W 5-4, 0, 0, 0, 0, 0, 0, --
Pavel Francouz, Healthy, Col, G, DINK, @Wpg, L 1-4, 0, 0, 0, 0, 0, 0, --
Petr Mrazek, IR, Tor, G, FA, @Wsh, W 4-3, 0, 0, 0, 0, 0, 0, --
Casey DeSmith, Healthy, Pit, G, FA, @Phi, L 1-4, 0, 0, 0, 0, 0, 0, --
Tuukka Rask, O, Bos, G, FA, @Mon, W 5-3, 0, 0, 0, 0, 0, 0, --
Kaapo Kahkonen, Healthy, SJ, G, FA, @VGK, W 5-4, 0, 0, 0, 0, 0, 0, --
Jake Allen, O, Mon, G, FA, Bos, L 3-5, 0, 0, 0, 0, 0, 0, --
Anthony Stolarz, Healthy, Ana, G, FA, StL, L 3-6, 0, 0, 0, 0, 0, 0, --
Thomas Greiss, Healthy, Det, G, FA, @NJ, W 3-0, 0, 0, 0, 0, 0, 0, --
Brian Elliott, Healthy, TB, G, FA, @Fla, W 8-4, 0, 0, 0, 0, 0, 0, --
Laurent Brossoit, IR, VGK, G, FA, SJ, L 4-5, 0, 0, 0, 0, 0, 0, --
Jonathan Bernier, IR, NJ, G, FA, Det, L 0-3, 0, 0, 0, 0, 0, 0, --
Felix Sandstrom, Healthy, Phi, G, FA, Pit, W 4-1, 0, 0, 0, 0, 0, 0, --
Joonas Korpisalo, O, Cls, G, FA, Edm, W 5-2, 0, 0, 0, 0, 0, 0, --
Eric Comrie, Healthy, Wpg, G, FA, Col, W 4-1, 0, 0, 0, 0, 0, 0, --
Charlie Lindgren, Healthy, StL, G, FA, @Ana, W 6-3, 0, 0, 0, 0, 0, 0, --
Nico Daws, Healthy, NJ, G, FA, Det, L 0-3, 0, 0, 0, 0, 0, 0, --
Stuart Skinner, Healthy, Edm, G, FA, @Cls, L 2-5, 0, 0, 0, 0, 0, 0, --
