Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Antti Raanta, Healthy, Car, G, FA, Col, W 2-0, 1, 1, 0, 0, 36, 1, 9.6
Ilya Sorokin, Healthy, NYI, G, CLB, Cls, W 6-0, 1, 1, 0, 0, 25, 1, 8.5
Eric Comrie, Healthy, Wpg, G, FA, @NJ, W 2-1, 1, 1, 0, 1, 33, 0, 6.8
Jacob Markstrom, Healthy, Cgy, G, DINK, TB, W 4-1, 1, 1, 0, 1, 30, 0, 6.5
Craig Anderson, DTD, Buf, G, FA, VGK, W 3-1, 1, 1, 0, 1, 30, 0, 6.5
Juuse Saros, O, Nsh, G, BOWS, Ana, W 4-1, 1, 1, 0, 1, 27, 0, 6.2
Sergei Bobrovsky, Healthy, Fla, G, SALT, Phi, W 6-3, 1, 1, 0, 3, 34, 0, 5.9
Zach Sawchenko, Healthy, SJ, G, FA, @LA, W 4-3, 1, 1, 0, 3, 33, 0, 5.8
Ville Husso, Healthy, StL, G, BBS, NYR, W 6-2, 1, 1, 0, 2, 27, 0, 5.7
Anton Forsberg, Healthy, Ott, G, BOWS, Sea, W 4-3, 1, 1, 0, 3, 30, 0, 5.5
Scott Wedgewood, Healthy, Dal, G, FA, --, --, 1, 1, 0, 4, 34, 0, 5.4
Jeremy Swayman, Healthy, Bos, G, BBS, Chi, W 4-3, 1, 1, 0, 3, 22, 0, 4.7
Cam Talbot, Healthy, Min, G, HERB, @Det, W 6-5, 1, 1, 0, 5, 29, 0, 4.4
Darcy Kuemper, Healthy, Col, G, SALT, @Car, L 0-2, 1, 0, 1, 1, 35, 0, 2.0
Alex Nedeljkovic, Healthy, Det, G, FA, Min, L 5-6, 1, 0, 0, 5, 35, 0, 1.0
Nico Daws, Healthy, NJ, G, FA, Wpg, L 1-2, 1, 0, 1, 2, 28, 0, 0.8
Jonathan Quick, Healthy, LA, G, FA, SJ, L 3-4, 1, 0, 0, 4, 26, 0, 0.6
Alexandar Georgiev, Healthy, NYR, G, NBUS, @StL, L 2-6, 0, 0, 0, 2, 16, 0, 0.6
Erik Kallgren, Healthy, Tor, G, FA, Ari, L 4-5, 0, 0, 0, 1, 10, 0, 0.5
Chris Driedger, Healthy, Sea, G, FA, @Ott, L 3-4, 1, 0, 0, 4, 23, 0, 0.3
Kevin Lankinen, Healthy, Chi, G, NBUS, @Bos, L 3-4, 1, 0, 1, 4, 32, 0, 0.2
John Gibson, Healthy, Ana, G, ME, @Nsh, L 1-4, 1, 0, 1, 3, 26, 0, 0.1
Laurent Brossoit, IR, VGK, G, FA, @Buf, L 1-3, 1, 0, 1, 2, 21, 0, 0.1
Jack Campbell, Healthy, Tor, G, OXP, Ari, L 4-5, 0, 0, 0, 0, 0, 0, --
Connor Hellebuyck, Healthy, Wpg, G, ME, @NJ, W 2-1, 0, 0, 0, 0, 0, 0, --
Frederik Andersen, DTD, Car, G, HERB, Col, W 2-0, 0, 0, 0, 0, 0, 0, --
Marc-Andre Fleury, Healthy, Min, G, SALT, @Det, W 6-5, 0, 0, 0, 0, 0, 0, --
Linus Ullmark, Healthy, Bos, G, CLB, Chi, W 4-3, 0, 0, 0, 0, 0, 0, --
Robin Lehner, O, VGK, G, ME, @Buf, L 1-3, 0, 0, 0, 0, 0, 0, --
Elvis Merzlikins, Healthy, Cls, G, BOWS, @NYI, L 0-6, 0, 0, 0, 0, 0, 0, --
Jordan Binnington, Healthy, StL, G, FA, NYR, W 6-2, 0, 0, 0, 0, 0, 0, --
Philipp Grubauer, Healthy, Sea, G, FA, @Ott, L 3-4, 0, 0, 0, 0, 0, 0, --
Semyon Varlamov, Healthy, NYI, G, FA, Cls, W 6-0, 0, 0, 0, 0, 0, 0, --
Spencer Knight, Healthy, Fla, G, BBS, Phi, W 6-3, 0, 0, 0, 0, 0, 0, --
Mackenzie Blackwood, Healthy, NJ, G, FA, Wpg, L 1-2, 0, 0, 0, 0, 0, 0, --
Adin Hill, O, SJ, G, FA, @LA, W 4-3, 0, 0, 0, 0, 0, 0, --
James Reimer, Healthy, SJ, G, OXP, @LA, W 4-3, 0, 0, 0, 0, 0, 0, --
Pavel Francouz, Healthy, Col, G, DINK, @Car, L 0-2, 0, 0, 0, 0, 0, 0, --
Cal Petersen, Healthy, LA, G, FA, SJ, L 3-4, 0, 0, 0, 0, 0, 0, --
Tuukka Rask, O, Bos, G, FA, Chi, W 4-3, 0, 0, 0, 0, 0, 0, --
Kaapo Kahkonen, Healthy, SJ, G, FA, @LA, W 4-3, 0, 0, 0, 0, 0, 0, --
Logan Thompson, Healthy, VGK, G, FA, @Buf, L 1-3, 0, 0, 0, 0, 0, 0, --
Dan Vladar, Healthy, Cgy, G, BBS, TB, W 4-1, 0, 0, 0, 0, 0, 0, --
Anthony Stolarz, Healthy, Ana, G, FA, @Nsh, L 1-4, 0, 0, 0, 0, 0, 0, --
Martin Jones, Healthy, Phi, G, FA, @Fla, L 3-6, 0, 0, 0, 0, 0, 0, --
Thomas Greiss, Healthy, Det, G, FA, Min, L 5-6, 0, 0, 0, 0, 0, 0, --
Karel Vejmelka, Healthy, Ari, G, FA, @Tor, W 5-4, 0, 0, 0, 0, 0, 0, --
Brian Elliott, Healthy, TB, G, FA, @Cgy, L 1-4, 0, 0, 0, 0, 0, 0, --
Dustin Tokarski, Healthy, Buf, G, FA, VGK, W 3-1, 0, 0, 0, 0, 0, 0, --
Matt Murray, IR, Ott, G, FA, Sea, W 4-3, 0, 0, 0, 0, 0, 0, --
Jonathan Bernier, IR, NJ, G, FA, Wpg, L 1-2, 0, 0, 0, 0, 0, 0, --
Felix Sandstrom, Healthy, Phi, G, FA, @Fla, L 3-6, 0, 0, 0, 0, 0, 0, --
David Rittich, Healthy, Nsh, G, FA, Ana, W 4-1, 0, 0, 0, 0, 0, 0, --
Malcolm Subban, IR, Buf, G, FA, VGK, W 3-1, 0, 0, 0, 0, 0, 0, --
Charlie Lindgren, Healthy, StL, G, FA, NYR, W 6-2, 0, 0, 0, 0, 0, 0, --
Filip Gustavsson, Healthy, Ott, G, FA, Sea, W 4-3, 0, 0, 0, 0, 0, 0, --
Jean-Francois Berube, Healthy, Cls, G, FA, @NYI, L 0-6, 0, 0, 0, 0, 0, 0, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, FA, VGK, W 3-1, 0, 0, 0, 0, 0, 0, --
Devan Dubnyk, Healthy, Col, G, FA, @Car, L 0-2, 0, 0, 0, 0, 0, 0, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, Ana, W 4-1, 0, 0, 0, 0, 0, 0, --
Aaron Dell, Healthy, Buf, G, FA, VGK, W 3-1, 0, 0, 0, 0, 0, 0, --
Curtis McElhinney, Healthy, TB, G, FA, @Cgy, L 1-4, 0, 0, 0, 0, 0, 0, --
Pekka Rinne, Healthy, Nsh, G, FA, Ana, W 4-1, 0, 0, 0, 0, 0, 0, --
Carter Hutton, Healthy, Tor, G, FA, Ari, L 4-5, 0, 0, 0, 0, 0, 0, --
Yaroslav Askarov, Healthy, Nsh, G, FA, Ana, W 4-1, 0, 0, 0, 0, 0, 0, --
Marcus Hogberg, O, Ott, G, FA, Sea, W 4-3, 0, 0, 0, 0, 0, 0, --
Corey Crawford, Healthy, NJ, G, FA, Wpg, L 1-2, 0, 0, 0, 0, 0, 0, --
Joseph Woll, O, Tor, G, FA, Ari, L 4-5, 0, 0, 0, 0, 0, 0, --
Josef Korenar, Healthy, Ari, G, FA, @Tor, W 5-4, 0, 0, 0, 0, 0, 0, --
Jesper Wallstedt, Healthy, Min, G, FA, @Det, W 6-5, 0, 0, 0, 0, 0, 0, --
Jon Gillies, Healthy, NJ, G, FA, Wpg, L 1-2, 0, 0, 0, 0, 0, 0, --
Ryan Miller, Healthy, Ana, G, FA, @Nsh, L 1-4, 0, 0, 0, 0, 0, 0, --
Artyom Zagidulin, Healthy, Cgy, G, FA, TB, W 4-1, 0, 0, 0, 0, 0, 0, --
Keith Kinkaid, Healthy, NYR, G, FA, @StL, L 2-6, 0, 0, 0, 0, 0, 0, --
Dustin Wolf, Healthy, Cgy, G, FA, TB, W 4-1, 0, 0, 0, 0, 0, 0, --
Joey Daccord, Healthy, Sea, G, FA, @Ott, L 3-4, 0, 0, 0, 0, 0, 0, --
Jonas Johansson, IR, Fla, G, FA, Phi, W 6-3, 0, 0, 0, 0, 0, 0, --
Michael Houser, Healthy, Buf, G, FA, VGK, W 3-1, 0, 0, 0, 0, 0, 0, --
Collin Delia, Healthy, Chi, G, FA, @Bos, L 3-4, 0, 0, 0, 0, 0, 0, --
Jimmy Howard, Healthy, Det, G, FA, Min, L 5-6, 0, 0, 0, 0, 0, 0, --
