Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Sergei Bobrovsky, Healthy, Fla, G, SALT, Van, W 5-2, 1, 1, 0, 2, 42, 0, 7.2
Juuse Saros, O, Nsh, G, BOWS, Col, W 5-4, 1, 1, 0, 4, 40, 0, 6.0
Tristan Jarry, O, Pit, G, DINK, @Ana, W 4-1, 1, 1, 0, 1, 25, 0, 6.0
Jack Campbell, Healthy, Tor, G, OXP, @VGK, W 4-3, 1, 1, 0, 3, 31, 0, 5.6
Marc-Andre Fleury, Healthy, Min, G, SALT, --, --, 1, 1, 0, 2, 24, 0, 5.4
Andrei Vasilevskiy, Healthy, TB, G, LKR, @Buf, W 6-1, 1, 1, 0, 1, 17, 0, 5.2
Adin Hill, O, SJ, G, FA, Det, W 3-2, 1, 1, 0, 2, 17, 0, 4.7
Alex Nedeljkovic, Healthy, Det, G, FA, @SJ, L 2-3, 1, 0, 0, 3, 37, 0, 2.2
Anthony Stolarz, Healthy, Ana, G, FA, Pit, L 1-4, 1, 0, 1, 3, 30, 0, 0.5
Malcolm Subban, IR, Buf, G, FA, TB, L 1-6, 0, 0, 0, 4, 23, 0, 0.3
Darcy Kuemper, Healthy, Col, G, SALT, @Nsh, L 4-5, 1, 0, 0, 5, 27, 0, 0.2
Jacob Markstrom, Healthy, Cgy, G, DINK, NYI, Postponed, 0, 0, 0, 0, 0, 0, --
Frederik Andersen, DTD, Car, G, HERB, @Phi, Postponed, 0, 0, 0, 0, 0, 0, --
Ilya Sorokin, Healthy, NYI, G, CLB, @Cgy, Postponed, 0, 0, 0, 0, 0, 0, --
Robin Lehner, O, VGK, G, ME, Tor, L 3-4, 1, 0, 0, 3, 15, 0, 0.0
Elvis Merzlikins, Healthy, Cls, G, BOWS, Chi, L 2-4, 0, 0, 0, 0, 0, 0, --
Semyon Varlamov, Healthy, NYI, G, FA, @Cgy, Postponed, 0, 0, 0, 0, 0, 0, --
Carter Hart, O, Phi, G, FA, Car, Postponed, 0, 0, 0, 0, 0, 0, --
Spencer Knight, Healthy, Fla, G, BBS, Van, W 5-2, 0, 0, 0, 0, 0, 0, --
John Gibson, Healthy, Ana, G, ME, Pit, L 1-4, 0, 0, 0, 0, 0, 0, --
James Reimer, Healthy, SJ, G, OXP, Det, W 3-2, 0, 0, 0, 0, 0, 0, --
Antti Raanta, Healthy, Car, G, FA, @Phi, Postponed, 0, 0, 0, 0, 0, 0, --
