Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Vincent Trocheck, Healthy, NYR, C, LKR, @Nsh, W 4-3, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 19, 7, 0, 3, 4, 1, 9.7
Jack Eichel, Healthy, Vgk, C, BBS, Wsh, W 4-1, 1, 1, 2, 2, 0, 0, 1, 0, 0, 1, 2, 5, 0, 3, 0, 2, 8.25
Jake Walman, Healthy, Det, D, CLB, @Mon, W 5-4, 1, 1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 3, 7.9
David Pastrnak, Healthy, Bos, RW, CLB, @Tor, W 4-3, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7.5
Bowen Byram, IR, Col, D, FA, @Ana, L 3-4, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 7.3
Joe Pavelski, Healthy, Dal, RW, DINK, TB, W 8-1, 1, 1, 2, 2, 2, 1, 0, 0, 0, 0, 2, 3, 0, 4, 0, 1, 7.1
Alexander Kerfoot, Healthy, Ari, C, FA, StL, W 4-1, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 13, 10, 0, 2, 1, 0, 7.05
Elias Pettersson, Healthy, Van, C- LW, SLC, @Cgy, W 4-3, 1, 1, 1, 3, 0, 0, 0, 0, 0, 1, 8, 7, 0, 3, 0, 0, 6.4
Moritz Seider, Healthy, Det, D, SALT, @Mon, W 5-4, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 2, 6.35
Jason Robertson, Healthy, Dal, LW, ME, TB, W 8-1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 6.3
Adam Fox, Healthy, NYR, D, SALT, @Nsh, W 4-3, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6.25
Mason Marchment, Healthy, Dal, LW, SLC, TB, W 8-1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 6.2
Sebastian Aho, Healthy, Car, C, LKR, Buf, W 6-2, 1, 2, 0, 1, 6, 1, 0, 0, 0, 1, 5, 3, 0, 6, 0, 0, 6.2
Nick Seeler, Healthy, Phi, D, BOWS, @Pit, W 4-3, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 4, 4, 6.15
Ilya Mikheyev, Healthy, Van, LW- RW, FA, @Cgy, W 4-3, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 6.1
Auston Matthews, Healthy, Tor, C, BOWS, Bos, L 3-4, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 8, 6, 0, 7, 0, 1, 5.9
