Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Zach Hyman, Healthy, Edm, RW- LW, BBS, Car, W 6-1, 1, 3, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 10.5
Evan Rodrigues, Healthy, Fla, C, FA, Dal, W 5-4, 1, 2, 2, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 10.5
Connor McDavid, Healthy, Edm, C, DINK, Car, W 6-1, 1, 0, 3, 3, 0, 0, 0, 0, 0, 0, 10, 7, 0, 2, 3, 2, 8.4
Sam Reinhart, Healthy, Fla, RW, ME, Dal, W 5-4, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 5, 3, 0, 3, 1, 0, 7.3
Aleksander Barkov, Healthy, Fla, C, SALT, Dal, W 5-4, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 5, 6, 0, 2, 0, 3, 6.6
Keegan Kolesar, Healthy, Vgk, RW, FA, @StL, W 6-3, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 1, 6.4
Mattias Janmark, Healthy, Edm, RW- LW, FA, Car, W 6-1, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 6.2
Nikita Kucherov, Healthy, TB, RW, DINK, Pit, W 3-1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 3, 1, 0, 5.85
Mattias Ekholm, Healthy, Edm, D, SLC, Car, W 6-1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 1, 5.7
Thomas Harley, Healthy, Dal, D, DINK, @Fla, L 4-5, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 5.6
William Karlsson, IR, Vgk, C, HERB, @StL, W 6-3, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 9, 6, 0, 2, 0, 1, 5.25
Niko Mikkola, Healthy, Fla, D, FA, Dal, W 5-4, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 5.0
Evan Bouchard, Healthy, Edm, D, DINK, Car, W 6-1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4.9
Jack Eichel, Healthy, Vgk, C, BBS, @StL, W 6-3, 1, 1, 1, -1, 0, 0, 1, 0, 0, 0, 9, 11, 0, 6, 0, 2, 4.65
Warren Foegele, Healthy, Edm, LW- RW, FA, Car, W 6-1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 4.6
Mikhail Sergachev, IR, TB, D, SLC, Pit, W 3-1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7, 4.3
Zach Whitecloud, Healthy, Vgk, D, FA, @StL, W 6-3, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 4.3
Ivan Barbashev, Healthy, Vgk, LW- C- RW, FA, @StL, W 6-3, 1, 0, 2, -1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2, 1, 2, 4.25
Mason Marchment, Healthy, Dal, LW, SLC, @Fla, L 4-5, 1, 1, 1, -2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 3, 2, 0, 4.25
Ryan Nugent-Hopkins, Healthy, Edm, C, ME, Car, W 6-1, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 4.1
Jani Hakanpaa, Healthy, Dal, D, FA, @Fla, L 4-5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 2, 4.1
Colton Parayko, Healthy, StL, D, ME, Vgk, L 3-6, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5, 4.0
Kevin Hayes, Healthy, StL, C, FA, Vgk, L 3-6, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 7, 4, 0, 1, 2, 0, 4.0
Jordan Kyrou, Healthy, StL, RW- LW, FA, Vgk, L 3-6, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3.8
Tanner Jeannot, IR, TB, RW- LW, FA, Pit, W 3-1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 4, 1, 3.8
Aaron Ekblad, Healthy, Fla, D, FA, Dal, W 5-4, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 2, 3.75
Sidney Crosby, Healthy, Pit, C, DINK, @TB, L 1-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 19, 8, 0, 4, 2, 0, 3.6
Victor Hedman, Healthy, TB, D, LKR, Pit, W 3-1, 1, 0, 2, -1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3.5
Brayden McNabb, Healthy, Vgk, D, LKR, @StL, W 6-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 3.5
Matt Duchene, Healthy, Dal, C, SLC, @Fla, L 4-5, 1, 0, 2, -2, 0, 0, 2, 0, 0, 0, 5, 4, 0, 3, 0, 1, 3.4
Carter Verhaeghe, Healthy, Fla, LW- C, CLB, Dal, W 5-4, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 1, 0, 3.3
Jaccob Slavin, Healthy, Car, D, OXP, @Edm, L 1-6, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 1, 3.3
Jordan Staal, Healthy, Car, C, FA, @Edm, L 1-6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 0, 3, 2, 0, 3.2
Nicolas Roy, Healthy, Vgk, C, FA, @StL, W 6-3, 1, 0, 1, 3, 2, 0, 0, 0, 0, 0, 4, 11, 0, 8, 1, 0, 3.2
Anthony Cirelli, Healthy, TB, C, FA, Pit, W 3-1, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 4, 16, 0, 3, 0, 4, 3.2
Ryan McLeod, Healthy, Edm, C, FA, Car, W 6-1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 6, 8, 0, 3, 0, 0, 3.1
Jake Guentzel, Healthy, Pit, LW, DINK, @TB, L 1-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3.0
Nicolas Hague, Healthy, Vgk, D, FA, @StL, W 6-3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3.0
Michael Amadio, Healthy, Vgk, RW- C- LW, FA, @StL, W 6-3, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 3.0
Jonathan Marchessault, Healthy, Vgk, RW- LW, FA, @StL, W 6-3, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2.9
Wyatt Johnston, Healthy, Dal, C, HERB, @Fla, L 4-5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 3, 3, 0, 2.8
Brett Kulak, Healthy, Edm, D, FA, Car, W 6-1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 2.6
Radek Faksa, Healthy, Dal, C, FA, @Fla, L 4-5, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 4, 4, 0, 1, 0, 0, 2.6
Brayden Schenn, Healthy, StL, C, FA, Vgk, L 3-6, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 5, 5, 0, 3, 1, 0, 2.4
Sam Steel, Healthy, Dal, C, FA, @Fla, L 4-5, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2.4
Cody Ceci, Healthy, Edm, D, FA, Car, W 6-1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2.4
Michael Eyssimont, Healthy, TB, RW- C, FA, Pit, W 3-1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2.4
Evander Kane, Healthy, Edm, LW, OXP, Car, W 6-1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 4, 2, 2.3
Justin Faulk, Healthy, StL, D, CLB, Vgk, L 3-6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2.3
Jake Neighbours, Healthy, StL, LW, FA, Vgk, L 3-6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2.3
Kaedan Korczak, Healthy, Vgk, D, FA, @StL, W 6-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2.3
Lars Eller, Healthy, Pit, C, FA, @TB, L 1-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 1, 2, 3, 2.2
Vincent Desharnais, Healthy, Edm, D, FA, Car, W 6-1, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 2.2
Erik Cernak, DTD, TB, D, FA, Pit, W 3-1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2.1
Evgenii Dadonov, Healthy, Dal, RW, FA, @Fla, L 4-5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2.1
John Ludvig, IR, Pit, D, FA, @TB, L 1-3, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 2, 2.1
Torey Krug, Healthy, StL, D, FA, Vgk, L 3-6, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2.1
Miro Heiskanen, O, Dal, D, LKR, @Fla, L 4-5, 1, 0, 1, -2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 2, 2.05
Oliver Ekman-Larsson, Healthy, Fla, D, FA, Dal, W 5-4, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2.05
Oskar Sundqvist, Healthy, StL, C, FA, Vgk, L 3-6, 1, 0, 0, -1, 2, 0, 0, 0, 0, 0, 3, 7, 0, 1, 5, 3, 2.0
Steven Stamkos, Healthy, TB, C, HERB, Pit, W 3-1, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 5, 3, 0, 2, 0, 0, 1.95
