Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Alex Tuch, Healthy, Buf, RW, ME, @NYR, W 5-1, 1, 2, 0, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 1, 7.6
Casey Mittelstadt, Healthy, Buf, C, FA, @NYR, W 5-1, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 5, 10, 0, 3, 0, 1, 6.8
Sam Reinhart, Healthy, Fla, RW, ME, @Ott, W 5-0, 1, 2, 0, 0, 4, 2, 0, 0, 0, 1, 3, 3, 0, 3, 1, 1, 6.7
Owen Power, Healthy, Buf, D, SLC, @NYR, W 5-1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 6.6
Yegor Chinakhov, Healthy, Cls, RW, FA, Bos, W 5-2, 1, 1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 6.6
Aleksander Barkov, Healthy, Fla, C, SALT, @Ott, W 5-0, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7, 8, 0, 3, 1, 1, 6.25
Ryan Johansen, Healthy, Col, C, FA, TB, W 4-1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 6, 4, 0, 3, 0, 0, 6.0
Cale Makar, Healthy, Col, D, DINK, TB, W 4-1, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 5.6
Victor Olofsson, Healthy, Buf, RW, FA, @NYR, W 5-1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5.3
Ivan Provorov, Healthy, Cls, D, OXP, Bos, W 5-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 5.0
Boone Jenner, IR, Cls, C, OXP, Bos, W 5-2, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 11, 0, 0, 6, 0, 4.85
Rasmus Dahlin, Healthy, Buf, D, BBS, @NYR, W 5-1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 4.7
MacKenzie Weegar, Healthy, Cgy, D, ME, Vgk, W 2-1, 1, 1, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 4.6
Charlie McAvoy, Healthy, Bos, D, SLC, @Cls, L 2-5, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 4.4
Luke Kunin, Healthy, SJ, C, FA, Wsh, W 2-1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 4, 7, 0, 3, 1, 1, 4.3
Nathan MacKinnon, Healthy, Col, C, HERB, TB, W 4-1, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 10, 8, 0, 0, 1, 0, 4.25
Niko Mikkola, Healthy, Fla, D, FA, @Ott, W 5-0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 4.0
Cole Sillinger, Healthy, Cls, C, FA, Bos, W 5-2, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 4, 6, 0, 4, 1, 1, 4.0
