Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Tyler Toffoli, Healthy, NJ, RW, BOWS, Wsh, L 4-6, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 7.3
Timo Meier, IR, NJ, LW- RW, SALT, Wsh, L 4-6, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 5.4
Alex Ovechkin, DTD, Wsh, LW, BOWS, @NJ, W 6-4, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 5.2
Dylan Strome, Healthy, Wsh, C, FA, @NJ, W 6-4, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 8, 9, 0, 3, 0, 1, 5.2
Anthony Mantha, Healthy, Wsh, RW, FA, @NJ, W 6-4, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 5.2
Jack Hughes, O, NJ, C, BBS, Wsh, L 4-6, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 4, 8, 0, 4, 0, 0, 5.0
Martin Fehervary, Healthy, Wsh, D, FA, @NJ, W 6-4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 4, 3.9
Connor McMichael, Healthy, Wsh, C, FA, @NJ, W 6-4, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 3.6
Tom Wilson, DTD, Wsh, RW, CLB, @NJ, W 6-4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 2, 3.3
John Carlson, Healthy, Wsh, D, ME, @NJ, W 6-4, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 1, 2.85
Evgeny Kuznetsov, Healthy, Wsh, C, FA, @NJ, W 6-4, 1, 0, 2, -1, 0, 0, 1, 0, 0, 0, 7, 9, 0, 2, 0, 0, 2.75
John Marino, Healthy, NJ, D, FA, Wsh, L 4-6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2.5
Nicklas Backstrom, IR, Wsh, C, FA, @NJ, W 6-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 4, 0, 1, 0, 0, 2.2
Luke Hughes, Healthy, NJ, D, SLC, Wsh, L 4-6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2.0
Aliaksei Protas, Healthy, Wsh, C, FA, @NJ, W 6-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.9
T.J. Oshie, Healthy, Wsh, RW, FA, @NJ, W 6-4, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1.8
Sonny Milano, IR, Wsh, LW, FA, @NJ, W 6-4, 1, 1, 0, -2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1.7
Jonas Siegenthaler, Healthy, NJ, D, FA, Wsh, L 4-6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1.6
Alexander Alexeyev, Healthy, Wsh, D, FA, @NJ, W 6-4, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1.6
Nick Jensen, Healthy, Wsh, D, FA, @NJ, W 6-4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.5
Nico Hischier, Healthy, NJ, C, SLC, Wsh, L 4-6, 1, 1, 0, -2, 2, 0, 0, 0, 0, 0, 7, 4, 0, 3, 0, 0, 1.4
Curtis Lazar, Healthy, NJ, RW, FA, Wsh, L 4-6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1.4
Trevor van Riemsdyk, Healthy, Wsh, D, FA, @NJ, W 6-4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1.3
Kevin Bahl, Healthy, NJ, D, FA, Wsh, L 4-6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 1.3
