Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Charlie Coyle, Healthy, Bos, C, OXP, NYI, W 5-2, 1, 3, 1, 3, 0, 1, 0, 0, 0, 0, 9, 7, 1, 6, 0, 2, 13.3
Kyle Connor, IR, Wpg, LW, BBS, Nsh, W 6-3, 1, 3, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 7, 0, 0, 11.45
Connor Bedard, IR, Chi, C, DINK, @TB, W 5-3, 1, 2, 2, 2, 0, 0, 1, 0, 0, 1, 3, 8, 0, 5, 1, 1, 10.05
Matt Duchene, Healthy, Dal, C, SLC, @Cls, W 5-2, 1, 1, 2, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 1, 0, 8.3
Mark Scheifele, DTD, Wpg, C, ME, Nsh, W 6-3, 1, 0, 4, 2, 0, 0, 1, 0, 0, 0, 10, 8, 0, 4, 1, 0, 8.15
Alexis Lafreniere, Healthy, NYR, LW, FA, Min, W 4-1, 1, 1, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 0, 0, 7.65
Vincent Trocheck, Healthy, NYR, C, LKR, Min, W 4-1, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 8, 5, 0, 2, 0, 1, 7.5
Nathan MacKinnon, Healthy, Col, C, HERB, Sea, L 3-4, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 11, 7, 0, 3, 2, 1, 7.3
Tomas Hertl, Healthy, SJ, C- LW, ME, Edm, W 3-2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 16, 9, 0, 3, 1, 4, 7.3
Nikita Okhotiuk, Healthy, SJ, D, FA, Edm, W 3-2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 7.3
David Pastrnak, Healthy, Bos, RW, CLB, NYI, W 5-2, 1, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 5, 0, 0, 7.25
Mike Matheson, Healthy, Mon, D, CLB, @Det, W 3-2, 1, 1, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 0, 1, 7.0
J.T. Miller, Healthy, Van, C- LW- RW, HERB, @Ott, W 5-2, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1, 10, 10, 0, 2, 1, 1, 6.75
Vince Dunn, Healthy, Sea, D, BOWS, @Col, W 4-3, 1, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 4, 4, 6.45
Elias Pettersson, Healthy, Van, C- LW, SLC, @Ott, W 5-2, 1, 1, 2, 0, 0, 1, 0, 0, 0, 0, 2, 6, 0, 2, 0, 2, 6.3
Nick Foligno, IR, Chi, LW- C- RW, FA, @TB, W 5-3, 1, 0, 3, 3, 2, 0, 1, 0, 0, 0, 1, 7, 0, 2, 0, 1, 6.15
Tyler Seguin, Healthy, Dal, RW- C, SALT, @Cls, W 5-2, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 5, 3, 0, 2, 0, 1, 5.9
Trent Frederic, Healthy, Bos, LW- C- RW, FA, NYI, W 5-2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 5.9
Oliver Bjorkstrand, Healthy, Sea, RW, OXP, @Col, W 4-3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 5.6
Sidney Crosby, Healthy, Pit, C, DINK, @LA, W 4-3, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 10, 7, 0, 3, 2, 1, 5.5
Alex Iafallo, Healthy, Wpg, LW, FA, Nsh, W 6-3, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 1, 5.4
Bryan Rust, Healthy, Pit, RW, DINK, @LA, W 4-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 1, 2, 5.3
Jamie Oleksiak, Healthy, Sea, D, FA, @Col, W 4-3, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 6, 5.3
