Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Kyle Okposo, Healthy, Buf, RW, FA, Ari, W 5-2, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 3, 1, 8.3
Miro Heiskanen, O, Dal, D, LKR, Det, W 6-3, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 2, 7.55
Eric Robinson, Healthy, Buf, LW, FA, Ari, W 5-2, 1, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 7.5
Dennis Gilbert, O, Cgy, D, FA, @Col, L 5-6, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 7.4
Noah Dobson, Healthy, NYI, D, SLC, Tor, W 4-3, 1, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 6.9
Nathan MacKinnon, Healthy, Col, C, HERB, Cgy, W 6-5, 1, 1, 1, -1, 0, 0, 1, 0, 0, 1, 20, 7, 0, 2, 1, 1, 6.55
Peyton Krebs, Healthy, Buf, C, FA, Ari, W 5-2, 1, 1, 0, 4, 0, 0, 0, 0, 0, 1, 5, 4, 0, 2, 1, 1, 6.1
Blake Coleman, Healthy, Cgy, RW- LW, LKR, @Col, L 5-6, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 6.0
MacKenzie Weegar, Healthy, Cgy, D, ME, @Col, L 5-6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 5.7
Rasmus Dahlin, Healthy, Buf, D, BBS, Ari, W 5-2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 5.5
Mikko Rantanen, Healthy, Col, RW, HERB, Cgy, W 6-5, 1, 1, 2, -1, 0, 0, 1, 0, 0, 0, 1, 7, 0, 8, 0, 1, 5.45
Brock Nelson, Healthy, NYI, C, CLB, Tor, W 4-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 10, 2, 0, 4, 0, 0, 5.2
Ross Colton, Healthy, Col, LW, FA, Cgy, W 6-5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 6, 5, 0, 2, 3, 0, 5.2
Connor Clifton, Healthy, Buf, D, FA, Ari, W 5-2, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 5.0
Andrew Mangiapane, Healthy, Cgy, RW- LW, FA, @Col, L 5-6, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 4.9
John Tavares, Healthy, Tor, C, BBS, @NYI, L 3-4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 10, 7, 0, 4, 0, 0, 4.7
Rasmus Andersson, Healthy, Cgy, D, ME, @Col, L 5-6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5, 4.7
Esa Lindell, Healthy, Dal, D, FA, Det, W 6-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4.6
Jason Robertson, Healthy, Dal, LW, ME, Det, W 6-3, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 4.45
Cale Makar, Healthy, Col, D, DINK, Cgy, W 6-5, 1, 1, 1, -2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 4.3
Kyle Palmieri, Healthy, NYI, RW- LW, FA, Tor, W 4-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 4.3
Sam Steel, Healthy, Dal, C, FA, Det, W 6-3, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4.1
Shayne Gostisbehere, Healthy, Det, D, FA, @Dal, L 3-6, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4.05
Auston Matthews, Healthy, Tor, C, BOWS, @NYI, L 3-4, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 7, 6, 0, 11, 0, 1, 3.7
Casey Cizikas, O, NYI, C, FA, Tor, W 4-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 1, 3, 1, 3.6
Nazem Kadri, Healthy, Cgy, C, HERB, @Col, L 5-6, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 5, 10, 0, 5, 1, 0, 3.6
William Nylander, Healthy, Tor, RW- LW, OXP, @NYI, L 3-4, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 3.55
Alexander Romanov, Healthy, NYI, D, DINK, Tor, W 4-3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 4, 3.5
J.J. Moser, Healthy, Ari, D, FA, @Buf, L 2-5, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 3.45
