Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Alex Tuch, Healthy, Buf, RW, LKR, @Cgy, W 6-3, 1, 3, 0, 1, 2, 1, 0, 0, 0, 1, 2, 1, 1, 3, 0, 0, 10.2
Ryan Nugent-Hopkins, Healthy, Edm, C- LW, BBS, Car, W 6-4, 1, 1, 3, 1, 2, 0, 2, 0, 1, 0, 1, 3, 0, 2, 3, 1, 9.45
Andrei Svechnikov, IR, Car, LW- RW, SLC, @Edm, L 4-6, 1, 3, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 7, 2, 0, 9.3
Jeff Petry, Healthy, Pit, D, LKR, LA, W 6-1, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 5, 2, 9.3
Connor McDavid, Healthy, Edm, C, DINK, Car, W 6-4, 1, 1, 3, 1, 0, 0, 1, 0, 0, 0, 10, 8, 0, 4, 0, 1, 8.35
Nico Hischier, Healthy, NJ, C, SLC, @NYI, W 4-1, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 12, 7, 0, 5, 0, 1, 8.0
Ondrej Palat, Healthy, NJ, LW, OXP, @NYI, W 4-1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 3, 2, 8.0
Kirill Kaprizov, O, Min, LW, CLB, Van, W 4-3, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 7, 1, 0, 7.75
Mats Zuccarello, Healthy, Min, RW- LW, CLB, Van, W 4-3, 1, 2, 1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 7.2
Rasmus Dahlin, Healthy, Buf, D, BBS, @Cgy, W 6-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 6.8
Nicholas Robertson, IR, Tor, LW, FA, Dal, W 3-2, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 6.8
Nick Blankenburg, DTD, Cls, D, FA, Nsh, W 5-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 2, 6.8
Leon Draisaitl, Healthy, Edm, LW- C, SALT, Car, W 6-4, 1, 1, 1, 1, 2, 1, 0, 0, 0, 1, 19, 11, 0, 6, 0, 0, 6.7
