Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Joe Pavelski, Healthy, Dal, RW- C, BBS, @Mon, W 5-2, 1, 3, 1, 2, 0, 1, 1, 0, 0, 0, 2, 2, 1, 5, 0, 0, 11.75
Taylor Hall, IR, Bos, LW, FA, Min, W 4-3, 1, 1, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 1, 1, 8.8
Sidney Crosby, Healthy, Pit, C, DINK, @Cls, W 6-3, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 12, 8, 0, 5, 1, 0, 7.7
Victor Olofsson, Healthy, Buf, RW, FA, @Van, W 5-1, 1, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 7.7
Joel Farabee, Healthy, Phi, LW- RW, FA, @Nsh, W 3-1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 7.6
Rasmus Dahlin, Healthy, Buf, D, BBS, @Van, W 5-1, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 5, 2, 7.5
Dmitry Orlov, Healthy, Bos, D, SALT, Min, W 4-3, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 7.4
Viktor Arvidsson, Healthy, LA, RW- LW, FA, @Wsh, L 3-4, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 6.8
Arber Xhekaj, IR, Mon, D, FA, Dal, L 2-5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 6.7
Nicholas Paul, Healthy, TB, C- LW, FA, NYI, W 5-3, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 10, 6, 0, 2, 0, 1, 6.6
Brady Tkachuk, Healthy, Ott, LW- C, BOWS, Ari, W 6-2, 1, 2, 0, 1, 2, 1, 0, 0, 0, 1, 3, 3, 0, 4, 1, 0, 6.5
Auston Matthews, Healthy, Tor, C, BOWS, @Wpg, W 4-1, 1, 0, 3, 1, 0, 0, 2, 0, 0, 0, 4, 5, 0, 4, 2, 0, 6.4
John Tavares, Healthy, Tor, C, BBS, @Wpg, W 4-1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 11, 4, 0, 4, 1, 0, 6.4
Jason Robertson, Healthy, Dal, LW, ME, @Mon, W 5-2, 1, 1, 1, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 6.35
John Carlson, Healthy, Wsh, D, ME, LA, W 4-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 6.3
Jan Rutta, DTD, Pit, D, FA, @Cls, W 6-3, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 6.0
Jared Spurgeon, Healthy, Min, D, DINK, @Bos, L 3-4, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 3, 5.95
Brandon Hagel, Healthy, TB, LW- RW, DINK, NYI, W 5-3, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 5.7
