Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Chris Driedger, Healthy, Sea, G, FA, SJ, W 3-0, 1, 1, 0, 0, 24, 1, 8.4
Mikko Koskinen, Healthy, Edm, G, ME, Van, W 3-2, 1, 1, 0, 2, 39, 0, 6.9
Connor Hellebuyck, Healthy, Wpg, G, ME, Cgy, W 3-1, 1, 1, 0, 1, 32, 0, 6.7
Carey Price, Healthy, Mon, G, LKR, Fla, W 10-2, 1, 1, 0, 2, 37, 0, 6.7
Harri Sateri, Healthy, Ari, G, FA, Nsh, W 5-4, 0, 1, 0, 0, 27, 0, 6.7
Alexandar Georgiev, Healthy, NYR, G, NBUS, Wsh, W 3-2, 1, 1, 0, 2, 34, 0, 6.4
Marc-Andre Fleury, Healthy, Min, G, SALT, Col, W 4-1, 1, 1, 0, 1, 27, 0, 6.2
Anton Forsberg, Healthy, Ott, G, BOWS, @Phi, W 4-2, 1, 1, 0, 2, 32, 0, 6.2
Casey DeSmith, Healthy, Pit, G, FA, Cls, W 5-3, 1, 1, 0, 3, 33, 0, 5.8
Erik Kallgren, Healthy, Tor, G, FA, Bos, W 5-2, 1, 1, 0, 2, 24, 0, 5.4
Andrei Vasilevskiy, Healthy, TB, G, LKR, @NYI, W 6-4, 1, 1, 0, 4, 33, 0, 5.3
Jake Oettinger, Healthy, Dal, G, HERB, Ana, W 4-2, 1, 1, 0, 2, 19, 0, 4.9
Dustin Tokarski, Healthy, Buf, G, FA, Chi, W 3-2, 1, 1, 0, 2, 19, 0, 4.9
Logan Thompson, Healthy, VGK, G, FA, @StL, W 7-4, 1, 1, 0, 4, 14, 0, 3.4
Spencer Martin, Healthy, Van, G, FA, @Edm, L 2-3, 1, 0, 0, 2, 31, 0, 2.1
Elvis Merzlikins, Healthy, Cls, G, BOWS, @Pit, L 3-5, 0, 0, 1, 2, 40, 0, 2.0
Dan Vladar, Healthy, Cgy, G, BBS, @Wpg, L 1-3, 1, 0, 1, 2, 40, 0, 2.0
Collin Delia, Healthy, Chi, G, FA, @Buf, L 2-3, 1, 0, 0, 3, 33, 0, 1.8
Kaapo Kahkonen, Healthy, SJ, G, FA, @Sea, L 0-3, 1, 0, 1, 2, 28, 0, 0.8
Martin Jones, Healthy, Phi, G, FA, Ott, L 2-4, 1, 0, 1, 3, 32, 0, 0.7
Ilya Samsonov, Healthy, Wsh, G, FA, @NYR, L 2-3, 1, 0, 1, 3, 30, 0, 0.5
John Gibson, O, Ana, G, ME, @Dal, L 2-4, 1, 0, 0, 0, 5, 0, 0.5
Igor Shesterkin, Healthy, NYR, G, DINK, Wsh, W 3-2, 0, 0, 0, 0, 0, 0, --
Darcy Kuemper, O, Col, G, SALT, @Min, L 1-4, 0, 0, 0, 0, 0, 0, --
Jacob Markstrom, Healthy, Cgy, G, DINK, @Wpg, L 1-3, 0, 0, 0, 0, 0, 0, --
Sergei Bobrovsky, O, Fla, G, SALT, @Mon, L 2-10, 0, 0, 0, 0, 0, 0, --
Jack Campbell, O, Tor, G, OXP, Bos, W 5-2, 0, 0, 0, 0, 0, 0, --
Juuse Saros, DTD, Nsh, G, BOWS, @Ari, L 4-5, 0, 0, 0, 0, 0, 0, --
Cam Talbot, Healthy, Min, G, HERB, Col, W 4-1, 0, 0, 0, 0, 0, 0, --
Tristan Jarry, O, Pit, G, DINK, Cls, W 5-3, 0, 0, 0, 0, 0, 0, --
