Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
John Gibson, Healthy, Ana, G, ME, @Ott, W 2-1, 1, 1, 0, 1, 44, 0, 7.9
Jacob Markstrom, Healthy, Cgy, G, DINK, Van, W 1-0, 1, 1, 0, 0, 15, 1, 7.5
Eric Comrie, Healthy, Wpg, G, FA, @StL, W 4-1, 1, 1, 0, 1, 28, 0, 6.3
Carter Hart, O, Phi, G, FA, LA, W 4-3, 1, 1, 0, 3, 37, 0, 6.2
Craig Anderson, DTD, Buf, G, FA, @Ari, W 3-1, 1, 1, 0, 1, 27, 0, 6.2
Antti Raanta, Healthy, Car, G, FA, NJ, W 2-1, 1, 1, 0, 1, 24, 0, 5.9
Robin Lehner, O, VGK, G, ME, @TB, W 3-2, 1, 1, 0, 2, 27, 0, 5.7
Petr Mrazek, IR, Tor, G, FA, @Det, W 7-4, 1, 1, 0, 4, 31, 0, 5.1
Stuart Skinner, Healthy, Edm, G, FA, @Mon, W 7-2, 1, 1, 0, 2, 21, 0, 5.1
Sergei Bobrovsky, Healthy, Fla, G, SALT, SJ, W 5-4, 1, 1, 0, 4, 30, 0, 5.0
Thatcher Demko, DTD, Van, G, BOWS, @Cgy, L 0-1, 1, 0, 0, 1, 31, 0, 2.6
James Reimer, Healthy, SJ, G, OXP, @Fla, L 4-5, 1, 0, 0, 5, 45, 0, 2.0
Andrei Vasilevskiy, Healthy, TB, G, LKR, VGK, L 2-3, 1, 0, 0, 2, 25, 0, 1.5
Jonathan Quick, Healthy, LA, G, FA, @Phi, L 3-4, 1, 0, 0, 4, 32, 0, 1.2
Karel Vejmelka, Healthy, Ari, G, FA, Buf, L 1-3, 1, 0, 1, 3, 32, 0, 0.7
Cayden Primeau, Healthy, Mon, G, FA, Edm, L 2-7, 0, 0, 0, 1, 7, 0, 0.2
Jon Gillies, Healthy, NJ, G, FA, @Car, L 1-2, 1, 0, 1, 2, 21, 0, 0.1
Jack Campbell, Healthy, Tor, G, OXP, @Det, W 7-4, 0, 0, 0, 0, 0, 0, --
Connor Hellebuyck, Healthy, Wpg, G, ME, @StL, W 4-1, 0, 0, 0, 0, 0, 0, --
Frederik Andersen, DTD, Car, G, HERB, NJ, W 2-1, 0, 0, 0, 0, 0, 0, --
Mike Smith, Healthy, Edm, G, LKR, @Mon, W 7-2, 0, 0, 0, 0, 0, 0, --
Jordan Binnington, Healthy, StL, G, FA, Wpg, L 1-4, 0, 0, 0, 0, 0, 0, --
Spencer Knight, Healthy, Fla, G, BBS, SJ, W 5-4, 0, 0, 0, 0, 0, 0, --
Mackenzie Blackwood, Healthy, NJ, G, FA, @Car, L 1-2, 0, 0, 0, 0, 0, 0, --
Carey Price, O, Mon, G, LKR, Edm, L 2-7, 0, 0, 0, 0, 0, 0, --
Adin Hill, O, SJ, G, FA, @Fla, L 4-5, 0, 0, 0, 0, 0, 0, --
Mikko Koskinen, Healthy, Edm, G, ME, @Mon, W 7-2, 0, 0, 0, 0, 0, 0, --
Cal Petersen, Healthy, LA, G, FA, @Phi, L 3-4, 0, 0, 0, 0, 0, 0, --
Logan Thompson, Healthy, VGK, G, FA, @TB, W 3-2, 0, 0, 0, 0, 0, 0, --
Jake Allen, O, Mon, G, FA, Edm, L 2-7, 0, 0, 0, 0, 0, 0, --
Scott Wedgewood, Healthy, Dal, G, FA, --, --, 0, 0, 0, 0, 0, 0, --
Dan Vladar, Healthy, Cgy, G, BBS, Van, W 1-0, 0, 0, 0, 0, 0, 0, --
Anthony Stolarz, Healthy, Ana, G, FA, @Ott, W 2-1, 0, 0, 0, 0, 0, 0, --
Jaroslav Halak, O, Van, G, FA, @Cgy, L 0-1, 0, 0, 0, 0, 0, 0, --
Martin Jones, Healthy, Phi, G, FA, LA, W 4-3, 0, 0, 0, 0, 0, 0, --
Thomas Greiss, Healthy, Det, G, FA, Tor, L 4-7, 0, 0, 0, 0, 0, 0, --
Brian Elliott, Healthy, TB, G, FA, VGK, L 2-3, 0, 0, 0, 0, 0, 0, --
Laurent Brossoit, IR, VGK, G, FA, @TB, W 3-2, 0, 0, 0, 0, 0, 0, --
Dustin Tokarski, Healthy, Buf, G, FA, @Ari, W 3-1, 0, 0, 0, 0, 0, 0, --
Matt Murray, IR, Ott, G, FA, Ana, L 1-2, 0, 0, 0, 0, 0, 0, --
Jonathan Bernier, IR, NJ, G, FA, @Car, L 1-2, 0, 0, 0, 0, 0, 0, --
Felix Sandstrom, Healthy, Phi, G, FA, LA, W 4-3, 0, 0, 0, 0, 0, 0, --
Spencer Martin, Healthy, Van, G, FA, @Cgy, L 0-1, 0, 0, 0, 0, 0, 0, --
Malcolm Subban, IR, Buf, G, FA, @Ari, W 3-1, 0, 0, 0, 0, 0, 0, --
Charlie Lindgren, Healthy, StL, G, FA, Wpg, L 1-4, 0, 0, 0, 0, 0, 0, --
Nico Daws, Healthy, NJ, G, FA, @Car, L 1-2, 0, 0, 0, 0, 0, 0, --
Filip Gustavsson, Healthy, Ott, G, FA, Ana, L 1-2, 0, 0, 0, 0, 0, 0, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, FA, @Ari, W 3-1, 0, 0, 0, 0, 0, 0, --
Aaron Dell, Healthy, Buf, G, FA, @Ari, W 3-1, 0, 0, 0, 0, 0, 0, --
