Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Elvis Merzlikins, Healthy, Cls, G, BOWS, Wpg, W 3-0, 1, 1, 0, 0, 36, 1, 9.6
Tristan Jarry, O, Pit, G, DINK, Van, W 4-1, 1, 1, 0, 1, 36, 0, 7.1
Cam Talbot, Healthy, Min, G, HERB, @NJ, W 3-2, 1, 1, 0, 2, 40, 0, 7.0
Philipp Grubauer, Healthy, Sea, G, FA, Car, W 2-1, 1, 1, 0, 1, 35, 0, 7.0
Sergei Bobrovsky, Healthy, Fla, G, SALT, Phi, W 2-1, 1, 1, 0, 1, 32, 0, 6.7
Alex Nedeljkovic, Healthy, Det, G, FA, StL, W 4-2, 1, 1, 0, 2, 35, 0, 6.5
Jack Campbell, Healthy, Tor, G, OXP, @LA, W 6-2, 1, 1, 0, 2, 30, 0, 6.0
Jeremy Swayman, Healthy, Bos, G, BBS, @Buf, W 5-1, 1, 1, 0, 1, 24, 0, 5.9
Robin Lehner, O, VGK, G, ME, @Nsh, W 5-2, 1, 1, 0, 2, 26, 0, 5.6
Igor Shesterkin, Healthy, NYR, G, DINK, @NYI, W 4-1, 1, 1, 0, 1, 20, 0, 5.5
Jonas Johansson, IR, Fla, G, FA, Phi, W 2-1, 0, 1, 0, 1, 19, 0, 5.4
James Reimer, Healthy, SJ, G, OXP, Ott, W 6-3, 1, 1, 0, 3, 26, 0, 5.1
Ilya Samsonov, Healthy, Wsh, G, FA, Mon, W 6-3, 1, 1, 0, 3, 25, 0, 5.0
Mikko Koskinen, Healthy, Edm, G, ME, @Ari, W 5-3, 1, 1, 0, 3, 24, 0, 4.9
Martin Jones, Healthy, Phi, G, FA, @Fla, L 1-2, 1, 0, 0, 2, 43, 0, 3.3
Dustin Tokarski, Healthy, Buf, G, FA, Bos, L 1-5, 0, 0, 0, 1, 24, 0, 1.9
Mackenzie Blackwood, Healthy, NJ, G, FA, Min, L 2-3, 1, 0, 0, 2, 25, 0, 1.5
Connor Hellebuyck, Healthy, Wpg, G, ME, @Cls, L 0-3, 1, 0, 1, 2, 29, 0, 0.9
Scott Wedgewood, Healthy, Dal, G, FA, --, --, 1, 0, 1, 4, 39, 0, 0.9
Thatcher Demko, DTD, Van, G, BOWS, @Pit, L 1-4, 1, 0, 1, 3, 33, 0, 0.8
Darcy Kuemper, Healthy, Col, G, SALT, Ana, W 5-2, 1, 0, 0, 1, 5, 0, 0.0
Juuse Saros, O, Nsh, G, BOWS, VGK, L 2-5, 1, 0, 1, 4, 30, 0, 0.0
Frederik Andersen, DTD, Car, G, HERB, @Sea, L 1-2, 1, 0, 1, 2, 20, 0, 0.0
Ilya Sorokin, Healthy, NYI, G, CLB, NYR, L 1-4, 0, 0, 0, 0, 0, 0, --
Linus Ullmark, Healthy, Bos, G, CLB, @Buf, W 5-1, 0, 0, 0, 0, 0, 0, --
Mike Smith, Healthy, Edm, G, LKR, @Ari, W 5-3, 0, 0, 0, 0, 0, 0, --
Jordan Binnington, Healthy, StL, G, FA, @Det, L 2-4, 0, 0, 0, 0, 0, 0, --
Carter Hart, O, Phi, G, FA, @Fla, L 1-2, 0, 0, 0, 0, 0, 0, --
Spencer Knight, Healthy, Fla, G, BBS, Phi, W 2-1, 0, 0, 0, 0, 0, 0, --
Vitek Vanecek, Healthy, Wsh, G, FA, Mon, W 6-3, 0, 0, 0, 0, 0, 0, --
Carey Price, O, Mon, G, LKR, @Wsh, L 3-6, 0, 0, 0, 0, 0, 0, --
Adin Hill, O, SJ, G, FA, Ott, W 6-3, 0, 0, 0, 0, 0, 0, --
Anton Forsberg, Healthy, Ott, G, BOWS, @SJ, L 3-6, 0, 0, 0, 0, 0, 0, --
Antti Raanta, Healthy, Car, G, FA, @Sea, L 1-2, 0, 0, 0, 0, 0, 0, --
Pavel Francouz, Healthy, Col, G, DINK, Ana, W 5-2, 0, 0, 0, 0, 0, 0, --
Petr Mrazek, IR, Tor, G, FA, @LA, W 6-2, 0, 0, 0, 0, 0, 0, --
Cal Petersen, Healthy, LA, G, FA, Tor, L 2-6, 0, 0, 0, 0, 0, 0, --
Casey DeSmith, Healthy, Pit, G, FA, Van, W 4-1, 0, 0, 0, 0, 0, 0, --
Alexandar Georgiev, Healthy, NYR, G, NBUS, @NYI, W 4-1, 0, 0, 0, 0, 0, 0, --
Chris Driedger, Healthy, Sea, G, FA, Car, W 2-1, 0, 0, 0, 0, 0, 0, --
Tuukka Rask, O, Bos, G, FA, @Buf, W 5-1, 0, 0, 0, 0, 0, 0, --
Kaapo Kahkonen, Healthy, SJ, G, FA, Ott, W 6-3, 0, 0, 0, 0, 0, 0, --
Logan Thompson, Healthy, VGK, G, FA, @Nsh, W 5-2, 0, 0, 0, 0, 0, 0, --
Craig Anderson, DTD, Buf, G, FA, Bos, L 1-5, 0, 0, 0, 0, 0, 0, --
Anthony Stolarz, Healthy, Ana, G, FA, @Col, L 2-5, 0, 0, 0, 0, 0, 0, --
Jaroslav Halak, O, Van, G, FA, @Pit, L 1-4, 0, 0, 0, 0, 0, 0, --
Thomas Greiss, Healthy, Det, G, FA, StL, W 4-2, 0, 0, 0, 0, 0, 0, --
Karel Vejmelka, Healthy, Ari, G, FA, Edm, L 3-5, 0, 0, 0, 0, 0, 0, --
Laurent Brossoit, IR, VGK, G, FA, @Nsh, W 5-2, 0, 0, 0, 0, 0, 0, --
Jonathan Bernier, IR, NJ, G, FA, Min, L 2-3, 0, 0, 0, 0, 0, 0, --
David Rittich, Healthy, Nsh, G, FA, VGK, L 2-5, 0, 0, 0, 0, 0, 0, --
Louis Domingue, Healthy, Pit, G, FA, Van, W 4-1, 0, 0, 0, 0, 0, 0, --
Sam Montembeault, Healthy, Mon, G, FA, @Wsh, L 3-6, 0, 0, 0, 0, 0, 0, --
Joonas Korpisalo, O, Cls, G, FA, Wpg, W 3-0, 0, 0, 0, 0, 0, 0, --
Eric Comrie, Healthy, Wpg, G, FA, @Cls, L 0-3, 0, 0, 0, 0, 0, 0, --
Charlie Lindgren, Healthy, StL, G, FA, @Det, L 2-4, 0, 0, 0, 0, 0, 0, --
Nico Daws, Healthy, NJ, G, FA, Min, L 2-3, 0, 0, 0, 0, 0, 0, --
Filip Gustavsson, Healthy, Ott, G, FA, @SJ, L 3-6, 0, 0, 0, 0, 0, 0, --
Stuart Skinner, Healthy, Edm, G, FA, @Ari, W 5-3, 0, 0, 0, 0, 0, 0, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, FA, Bos, L 1-5, 0, 0, 0, 0, 0, 0, --
Devan Dubnyk, Healthy, Col, G, FA, Ana, W 5-2, 0, 0, 0, 0, 0, 0, --
Henrik Lundqvist, IR, Wsh, G, FA, Mon, W 6-3, 0, 0, 0, 0, 0, 0, --
