Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Brayden Point, Healthy, TB, C- RW, BBS, StL, W 5-2, 1, 2, 1, 2, 0, 1, 0, 0, 0, 1, 6, 6, 0, 2, 0, 1, 8.7
Jamie Benn, Healthy, Dal, LW- C, LKR, Wpg, L 4-5, 1, 1, 1, 2, 0, 1, 0, 0, 0, 0, 14, 3, 0, 6, 3, 1, 8.1
Derick Brassard, O, Ott, C- LW, FA, @Ana, W 5-1, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 10, 6, 0, 1, 1, 1, 8.05
T.J. Oshie, O, Wsh, RW, BOWS, Cgy, W 3-0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 3, 1, 0, 3, 2, 2, 7.6
Jaret Anderson-Dolan, Healthy, LA, C, FA, @SJ, W 5-2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 2, 7.6
Jason Robertson, Healthy, Dal, LW, ME, Wpg, L 4-5, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 1, 6.85
Adam Larsson, Healthy, Sea, D, DINK, @Vgk, W 4-2, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 3, 6.8
Jakob Chychrun, O, Ott, D, ME, @Ana, W 5-1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 1, 6.7
Teddy Blueger, Healthy, Vgk, C- LW, FA, Sea, L 2-4, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 3, 4, 0, 2, 2, 1, 6.7
Josh Archibald, Healthy, Pit, RW, FA, @Phi, W 4-1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 6.7
Nikita Kucherov, Healthy, TB, RW, DINK, StL, W 5-2, 1, 0, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 6.55
David Krejci, DTD, Bos, C, OXP, Car, W 3-2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 4, 5, 0, 5, 2, 1, 6.5
Nicholas Paul, Healthy, TB, C- LW, FA, StL, W 5-2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 7, 6, 0, 3, 2, 2, 6.5
Mathieu Joseph, Healthy, Ott, RW- LW, FA, @Ana, W 5-1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 6.5
Andre Burakovsky, IR, Sea, LW- RW, FA, @Vgk, W 4-2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 6.4
Alex Ovechkin, Healthy, Wsh, LW, SALT, Cgy, W 3-0, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 6.1
Viktor Arvidsson, Healthy, LA, RW- LW, FA, @SJ, W 5-2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 1, 5.85
David Pastrnak, Healthy, Bos, RW, CLB, Car, W 3-2, 1, 1, 1, 1, 4, 1, 0, 0, 0, 1, 0, 0, 0, 4, 1, 0, 5.8
Brock Nelson, Healthy, NYI, C- LW, CLB, @Cls, W 3-2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 6, 6, 0, 3, 1, 3, 5.6
Brandon Hagel, Healthy, TB, LW- RW, DINK, StL, W 5-2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 5.5
Blake Wheeler, Healthy, Wpg, RW- C, FA, @Dal, W 5-4, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 5.4
Ryan Poehling, Healthy, Pit, C, FA, @Phi, W 4-1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 1, 0, 5.4
Shea Theodore, DTD, Vgk, D, ME, Sea, L 2-4, 1, 0, 2, -2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 4, 5.25
Kirill Kaprizov, O, Min, LW, CLB, Tor, L 3-4, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 5.2
