Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Jonathan Marchessault, Healthy, Vgk, RW- LW, HERB, @NYR, W 5-2, 1, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 1, 10.6
Pavel Buchnevich, Healthy, StL, RW- C- LW, OXP, @Sea, W 4-3, 1, 2, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 8.75
"Logan OConnor", IR, Col, RW, FA, LA, W 5-1, 1, 2, 0, 2, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 3, 7.7
Ivan Barbashev, Healthy, Vgk, LW- C- RW, OXP, @NYR, W 5-2, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 5.7
Brayden McNabb, Healthy, Vgk, D, LKR, @NYR, W 5-2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 5.2
Robert Thomas, Healthy, StL, C, OXP, @Sea, W 4-3, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 12, 9, 0, 2, 0, 0, 5.0
Oliver Bjorkstrand, Healthy, Sea, RW, OXP, StL, L 3-4, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5.0
Cale Makar, Healthy, Col, D, DINK, LA, W 5-1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 1, 1, 4.7
Ross Colton, Healthy, Col, LW, FA, LA, W 5-1, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 6, 4, 0, 1, 0, 0, 4.55
Bryan Rust, Healthy, Pit, RW, CLB, Fla, L 2-3, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 4.45
Jake Guentzel, Healthy, Car, LW, DINK, --, --, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 1, 1, 4.4
Blake Wheeler, IR, NYR, RW, FA, Vgk, L 2-5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4.4
Oliver Ekman-Larsson, Healthy, Fla, D, FA, @Pit, W 3-2, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4.3
Zach Whitecloud, Healthy, Vgk, D, FA, @NYR, W 5-2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4.2
