Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Kaiden Guhle, Healthy, Mon, D, HERB, @Phi, L 2-3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 7.3
Valeri Nichushkin, DTD, Col, RW, SALT, Vgk, W 3-0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 5, 1, 0, 7.2
Esa Lindell, Healthy, Dal, D, FA, Min, W 7-2, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 6.5
Nils Lundkvist, Healthy, Dal, D, FA, Min, W 7-2, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 6.3
David Savard, Healthy, Mon, D, FA, @Phi, L 2-3, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 5, 5.8
Roope Hintz, Healthy, Dal, C, ME, Min, W 7-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 6, 3, 0, 3, 0, 2, 5.6
Mason Marchment, Healthy, Dal, LW, FA, Min, W 7-2, 1, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5.6
Ryan Suter, Healthy, Dal, D, FA, Min, W 7-2, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 5.3
Sam Steel, Healthy, Dal, C, FA, Min, W 7-2, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 4.2
Mikko Rantanen, Healthy, Col, RW, HERB, Vgk, W 3-0, 1, 0, 2, 0, 2, 0, 2, 0, 0, 0, 5, 4, 0, 6, 0, 0, 4.0
Sean Monahan, Healthy, Wpg, C, CLB, --, --, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 5, 4, 0, 4, 0, 2, 4.0
Matt Boldy, Healthy, Min, LW, SALT, @Dal, L 2-7, 1, 1, 1, -1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 4, 2, 0, 3.95
Sean Couturier, Healthy, Phi, C, FA, Mon, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 17, 12, 0, 4, 1, 1, 3.7
Craig Smith, Healthy, Dal, RW, FA, Min, W 7-2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 3.2
Radek Faksa, Healthy, Dal, C, FA, Min, W 7-2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 0, 3.1
Jason Robertson, Healthy, Dal, LW, ME, Min, W 7-2, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 3.1
Ryan Hartman, Healthy, Min, C- RW, FA, @Dal, L 2-7, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 5, 2, 0, 4, 1, 0, 3.0
"Logan OConnor", IR, Col, RW, FA, Vgk, W 3-0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 3.0
Caleb Jones, Healthy, Col, D, FA, Vgk, W 3-0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 3.0
Matt Duchene, Healthy, Dal, C, SLC, Min, W 7-2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 5, 3, 0, 2, 0, 0, 2.9
Thomas Harley, Healthy, Dal, D, DINK, Min, W 7-2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2.9
Nathan MacKinnon, Healthy, Col, C, HERB, Vgk, W 3-0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 8, 0, 7, 0, 1, 2.85
Travis Konecny, Healthy, Phi, RW, FA, Mon, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2.8
Tyler Seguin, DTD, Dal, RW- C, SALT, Min, W 7-2, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 5, 8, 0, 3, 0, 0, 2.8
Jamie Drysdale, IR, Phi, D, FA, Mon, W 3-2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2.75
Samuel Girard, DTD, Col, D, FA, Vgk, W 3-0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2.6
Michael Pezzetta, Healthy, Mon, LW- RW, FA, @Phi, L 2-3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2.6
Juraj Slafkovsky, Healthy, Mon, LW, SLC, @Phi, L 2-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 2.6
Cale Makar, Healthy, Col, D, DINK, Vgk, W 3-0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 2.5
Mike Matheson, Healthy, Mon, D, CLB, @Phi, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2.5
Brock Faber, Healthy, Min, D, HERB, @Dal, L 2-7, 1, 0, 1, -2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 2.5
Tyson Foerster, Healthy, Phi, RW, FA, Mon, W 3-2, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2.45
Joe Pavelski, Healthy, Dal, RW, DINK, Min, W 7-2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 1, 2.4
Brayden McNabb, Healthy, Vgk, D, LKR, @Col, L 0-3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2.4
Jonathan Drouin, Healthy, Col, LW, FA, Vgk, W 3-0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2.25
Jani Hakanpaa, DTD, Dal, D, HERB, Min, W 7-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 2.2
Morgan Frost, Healthy, Phi, C, FA, Mon, W 3-2, 1, 1, 0, -2, 0, 1, 0, 0, 0, 0, 3, 5, 0, 2, 0, 1, 2.0
Justin Barron, Healthy, Mon, D, FA, @Phi, L 2-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2.0
Joel Eriksson Ek, DTD, Min, C, OXP, @Dal, L 2-7, 1, 0, 1, -2, 0, 0, 0, 0, 0, 0, 11, 8, 0, 2, 3, 0, 1.9
Owen Tippett, Healthy, Phi, RW, FA, Mon, W 3-2, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 1.9
Nick Seeler, IR, Phi, D, SLC, Mon, W 3-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 1.9
Devon Toews, Healthy, Col, D, BBS, Vgk, W 3-0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 1.8
Jack Johnson, Healthy, Col, D, FA, Vgk, W 3-0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 1.8
Rasmus Ristolainen, IR, Phi, D, FA, Mon, W 3-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 1.8
Alec Martinez, Healthy, Vgk, D, BBS, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1.6
Scott Laughton, Healthy, Phi, C- LW- RW, FA, Mon, W 3-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 0, 3, 0, 2, 1.5
Garnet Hathaway, Healthy, Phi, RW, FA, Mon, W 3-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1.5
Jayden Struble, Healthy, Mon, D, FA, @Phi, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 1.5
Mats Zuccarello, Healthy, Min, RW, BOWS, @Dal, L 2-7, 1, 0, 1, -2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1.45
Sean Walker, Healthy, Col, D, FA, Vgk, W 3-0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1.3
Sam Malinski, Healthy, Col, D, FA, Vgk, W 3-0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1.2
Grigori Denisenko, Healthy, Vgk, LW, FA, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1.2
Alex Pietrangelo, DTD, Vgk, D, DINK, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1.1
Ryan Poehling, Healthy, Phi, C, FA, Mon, W 3-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 1.1
Evgenii Dadonov, IR, Dal, RW, FA, Min, W 7-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1.1
Chandler Stephenson, Healthy, Vgk, C, FA, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 0, 1, 0, 1, 1.0
Jake Evans, Healthy, Mon, C- RW, FA, @Phi, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 0, 1, 1, 1, 1.0
Lukas Cormier, Healthy, Vgk, D, FA, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1.0
Emil Heineman, Healthy, Mon, LW, FA, @Phi, L 2-3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1.0
Nicolas Hague, Healthy, Vgk, D, FA, @Col, L 0-3, 1, 0, 0, -1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0.9
Mark Stone, IR, Vgk, RW, BBS, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0.9
Josh Anderson, Healthy, Mon, RW- LW, FA, @Phi, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0.9
Jack Eichel, Healthy, Vgk, C, BBS, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 4, 0, 0, 0.8
Ross Colton, Healthy, Col, LW, FA, Vgk, W 3-0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2, 1, 0, 0.8
Brendan Gallagher, Healthy, Mon, RW, FA, @Phi, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0.8
Jake Middleton, Healthy, Min, D, FA, @Dal, L 2-7, 1, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0.7
Kurtis MacDermid, DTD, NJ, D, FA, --, --, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0.7
Frederick Gaudreau, Healthy, Min, C, FA, @Dal, L 2-7, 1, 0, 0, -2, 0, 0, 0, 0, 0, 0, 9, 10, 0, 1, 2, 2, 0.6
Dakota Mermis, Healthy, Min, D, FA, @Dal, L 2-7, 1, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0.6
Jonathan Marchessault, Healthy, Vgk, RW- LW, HERB, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0.6
Pavel Dorofeyev, Healthy, Vgk, RW, FA, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0.6
Ivan Barbashev, Healthy, Vgk, LW- C- RW, OXP, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0.5
Joel Farabee, Healthy, Phi, LW, FA, Mon, W 3-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0.5
Paul Cotter, Healthy, Vgk, C, FA, @Col, L 0-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.5
Jesse Ylonen, Healthy, Mon, RW, FA, @Phi, L 2-3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5
Zach Bogosian, Healthy, Min, D, FA, @Dal, L 2-7, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0.5
Tobias Bjornfot, Healthy, Fla, D, FA, --, --, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.5
Marcus Foligno, Healthy, Min, RW- LW, FA, @Dal, L 2-7, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0.5
Marco Rossi, Healthy, Min, C, FA, @Dal, L 2-7, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 7, 3, 0, 2, 1, 0, 0.4
Bobby Brink, Healthy, Phi, RW, FA, Mon, W 3-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.4
Joel Hanley, Healthy, Cgy, D, FA, --, --, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.4
Fredrik Olofsson, Healthy, Col, LW, FA, Vgk, W 3-0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.4
Jason Polin, Healthy, Col, RW, FA, Vgk, W 3-0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.4
Zach Whitecloud, Healthy, Vgk, D, FA, @Col, L 0-3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0.4
Travis Sanheim, Healthy, Phi, D, BOWS, Mon, W 3-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0.3
Brandon Duhaime, Healthy, Col, LW- RW, FA, Vgk, W 3-0, 1, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0.3
Jordan Harris, Healthy, Mon, D, FA, @Phi, L 2-3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.3
Andrew Cogliano, Healthy, Col, C, FA, Vgk, W 3-0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0.2
Jamie Benn, Healthy, Dal, LW, OXP, Min, W 7-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 0, 0, 0, 1, 0.2
Cam Atkinson, Healthy, Phi, RW, FA, Mon, W 3-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0.2
