Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Ryan Suter, Healthy, Dal, D, FA, NYI, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 3, 3.0
Trevor Moore, Healthy, LA, LW, OXP, @Edm, L 2-4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 0, 2.9
Andreas Englund, Healthy, LA, D, FA, @Edm, L 2-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2.9
Casey Cizikas, Healthy, NYI, C, FA, @Dal, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 8, 0, 0, 2, 1, 2.8
Ethan Bear, O, Wsh, D, FA, Ott, W 6-3, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2.8
Pavel Zacha, Healthy, Bos, C, FA, @Sea, L 3-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 6, 6, 0, 1, 0, 1, 2.6
Cal Clutterbuck, Healthy, NYI, RW, FA, @Dal, W 3-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2.6
Alex Laferriere, Healthy, LA, RW, FA, @Edm, L 2-4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 2.6
Mattias Janmark, Healthy, Edm, RW- LW, FA, LA, W 4-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2.6
Yanni Gourde, Healthy, Sea, C- LW- RW, FA, Bos, W 4-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 8, 0, 0, 3, 1, 2.6
Quinton Byfield, Healthy, LA, C- LW, SLC, @Edm, L 2-4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2.5
Vincent Desharnais, Healthy, Edm, D, FA, LA, W 4-2, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 2.5
Michael Sgarbossa, Healthy, Wsh, C, FA, Ott, W 6-3, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 7, 0, 2, 0, 1, 2.45
Drake Batherson, Healthy, Ott, RW, FA, @Wsh, L 3-6, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2.4
Jordan Eberle, Healthy, Sea, RW, FA, Bos, W 4-3, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2.4
Alexander Alexeyev, Healthy, Wsh, D, FA, Ott, W 6-3, 1, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 2.4
Vladimir Tarasenko, Healthy, Fla, RW, BBS, --, --, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2.2
Phillip Danault, Healthy, LA, C, FA, @Edm, L 2-4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 4, 4, 0, 2.2
Andre Burakovsky, Healthy, Sea, RW- LW, FA, Bos, W 4-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2.2
Thomas Harley, Healthy, Dal, D, DINK, NYI, L 2-3, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2.15
Alex Wennberg, DTD, NYR, C, FA, --, --, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 9, 0, 2, 1, 1, 2.1
Parker Kelly, Healthy, Ott, C, FA, @Wsh, L 3-6, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 3, 2.1
Simon Holmstrom, Healthy, NYI, RW, FA, @Dal, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0
Jesper Boqvist, Healthy, Bos, C, FA, @Sea, L 3-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2.0
Adam Larsson, Healthy, Sea, D, BOWS, Bos, W 4-3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1.9
Wyatt Johnston, Healthy, Dal, C, HERB, NYI, L 2-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 2, 0, 1, 1.9
Will Borgen, Healthy, Sea, D, FA, Bos, W 4-3, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 1.9
Tom Wilson, SSPD, Wsh, RW, FA, Ott, W 6-3, 1, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 2, 1.7
Noah Dobson, Healthy, NYI, D, SLC, @Dal, W 3-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1.6
Trent Frederic, Healthy, Bos, LW- C- RW, DINK, @Sea, L 3-4, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 5, 4, 0, 4, 2, 2, 1.6
Joel Hanley, Healthy, Cgy, D, FA, --, --, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1.6
Matt Martin, Healthy, NYI, LW- RW, FA, @Dal, W 3-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 3, 1, 1.6
Connor Brown, Healthy, Edm, RW, FA, LA, W 4-2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5
Mattias Ekholm, Healthy, Edm, D, HERB, LA, W 4-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1.5
Justin Schultz, Healthy, Sea, D, FA, Bos, W 4-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1.5
Sebastian Aho, Healthy, NYI, D, FA, @Dal, W 3-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.5
Ryan McLeod, Healthy, Edm, C, FA, LA, W 4-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 3, 4, 0, 1.5
Travis Hamonic, Healthy, Ott, D, FA, @Wsh, L 3-6, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1.5
Eeli Tolvanen, Healthy, Sea, LW- RW, SALT, Bos, W 4-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 1.4
Josh Norris, IR, Ott, C, FA, @Wsh, L 3-6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 3, 1, 1.4
Jason Robertson, Healthy, Dal, LW, ME, NYI, L 2-3, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1.3
Adrian Kempe, Healthy, LA, RW- LW, BOWS, @Edm, L 2-4, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 1, 1.3
Adam Pelech, Healthy, NYI, D, FA, @Dal, W 3-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1.3
Joel Edmundson, O, Tor, D, FA, --, --, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1.3
Parker Wotherspoon, Healthy, Bos, D, FA, @Sea, L 3-4, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1.3
Evander Kane, Healthy, Edm, LW, OXP, LA, W 4-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 1.3
Darnell Nurse, Healthy, Edm, D, OXP, LA, W 4-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 1.2
Jake DeBrusk, Healthy, Bos, RW- LW, LKR, @Sea, L 3-4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 1.2
Jacob Bernard-Docker, Healthy, Ott, D, FA, @Wsh, L 3-6, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1.2
Jordan Spence, Healthy, LA, D, FA, @Edm, L 2-4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1.2
Radek Faksa, Healthy, Dal, C, FA, NYI, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1.2
Trevor van Riemsdyk, Healthy, Wsh, D, FA, Ott, W 6-3, 1, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1.1
Roope Hintz, Healthy, Dal, C, ME, NYI, L 2-3, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 3, 1, 1.1
Jamie Oleksiak, Healthy, Sea, D, FA, Bos, W 4-3, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 1.1
Jaden Schwartz, Healthy, Sea, LW, FA, Bos, W 4-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 3, 0, 1.1
Kevin Fiala, Healthy, LA, LW- RW, SLC, @Edm, L 2-4, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 0, 1.0
Brian Dumoulin, Healthy, Sea, D, FA, Bos, W 4-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.0
