Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Yegor Sharangovich, Healthy, Cgy, C- LW- RW, FA, @Ari, W 6-2, 1, 3, 0, 2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 6, 1, 1, 12.1
Jordan Kyrou, Healthy, StL, RW- LW, CLB, NYR, W 5-2, 1, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 8, 0, 2, 11.3
Mathew Barzal, Healthy, NYI, C, LKR, Tor, W 4-3, 1, 1, 3, 2, 0, 0, 2, 0, 0, 1, 2, 2, 0, 5, 1, 2, 10.8
Elias Pettersson, Healthy, Van, C- LW, SLC, @Pit, W 4-3, 1, 2, 2, 1, 0, 0, 1, 0, 0, 1, 3, 2, 0, 5, 0, 0, 9.35
Blake Coleman, Healthy, Cgy, RW- LW, LKR, @Ari, W 6-2, 1, 1, 2, 3, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 2, 8.95
Noah Dobson, Healthy, NYI, D, SLC, Tor, W 4-3, 1, 0, 4, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 3, 8.7
Pavel Buchnevich, Healthy, StL, RW- C- LW, OXP, NYR, W 5-2, 1, 1, 2, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 7.45
Luke Glendening, Healthy, TB, RW- C, FA, NJ, W 4-3, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 4, 0, 0, 2, 1, 0, 6.9
Sidney Crosby, Healthy, Pit, C, DINK, Van, L 3-4, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 18, 13, 0, 5, 5, 0, 6.8
Seth Jarvis, Healthy, Car, RW- C, BBS, Ana, W 6-3, 1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 1, 3, 0, 4, 0, 0, 6.7
Sam Reinhart, Healthy, Fla, RW, ME, LA, W 3-2, 1, 1, 1, 1, 2, 1, 0, 0, 0, 1, 6, 2, 0, 3, 0, 1, 6.5
Chris Tanev, Healthy, Dal, D, FA, --, --, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6.5
Elias Lindholm, DTD, Van, RW, ME, @Pit, W 4-3, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 13, 7, 0, 2, 1, 3, 6.35
Kris Letang, Healthy, Pit, D, HERB, Van, L 3-4, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 4, 6.3
Zach Hyman, Healthy, Edm, RW- LW, BBS, @Det, W 3-2, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 6.1
Nick Perbix, Healthy, TB, D, FA, NJ, W 4-3, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 6.0
MacKenzie Weegar, Healthy, Cgy, D, ME, @Ari, W 6-2, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 5.95
Adam Larsson, Healthy, Sea, D, BOWS, @Wsh, W 4-1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 5.9
Tage Thompson, Healthy, Buf, C, OXP, Ott, W 5-3, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 5, 1, 0, 5.8
Rasmus Dahlin, Healthy, Buf, D, BBS, Ott, W 5-3, 1, 0, 2, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 5, 2, 5.45
Colton Parayko, Healthy, StL, D, ME, NYR, W 5-2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 5.4
Auston Matthews, Healthy, Tor, C, BOWS, @NYI, L 3-4, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 10, 8, 0, 4, 0, 1, 5.4
Brock Boeser, Healthy, Van, RW, BOWS, @Pit, W 4-3, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5.3
Jack Eichel, Healthy, Vgk, C, BBS, Bos, W 2-1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 6, 6, 0, 4, 1, 1, 5.2
Mattias Ekholm, Healthy, Edm, D, HERB, @Det, W 3-2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 4, 5.2
Adam Lowry, Healthy, Wpg, C, FA, Chi, W 2-1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 5, 11, 0, 2, 2, 2, 5.2
Claude Giroux, Healthy, Ott, RW- C, FA, @Buf, L 3-5, 1, 2, 0, -1, 0, 0, 0, 0, 0, 0, 12, 5, 0, 3, 2, 0, 5.1
Stefan Noesen, Healthy, Car, LW- RW, FA, Ana, W 6-3, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 5, 0, 0, 5.05
Connor McDavid, Healthy, Edm, C, DINK, @Det, W 3-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 10, 9, 0, 7, 2, 1, 4.9
Darnell Nurse, Healthy, Edm, D, OXP, @Det, W 3-2, 1, 1, 0, -1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 4.9
J.T. Miller, Healthy, Van, C- LW- RW, HERB, @Pit, W 4-3, 1, 0, 3, 1, 2, 0, 1, 0, 0, 0, 6, 15, 0, 1, 2, 0, 4.85
Jordan Martinook, Healthy, Car, LW- RW, FA, Ana, W 6-3, 1, 1, 1, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4.8
Brayden Point, Healthy, TB, C, BBS, NJ, W 4-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 0, 5, 4.8
Nikolaj Ehlers, Healthy, Wpg, LW, HERB, Chi, W 2-1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 1, 1, 4.8
Marcus Pettersson, Healthy, Pit, D, FA, Van, L 3-4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4.8
Alex Wennberg, DTD, NYR, C, FA, @StL, L 2-5, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 8, 6, 0, 1, 0, 1, 4.8
Nikita Okhotiuk, Healthy, Cgy, D, FA, @Ari, W 6-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 4.8
Alex Pietrangelo, DTD, Vgk, D, DINK, Bos, W 2-1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 4.6
Filip Hronek, Healthy, Van, D, ME, @Pit, W 4-3, 1, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4.6
Brandon Tanev, Healthy, Sea, LW, FA, @Wsh, W 4-1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4.6
Luke Kunin, Healthy, SJ, C, FA, @Mon, W 3-2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 6, 6, 0, 1, 5, 1, 4.6
Andrei Svechnikov, Healthy, Car, LW, HERB, Ana, W 6-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 1, 4.4
Jordan Oesterle, Healthy, Cgy, D, FA, @Ari, W 6-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 4.4
Jonathan Huberdeau, Healthy, Cgy, LW, FA, @Ari, W 6-2, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4.35
Drew Doughty, Healthy, LA, D, ME, @Fla, L 2-3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 4.3
Robert Thomas, Healthy, StL, C, OXP, NYR, W 5-2, 1, 0, 2, 3, 2, 0, 1, 0, 0, 0, 6, 11, 0, 2, 0, 0, 4.25
Connor Murphy, IR, Chi, D, FA, @Wpg, L 1-2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4.2
Rasmus Andersson, Healthy, Cgy, D, ME, @Ari, W 6-2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 1, 4.1
Matthew Knies, Healthy, Tor, LW, LKR, @NYI, L 3-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 2, 4.1
Darren Raddysh, Healthy, TB, D, FA, NJ, W 4-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 4.1
Fabian Zetterlund, Healthy, SJ, RW- LW, FA, @Mon, W 3-2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 4.0
Olli Maatta, Healthy, Det, D, FA, Edm, L 2-3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 4.0
Bo Horvat, Healthy, NYI, C, DINK, Tor, W 4-3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 11, 8, 0, 6, 0, 0, 3.9
TJ Brodie, Healthy, Tor, D, FA, @NYI, L 3-4, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3.9
Peyton Krebs, Healthy, Buf, C, FA, Ott, W 5-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 3, 4, 0, 2, 1, 0, 3.9
Aleksander Barkov, Healthy, Fla, C, SALT, LA, W 3-2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 11, 8, 0, 5, 1, 1, 3.85
Alec Martinez, Healthy, Vgk, D, BBS, Bos, W 2-1, 1, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 5, 3.85
Jakob Chychrun, Healthy, Ott, D, FA, @Buf, L 3-5, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7, 3.8
Dylan Cozens, Healthy, Buf, C, FA, Ott, W 5-3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 9, 13, 0, 2, 0, 1, 3.8
Oliver Ekman-Larsson, Healthy, Fla, D, FA, LA, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 3.8
Brady Skjei, Healthy, Car, D, FA, Ana, W 6-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 3.7
Colin Miller, Healthy, Wpg, D, FA, Chi, W 2-1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 3.7
Adam Henrique, Healthy, Edm, LW- C, CLB, @Det, W 3-2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 9, 9, 0, 1, 1, 3, 3.65
Mike Matheson, Healthy, Mon, D, CLB, SJ, L 2-3, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3.6
Cole Caufield, Healthy, Mon, LW- RW, LKR, SJ, L 2-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 1, 3.6
Mikael Backlund, Healthy, Cgy, C, FA, @Ari, W 6-2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 7, 7, 0, 3, 1, 0, 3.6
Mason Lohrei, Healthy, Bos, D, FA, @Vgk, L 1-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 3.6
Matthew Tkachuk, Healthy, Fla, RW- LW, CLB, LA, W 3-2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 0, 3.5
Jake Guentzel, Healthy, Car, LW, DINK, Ana, W 6-3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 2, 0, 3.5
Phillip Danault, Healthy, LA, C, FA, @Fla, L 2-3, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 6, 8, 0, 1, 2, 4, 3.5
Brenden Dillon, Healthy, Wpg, D, FA, Chi, W 2-1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 3.5
Teuvo Teravainen, Healthy, Car, RW, OXP, Ana, W 6-3, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3.45
Trent Frederic, Healthy, Bos, LW- C- RW, DINK, @Vgk, L 1-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 2, 1, 3.4
Eric Robinson, Healthy, Buf, LW, FA, Ott, W 5-3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 3.4
Ryan Johnson, Healthy, Buf, D, FA, Ott, W 5-3, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 3.4
Nikita Kucherov, Healthy, TB, RW, DINK, NJ, W 4-3, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3.3
