Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Nathan MacKinnon, Healthy, Col, C, HERB, Wsh, W 6-2, 1, 4, 1, 3, 0, 2, 0, 0, 0, 1, 5, 8, 1, 8, 0, 1, 16.0
Mikko Rantanen, Healthy, Col, RW, HERB, Wsh, W 6-2, 1, 1, 4, 3, 0, 0, 2, 0, 0, 0, 3, 1, 0, 3, 0, 4, 12.5
Pius Suter, Healthy, Van, C, FA, StL, L 3-4, 1, 3, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 4, 0, 0, 9.5
Cale Makar, Healthy, Col, D, DINK, Wsh, W 6-2, 1, 1, 2, 3, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 2, 9.1
Matthew Tkachuk, Healthy, Fla, RW- LW, CLB, Ari, W 6-2, 1, 2, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0, 8.15
JJ Peterka, Healthy, Buf, RW, FA, @LA, W 5-3, 1, 2, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7.9
Jack Quinn, Healthy, Buf, RW, FA, @LA, W 5-3, 1, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 7.5
Justin Schultz, Healthy, Sea, D, FA, Chi, W 6-2, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6.5
Tomas Tatar, Healthy, Sea, LW, FA, Chi, W 6-2, 1, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 6.2
Carter Verhaeghe, Healthy, Fla, LW- C, BOWS, Ari, W 6-2, 1, 0, 3, 3, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 6.1
Trent Frederic, Healthy, Bos, LW- C- RW, DINK, Car, L 2-3, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 5, 2, 0, 2, 3, 1, 5.9
Jared McCann, Healthy, Sea, RW- C- LW, DINK, Chi, W 6-2, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 11, 8, 0, 3, 0, 0, 5.6
Jake Neighbours, Healthy, StL, LW, FA, @Van, W 4-3, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 2, 5.55
Dylan Cozens, Healthy, Buf, C, FA, @LA, W 5-3, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 9, 9, 0, 4, 0, 0, 5.4
Brad Marchand, Healthy, Bos, LW, DINK, Car, L 2-3, 1, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 5.4
Sam Bennett, Healthy, Fla, C- LW, ME, Ari, W 6-2, 1, 1, 0, 2, 2, 0, 0, 0, 0, 1, 8, 8, 0, 5, 0, 2, 5.3
Robert Thomas, Healthy, StL, C, OXP, @Van, W 4-3, 1, 0, 2, -1, 0, 0, 1, 0, 0, 0, 9, 5, 0, 1, 0, 4, 5.25
Adrian Kempe, Healthy, LA, RW- LW, BOWS, Buf, L 3-5, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 5.2
Dylan Strome, Healthy, Wsh, C, FA, @Col, L 2-6, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 0, 3, 0, 1, 5.2
Anze Kopitar, Healthy, LA, C, ME, Buf, L 3-5, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 18, 10, 0, 3, 0, 2, 5.1
Dylan Guenther, Healthy, Ari, RW, FA, @Fla, L 2-6, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 6, 1, 0, 5.1
Anton Lundell, Healthy, Fla, LW- C, FA, Ari, W 6-2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 10, 2, 0, 3, 0, 0, 5.1
