Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Boone Jenner, Healthy, Cls, C, OXP, @Ana, W 7-4, 1, 1, 2, 5, 2, 0, 0, 1, 0, 0, 9, 6, 0, 2, 1, 0, 9.1
Mason Lohrei, Healthy, Bos, D, FA, @Edm, W 6-5, 1, 0, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7.75
Sean Kuraly, DTD, Cls, C, FA, @Ana, W 7-4, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 8, 8, 0, 4, 7, 0, 7.0
Timothy Liljegren, Healthy, Tor, D, FA, @Ari, W 6-3, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 4, 6.85
Warren Foegele, Healthy, Edm, LW- RW, FA, Bos, L 5-6, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 1, 0, 6.4
Charlie McAvoy, Healthy, Bos, D, SLC, @Edm, W 6-5, 1, 1, 1, -2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 5, 2, 6.3
Troy Terry, Healthy, Ana, C- RW, FA, Cls, L 4-7, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 6.3
Auston Matthews, Healthy, Tor, C, BOWS, @Ari, W 6-3, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 6, 7, 0, 4, 1, 0, 6.1
Garnet Hathaway, Healthy, Phi, RW, FA, @Chi, W 3-1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 1, 6.0
Pavel Mintyukov, Healthy, Ana, D, FA, Cls, L 4-7, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5.9
Mitch Marner, O, Tor, RW, OXP, @Ari, W 6-3, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 5.8
Zach Hyman, Healthy, Edm, RW- LW, BBS, Bos, L 5-6, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 1, 0, 5.8
Alex Tuch, Healthy, Buf, RW, ME, @Mon, W 3-2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 2, 0, 2, 1, 2, 5.8
David Pastrnak, Healthy, Bos, RW, CLB, @Edm, W 6-5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 1, 2, 5.7
Johnny Gaudreau, Healthy, Cls, LW, FA, @Ana, W 7-4, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5.7
Bobby McMann, Healthy, Tor, C, FA, @Ari, W 6-3, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 5.7
TJ Brodie, Healthy, Tor, D, FA, @Ari, W 6-3, 1, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 5.7
William Nylander, Healthy, Tor, RW- LW, OXP, @Ari, W 6-3, 1, 2, 0, 1, 4, 1, 0, 0, 0, 0, 0, 1, 0, 7, 0, 0, 5.2
John Tavares, Healthy, Tor, C, BBS, @Ari, W 6-3, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 8, 6, 0, 4, 0, 1, 5.15
Jake DeBrusk, Healthy, Bos, RW- LW, LKR, @Edm, W 6-5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 5.1
Zach Werenski, Healthy, Cls, D, FA, @Ana, W 7-4, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 4.7
Arber Xhekaj, Healthy, Mon, D, FA, Buf, L 2-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 4.6
Alexandre Texier, Healthy, Cls, C- LW- RW, FA, @Ana, W 7-4, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 4.6
Connor McDavid, Healthy, Edm, C, DINK, Bos, L 5-6, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 9, 11, 0, 4, 1, 0, 4.5
Travis Konecny, Healthy, Phi, RW, FA, @Chi, W 3-1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 0, 0, 4.5
Travis Sanheim, Healthy, Phi, D, BOWS, @Chi, W 3-1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 4.3
Yegor Chinakhov, DTD, Cls, RW, FA, @Ana, W 7-4, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 4, 0, 0, 4.3
Colin Blackwell, DTD, Chi, C- RW, FA, Phi, L 1-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 4.2
Henri Jokiharju, Healthy, Buf, D, FA, @Mon, W 3-2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 4.1
Joshua Roy, O, Mon, LW- RW, FA, Buf, L 2-3, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4.1
Mason McTavish, Healthy, Ana, C- LW, CLB, Cls, L 4-7, 1, 2, 0, -1, 0, 0, 0, 0, 0, 0, 8, 9, 0, 3, 1, 0, 4.0
Pavel Zacha, Healthy, Bos, C, FA, @Edm, W 6-5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 14, 8, 0, 4, 0, 2, 4.0
Brandon Carlo, Healthy, Bos, D, FA, @Edm, W 6-5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 5, 4.0
Jake Bean, Healthy, Cls, D, FA, @Ana, W 7-4, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4.0
Josh Brown, Healthy, Ari, D, FA, Tor, L 3-6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 2, 4.0
Cody Ceci, Healthy, Edm, D, FA, Bos, L 5-6, 1, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3.9
Sean Walker, Healthy, Col, D, FA, --, --, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 3.9
Damon Severson, Healthy, Cls, D, FA, @Ana, W 7-4, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 3.85
Mattias Ekholm, Healthy, Edm, D, HERB, Bos, L 5-6, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 3.8
Jayden Struble, Healthy, Mon, D, FA, Buf, L 2-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 3.8
Jack Roslovic, Healthy, NYR, C- RW, FA, --, --, 1, 0, 2, 1, 2, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 3.6
Rasmus Dahlin, Healthy, Buf, D, BBS, @Mon, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3.4
Brad Marchand, Healthy, Bos, LW, DINK, @Edm, W 6-5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 3.3
Ryan Poehling, Healthy, Phi, C, FA, @Chi, W 3-1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 7, 8, 0, 1, 1, 2, 3.3
David Savard, Healthy, Mon, D, FA, Buf, L 2-3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 3.2
Darnell Nurse, Healthy, Edm, D, OXP, Bos, L 5-6, 1, 0, 1, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 3.1
Scott Laughton, Healthy, Phi, C- LW- RW, FA, @Chi, W 3-1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 1, 0, 2.9
Jeff Skinner, Healthy, Buf, LW, FA, @Mon, W 3-2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2.8
