Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Matt Boldy, Healthy, Min, LW, SALT, @Vgk, W 5-3, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 2, 0, 7, 0, 0, 7.6
Travis Konecny, Healthy, Phi, RW, FA, Ari, W 5-3, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 6.7
Joel Eriksson Ek, DTD, Min, C, OXP, @Vgk, W 5-3, 1, 2, 0, 2, 2, 0, 0, 0, 0, 0, 15, 8, 0, 4, 1, 0, 6.2
Jack Hughes, Healthy, NJ, C, BBS, Sea, W 3-1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 7, 0, 0, 5.95
Scott Laughton, Healthy, Phi, C- LW- RW, FA, Ari, W 5-3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 4, 6, 0, 1, 1, 1, 5.7
J.J. Moser, Healthy, Ari, D, FA, @Phi, L 3-5, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 5.7
Will Cuylle, Healthy, NYR, LW, FA, Cgy, W 2-0, 1, 1, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 2, 5.1
Brock Faber, Healthy, Min, D, HERB, @Vgk, W 5-3, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 5.0
Kirill Kaprizov, Healthy, Min, LW, CLB, @Vgk, W 5-3, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 1, 0, 4.65
Ryan Hartman, Healthy, Min, C- RW, FA, @Vgk, W 5-3, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 4, 0, 3, 2, 0, 4.55
Vincent Trocheck, Healthy, NYR, C, LKR, Cgy, W 2-0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 2, 0, 5, 5, 2, 4.5
Alex Kerfoot, Healthy, Ari, C, FA, @Phi, L 3-5, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0, 1, 2, 2, 4.3
Morgan Frost, Healthy, Phi, C, FA, Ari, W 5-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 12, 9, 0, 4, 3, 0, 4.1
Zach Whitecloud, Healthy, Vgk, D, FA, Min, L 3-5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 4.0
Mats Zuccarello, Healthy, Min, RW, BOWS, @Vgk, W 5-3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 3, 0, 1, 3.9
Travis Sanheim, Healthy, Phi, D, BOWS, Ari, W 5-3, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3.9
Michael Amadio, Healthy, Vgk, RW- C- LW, FA, Min, L 3-5, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 3.8
Michael Kesselring, Healthy, Ari, D, FA, @Phi, L 3-5, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3.8
Timo Meier, Healthy, NJ, LW- RW, SALT, Sea, W 3-1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 2, 3.7
Matt Dumba, Healthy, TB, D, FA, --, --, 1, 1, 0, -1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 3.7
Jimmy Vesey, Healthy, NYR, LW, FA, Cgy, W 2-0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 0, 3.7
Erik Haula, Healthy, NJ, LW, FA, Sea, W 3-1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 7, 7, 0, 3, 1, 2, 3.6
Alex Pietrangelo, DTD, Vgk, D, DINK, Min, L 3-5, 1, 0, 2, -2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 1, 3.45
Tyler Toffoli, Healthy, Wpg, RW, CLB, --, --, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 3.4
Jared McCann, Healthy, Sea, RW- C- LW, DINK, @NJ, L 1-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 3.3
Marc Staal, Healthy, Phi, D, FA, Ari, W 5-3, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3.3
Dawson Mercer, Healthy, NJ, RW- C, FA, Sea, W 3-1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3.1
Nicolas Hague, Healthy, Vgk, D, FA, Min, L 3-5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 3.1
Will Borgen, Healthy, Sea, D, FA, @NJ, L 1-3, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 3.1
Owen Tippett, Healthy, Phi, RW, FA, Ari, W 5-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 3.0
Garnet Hathaway, Healthy, Phi, RW, FA, Ari, W 5-3, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 0, 3.0
Nico Hischier, Healthy, NJ, C, SLC, Sea, W 3-1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 10, 6, 0, 3, 0, 1, 2.95
Kaapo Kakko, Healthy, NYR, RW, FA, Cgy, W 2-0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 2.9
Ondrej Palat, Healthy, NJ, LW, FA, Sea, W 3-1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 4, 2.9
Martin Pospisil, Healthy, Cgy, LW- RW, FA, @NYR, L 0-2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 9, 1, 2.8
Santeri Hatakka, Healthy, NJ, D, FA, Sea, W 3-1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2.8
Jamie Drysdale, IR, Phi, D, FA, Ari, W 5-3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2.7
Mark Stone, IR, Vgk, RW, BBS, Min, L 3-5, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 2.6
Jonny Brodzinski, Healthy, NYR, C, FA, Cgy, W 2-0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 6, 1, 0, 1, 0, 0, 2.6
Jacob Trouba, O, NYR, D, BOWS, Cgy, W 2-0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 2.6
Brendan Brisson, Healthy, Vgk, C, FA, Min, L 3-5, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2.55
Jason Zucker, Healthy, Nsh, LW- RW, FA, --, --, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2.5
MacKenzie Weegar, Healthy, Cgy, D, ME, @NYR, L 0-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 2.3
Jonathan Marchessault, Healthy, Vgk, RW- LW, HERB, Min, L 3-5, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 1, 0, 2.3
Marco Rossi, Healthy, Min, C, FA, @Vgk, W 5-3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 1, 1, 0, 2.3
Jordan Eberle, Healthy, Sea, RW, FA, @NJ, L 1-3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2.2
Dakota Mermis, Healthy, Min, D, FA, @Vgk, W 5-3, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2.1
Adam Larsson, Healthy, Sea, D, BOWS, @NJ, L 1-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 2.0
Matias Maccelli, Healthy, Ari, LW, FA, @Phi, L 3-5, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2.0
Nicolas Roy, Healthy, Vgk, C, FA, Min, L 3-5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 11, 0, 0, 0, 2, 2.0
Curtis Lazar, Healthy, NJ, RW, FA, Sea, W 3-1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 5, 0, 1, 3, 0, 2.0
Colin Miller, Healthy, Wpg, D, FA, --, --, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 2.0
