Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Jake Oettinger, Healthy, Dal, G, LKR, Edm, W 5-0, 1, 1, 0, 0, 35, 1, 9.5
Andrei Vasilevskiy, Healthy, TB, G, LKR, @Tor, W 4-1, 1, 1, 0, 1, 28, 0, 6.3
Arturs Silovs, Healthy, Van, G, FA, @Ari, W 2-1, 1, 1, 0, 1, 20, 0, 5.5
Cam Talbot, Healthy, LA, G, BOWS, Sea, W 5-2, 1, 1, 0, 2, 21, 0, 5.1
Igor Shesterkin, Healthy, NYR, G, DINK, NJ, W 4-3, 1, 1, 0, 3, 17, 0, 4.2
Connor Ingram, Healthy, Ari, G, OXP, Van, L 1-2, 1, 0, 1, 2, 31, 0, 1.1
Kaapo Kahkonen, Healthy, NJ, G, FA, @NYR, L 3-4, 1, 0, 1, 4, 37, 0, 0.7
Thatcher Demko, Healthy, Van, G, BOWS, @Ari, W 2-1, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, @Dal, L 0-5, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, TB, L 1-4, --, --, --, --, --, --, --
Joey Daccord, Healthy, Sea, G, FA, @LA, L 2-5, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, NJ, W 4-3, --, --, --, --, --, --, --
Jonas Johansson, DTD, TB, G, OXP, @Tor, W 4-1, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, FA, @Ari, W 2-1, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, TB, L 1-4, --, --, --, --, --, --, --
Jake Allen, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
David Rittich, Healthy, LA, G, HERB, Sea, W 5-2, --, --, --, --, --, --, --
Scott Wedgewood, Healthy, Dal, G, FA, Edm, W 5-0, --, --, --, --, --, --, --
Karel Vejmelka, Healthy, Ari, G, FA, Van, L 1-2, --, --, --, --, --, --, --
Pheonix Copley, IR, LA, G, FA, Sea, W 5-2, --, --, --, --, --, --, --
Jack Campbell, Healthy, Edm, G, FA, @Dal, L 0-5, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
Matt Tomkins, Healthy, TB, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, NJ, W 4-3, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, TB, L 1-4, --, --, --, --, --, --, --
Matt Murray, Healthy, Dal, G, FA, Edm, W 5-0, --, --, --, --, --, --, --
Chris Driedger, Healthy, Sea, G, FA, @LA, L 2-5, --, --, --, --, --, --, --
Braden Holtby, Healthy, Dal, G, FA, Edm, W 5-0, --, --, --, --, --, --, --
Jaroslav Halak, Healthy, NYR, G, FA, NJ, W 4-3, --, --, --, --, --, --, --
Mike Smith, Healthy, Edm, G, FA, @Dal, L 0-5, --, --, --, --, --, --, --
Brian Elliott, Healthy, TB, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Dylan Wells, Healthy, Dal, G, FA, Edm, W 5-0, --, --, --, --, --, --, --
Michael Hrabal, Healthy, Ari, G, FA, Van, L 1-2, --, --, --, --, --, --, --
Jack LaFontaine, Healthy, TB, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Jonathan Bernier, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
Hugo Alnefelt, Healthy, TB, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Mikko Koskinen, Healthy, Edm, G, FA, @Dal, L 0-5, --, --, --, --, --, --, --
Jett Alexander, Healthy, Tor, G, FA, TB, L 1-4, --, --, --, --, --, --, --
Eddie Lack, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
Erik Kallgren, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
Mike Condon, Healthy, TB, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Alexei Melnichuk, Healthy, TB, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Andrew Hammond, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
Zach Sawchenko, Healthy, Van, G, FA, @Ari, W 2-1, --, --, --, --, --, --, --
Harri Sateri, Healthy, Ari, G, FA, Van, L 1-2, --, --, --, --, --, --, --
Adam Huska, Healthy, NYR, G, FA, NJ, W 4-3, --, --, --, --, --, --, --
Matthew Berlin, Healthy, Edm, G, FA, @Dal, L 0-5, --, --, --, --, --, --, --
Garret Sparks, Healthy, LA, G, FA, Sea, W 5-2, --, --, --, --, --, --, --
Dennis Hildeby, Healthy, Tor, G, FA, TB, L 1-4, --, --, --, --, --, --, --
Maxime Lagace, Healthy, TB, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Keith Kinkaid, Healthy, NJ, G, FA, @NYR, L 3-4, --, --, --, --, --, --, --
Shane Starrett, Healthy, Edm, G, FA, @Dal, L 0-5, --, --, --, --, --, --, --
Keith Petruzzelli, Healthy, Tor, G, FA, TB, L 1-4, --, --, --, --, --, --, --
Landon Bow, Healthy, Dal, G, FA, Edm, W 5-0, --, --, --, --, --, --, --
Carter Hutton, Healthy, Tor, G, FA, TB, L 1-4, --, --, --, --, --, --, --
Josef Korenar, Healthy, Ari, G, FA, Van, L 1-2, --, --, --, --, --, --, --
Jean-Francois Berube, Healthy, LA, G, FA, Sea, W 5-2, --, --, --, --, --, --, --
Matt Villalta, Healthy, Ari, G, FA, Van, L 1-2, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, @Dal, L 0-5, 1, 0, 1, 5, 27, 0, -0.8
Joseph Woll, Healthy, Tor, G, BBS, TB, L 1-4, 1, 0, 1, 4, 21, 0, -0.9
Philipp Grubauer, Healthy, Sea, G, FA, @LA, L 2-5, 1, 0, 1, 5, 22, 0, -1.3
Connor Hellebuyck, O, Wpg, G, HERB, --, --, --, --, --, --, --, --, --
Alexandar Georgiev, Healthy, Col, G, SLC, --, --, --, --, --, --, --, --, --
Ilya Sorokin, Healthy, NYI, G, CLB, --, --, --, --, --, --, --, --, --
Jeremy Swayman, Healthy, Bos, G, SALT, --, --, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, --, --, --, --, --, --, --, --, --
Juuse Saros, Healthy, Nsh, G, SALT, --, --, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, --, --, --, --, --, --, --, --, --
Adin Hill, Healthy, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Tristan Jarry, Healthy, Pit, G, SLC, --, --, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, --, --, --, --, --, --, --, --, --
Jacob Markstrom, Healthy, Cgy, G, BBS, --, --, --, --, --, --, --, --, --
Jordan Binnington, Healthy, StL, G, ME, --, --, --, --, --, --, --, --, --
Filip Gustavsson, Healthy, Min, G, BOWS, --, --, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, --, --, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, --, --, --, --, --, --, --, --, --
Pyotr Kochetkov, Healthy, Car, G, BBS, --, --, --, --, --, --, --, --, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, --, --, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, --, --, --, --, --, --, --, --, --
Charlie Lindgren, Healthy, Wsh, G, FA, --, --, --, --, --, --, --, --, --
Joonas Korpisalo, Healthy, Ott, G, FA, --, --, --, --, --, --, --, --, --
Alex Lyon, Healthy, Det, G, SALT, --, --, --, --, --, --, --, --, --
Marc-Andre Fleury, Healthy, Min, G, FA, --, --, --, --, --, --, --, --, --
Semyon Varlamov, Healthy, NYI, G, FA, --, --, --, --, --, --, --, --, --
Alex Nedeljkovic, Healthy, Pit, G, FA, --, --, --, --, --, --, --, --, --
Ville Husso, O, Det, G, OXP, --, --, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, FA, --, --, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, --, --, --, --, --, --, --, --, --
Laurent Brossoit, Healthy, Wpg, G, FA, --, --, --, --, --, --, --, --, --
Petr Mrazek, Healthy, Chi, G, FA, --, --, --, --, --, --, --, --, --
Samuel Ersson, Healthy, Phi, G, BBS, --, --, --, --, --, --, --, --, --
John Gibson, Healthy, Ana, G, FA, --, --, --, --, --, --, --, --, --
Anthony Stolarz, Healthy, Fla, G, FA, --, --, --, --, --, --, --, --, --
James Reimer, Healthy, Det, G, FA, --, --, --, --, --, --, --, --, --
Lukas Dostal, Healthy, Ana, G, FA, --, --, --, --, --, --, --, --, --
Dustin Wolf, Healthy, Cgy, G, SLC, --, --, --, --, --, --, --, --, --
