Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Kaapo Kahkonen, Healthy, NJ, G, FA, @NYI, W 4-0, 1, 1, 0, 0, 36, 1, 9.6
Charlie Lindgren, Healthy, Wsh, G, FA, Wpg, W 3-0, 1, 1, 0, 0, 27, 1, 8.7
Cayden Primeau, Healthy, Mon, G, FA, @Sea, W 5-1, 1, 1, 0, 1, 36, 0, 7.1
Frederik Andersen, Healthy, Car, G, BBS, Tor, W 2-1, 1, 1, 0, 1, 32, 0, 6.7
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, @Cgy, W 4-1, 1, 1, 0, 1, 32, 0, 6.7
Anthony Stolarz, Healthy, Fla, G, FA, @Phi, W 4-1, 1, 1, 0, 1, 32, 0, 6.7
Jonas Johansson, DTD, TB, G, OXP, @Ana, W 3-2, 1, 1, 0, 2, 30, 0, 6.0
Joonas Korpisalo, Healthy, Ott, G, FA, Edm, W 5-3, 1, 1, 0, 3, 33, 0, 5.8
Jake Oettinger, Healthy, Dal, G, LKR, @Ari, W 4-2, 1, 1, 0, 2, 26, 0, 5.6
Alexandar Georgiev, Healthy, Col, G, SLC, Pit, W 5-4, 1, 1, 0, 4, 30, 0, 5.0
Joseph Woll, Healthy, Tor, G, BBS, @Car, L 1-2, 1, 0, 1, 2, 41, 0, 2.1
Lukas Dostal, Healthy, Ana, G, FA, TB, L 2-3, 1, 0, 0, 3, 24, 0, 0.9
Connor Ingram, Healthy, Ari, G, OXP, Dal, L 2-4, 1, 0, 1, 3, 31, 0, 0.6
Joey Daccord, Healthy, Sea, G, FA, Mon, L 1-5, 0, 0, 0, 1, 10, 0, 0.5
Dustin Wolf, Healthy, Cgy, G, SLC, Buf, L 1-4, 1, 0, 1, 2, 25, 0, 0.5
Ilya Sorokin, Healthy, NYI, G, CLB, NJ, L 0-4, 1, 0, 1, 3, 26, 0, 0.1
Alex Nedeljkovic, Healthy, Pit, G, FA, @Col, L 4-5, 1, 0, 0, 4, 21, 0, 0.1
Andrei Vasilevskiy, Healthy, TB, G, LKR, @Ana, W 3-2, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, @Phi, W 4-1, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, @Ott, L 3-5, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, @Car, L 1-2, --, --, --, --, --, --, --
Jacob Markstrom, Healthy, Cgy, G, BBS, Buf, L 1-4, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, Fla, L 1-4, --, --, --, --, --, --, --
Pyotr Kochetkov, Healthy, Car, G, BBS, Tor, W 2-1, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, @Phi, W 4-1, --, --, --, --, --, --, --
Semyon Varlamov, Healthy, NYI, G, FA, NJ, L 0-4, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, FA, Wpg, W 3-0, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, @Cgy, W 4-1, --, --, --, --, --, --, --
Laurent Brossoit, Healthy, Wpg, G, FA, @Wsh, L 0-3, --, --, --, --, --, --, --
Samuel Ersson, Healthy, Phi, G, BBS, Fla, L 1-4, --, --, --, --, --, --, --
John Gibson, Healthy, Ana, G, FA, TB, L 2-3, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, @Car, L 1-2, --, --, --, --, --, --, --
Jake Allen, Healthy, NJ, G, FA, @NYI, W 4-0, --, --, --, --, --, --, --
