Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Semyon Varlamov, Healthy, NYI, G, FA, @Cls, W 2-0, 1, 1, 0, 0, 34, 1, 9.4
Joonas Korpisalo, Healthy, Ott, G, FA, @Pit, W 5-2, 1, 1, 0, 2, 41, 0, 7.1
Jake Allen, Healthy, NJ, G, FA, --, --, 1, 1, 0, 3, 42, 0, 6.7
Juuse Saros, Healthy, Nsh, G, SALT, Tor, W 3-2, 1, 1, 0, 2, 33, 0, 6.3
Logan Thompson, Healthy, Vgk, G, DINK, @LA, W 4-3, 1, 1, 0, 3, 37, 0, 6.2
Sergei Bobrovsky, Healthy, Fla, G, ME, Sea, W 3-2, 1, 1, 0, 2, 31, 0, 6.1
Jeremy Swayman, Healthy, Bos, G, SALT, Det, W 4-1, 1, 1, 0, 1, 23, 0, 5.8
Igor Shesterkin, Healthy, NYR, G, DINK, @Van, W 4-3, 1, 1, 0, 3, 30, 0, 5.5
Lukas Dostal, Healthy, Ana, G, FA, @Phi, W 7-4, 1, 1, 0, 4, 26, 0, 4.6
Cam Talbot, Healthy, LA, G, BOWS, Vgk, L 3-4, 1, 0, 0, 3, 27, 0, 1.2
Spencer Martin, Healthy, Car, G, FA, --, --, 1, 0, 1, 2, 32, 0, 1.2
Laurent Brossoit, Healthy, Wpg, G, FA, @Mon, L 3-4, 1, 0, 0, 3, 26, 0, 1.1
Joey Daccord, Healthy, Sea, G, FA, @Fla, L 2-3, 1, 0, 1, 3, 34, 0, 0.9
Ilya Samsonov, Healthy, Tor, G, HERB, @Nsh, L 2-3, 1, 0, 0, 3, 21, 0, 0.6
Magnus Hellberg, Healthy, Fla, G, FA, Sea, W 3-2, 0, 0, 0, 2, 15, 0, 0.5
Ville Husso, O, Det, G, OXP, @Bos, L 1-4, 1, 0, 1, 3, 27, 0, 0.2
Connor Hellebuyck, Healthy, Wpg, G, HERB, @Mon, L 3-4, --, --, --, --, --, --, --
Thatcher Demko, O, Van, G, BOWS, NYR, L 3-4, --, --, --, --, --, --, --
Ilya Sorokin, Healthy, NYI, G, CLB, @Cls, W 2-0, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, Det, W 4-1, --, --, --, --, --, --, --
Adin Hill, Healthy, Vgk, G, DINK, @LA, W 4-3, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, Ana, L 4-7, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, @Van, W 4-3, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, Sea, W 3-2, --, --, --, --, --, --, --
Alex Lyon, Healthy, Det, G, SALT, @Bos, L 1-4, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, @Nsh, L 2-3, --, --, --, --, --, --, --
John Gibson, Healthy, Ana, G, FA, @Phi, W 7-4, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, FA, NYR, L 3-4, 1, 0, 0, 4, 20, 0, 0.0
Philipp Grubauer, Healthy, Sea, G, FA, @Fla, L 2-3, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, @Nsh, L 2-3, --, --, --, --, --, --, --
Elvis Merzlikins, Healthy, Cls, G, FA, NYI, L 0-2, --, --, --, --, --, --, --
Sam Montembeault, Healthy, Mon, G, BOWS, Wpg, W 4-3, --, --, --, --, --, --, --
Anthony Stolarz, Healthy, Fla, G, FA, Sea, W 3-2, --, --, --, --, --, --, --
Alex Nedeljkovic, Healthy, Pit, G, FA, Ott, L 2-5, --, --, --, --, --, --, --
David Rittich, Healthy, LA, G, HERB, Vgk, L 3-4, --, --, --, --, --, --, --
James Reimer, Healthy, Det, G, FA, @Bos, L 1-4, --, --, --, --, --, --, --
Pheonix Copley, IR, LA, G, FA, Vgk, L 3-4, --, --, --, --, --, --, --
Anton Forsberg, Healthy, Ott, G, FA, @Pit, W 5-2, --, --, --, --, --, --, --
Daniil Tarasov, Healthy, Cls, G, FA, NYI, L 0-2, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, @LA, W 4-3, --, --, --, --, --, --, --
Yaroslav Askarov, Healthy, Nsh, G, FA, Tor, W 3-2, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, @Pit, W 5-2, --, --, --, --, --, --, --
Kevin Lankinen, Healthy, Nsh, G, FA, Tor, W 3-2, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, @Van, W 4-3, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, @Nsh, L 2-3, --, --, --, --, --, --, --
Cayden Primeau, Healthy, Mon, G, FA, Wpg, W 4-3, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, Wpg, W 4-3, --, --, --, --, --, --, --
Chris Driedger, Healthy, Sea, G, FA, @Fla, L 2-3, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, Det, W 4-1, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, NYI, L 0-2, --, --, --, --, --, --, --
Sebastian Cossa, Healthy, Det, G, FA, @Bos, L 1-4, --, --, --, --, --, --, --
Jiri Patera, Healthy, Vgk, G, FA, @LA, W 4-3, --, --, --, --, --, --, --
Cal Petersen, Healthy, Phi, G, FA, Ana, L 4-7, --, --, --, --, --, --, --
Jaroslav Halak, Healthy, NYR, G, FA, @Van, W 4-3, --, --, --, --, --, --, --
Felix Sandstrom, Healthy, Phi, G, FA, Ana, L 4-7, --, --, --, --, --, --, --
Arturs Silovs, Healthy, Van, G, FA, NYR, L 3-4, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, Det, W 4-1, --, --, --, --, --, --, --
