Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Igor Shesterkin, Healthy, NYR, G, DINK, Ott, W 4-0, 1, 1, 0, 0, 25, 1, 8.5
Charlie Lindgren, Healthy, Wsh, G, FA, Bos, W 2-0, 1, 1, 0, 0, 16, 1, 7.6
Eric Comrie, Healthy, Buf, G, FA, @TB, W 4-2, 1, 1, 0, 2, 31, 0, 6.1
Filip Gustavsson, Healthy, Min, G, BOWS, @LA, W 3-1, 1, 1, 0, 1, 23, 0, 5.8
Semyon Varlamov, Healthy, NYI, G, FA, @NJ, W 4-1, 1, 1, 0, 1, 23, 0, 5.8
Alex Nedeljkovic, Healthy, Pit, G, FA, Nsh, W 4-2, 1, 1, 0, 2, 28, 0, 5.8
Stuart Skinner, Healthy, Edm, G, ME, SJ, W 9-2, 1, 1, 0, 2, 19, 0, 4.9
Alex Lyon, Healthy, Det, G, SALT, Mon, W 5-4, 1, 1, 0, 4, 17, 0, 3.7
Georgi Romanov, Healthy, SJ, G, FA, @Edm, L 2-9, 0, 0, 0, 1, 15, 0, 1.0
Jeremy Swayman, Healthy, Bos, G, SALT, @Wsh, L 0-2, 1, 0, 1, 1, 23, 0, 0.8
Sam Montembeault, Healthy, Mon, G, BOWS, @Det, L 4-5, 1, 0, 0, 5, 30, 0, 0.5
Juuse Saros, Healthy, Nsh, G, SALT, @Pit, L 2-4, 1, 0, 1, 4, 34, 0, 0.4
Andrei Vasilevskiy, Healthy, TB, G, LKR, Buf, L 2-4, 1, 0, 1, 4, 30, 0, 0.0
Ilya Sorokin, Healthy, NYI, G, CLB, @NJ, W 4-1, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, @Wsh, L 0-2, --, --, --, --, --, --, --
Cam Talbot, Healthy, LA, G, BOWS, Min, L 1-3, 1, 0, 1, 3, 25, 0, 0.0
Tristan Jarry, Healthy, Pit, G, SLC, Nsh, W 4-2, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, @Edm, L 2-9, --, --, --, --, --, --, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, @TB, W 4-2, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, Ott, W 4-0, --, --, --, --, --, --, --
Joonas Korpisalo, Healthy, Ott, G, FA, @NYR, L 0-4, 1, 0, 1, 4, 30, 0, 0.0
Marc-Andre Fleury, Healthy, Min, G, FA, @LA, W 3-1, --, --, --, --, --, --, --
Ville Husso, O, Det, G, OXP, Mon, W 5-4, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, SJ, W 9-2, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, FA, Bos, W 2-0, --, --, --, --, --, --, --
Jonas Johansson, DTD, TB, G, OXP, Buf, L 2-4, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, @TB, W 4-2, --, --, --, --, --, --, --
