Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Sergei Bobrovsky, Healthy, Fla, G, ME, @Ott, W 6-0, 1, 1, 0, 0, 30, 1, 9.0
Justus Annunen, Healthy, Col, G, FA, @Min, W 5-2, 1, 1, 0, 2, 44, 0, 7.4
Juuse Saros, Healthy, Nsh, G, SALT, StL, W 6-3, 1, 1, 0, 3, 44, 0, 6.9
Alex Nedeljkovic, Healthy, Pit, G, FA, @Wsh, W 4-1, 1, 1, 0, 1, 30, 0, 6.5
Jeremy Swayman, Healthy, Bos, G, SALT, @Car, W 4-1, 1, 1, 0, 1, 28, 0, 6.3
Connor Hellebuyck, O, Wpg, G, HERB, Cgy, W 5-2, 1, 1, 0, 2, 31, 0, 6.1
Ilya Sorokin, Healthy, NYI, G, CLB, @Cls, W 4-2, 1, 1, 0, 2, 25, 0, 5.5
David Rittich, Healthy, LA, G, HERB, @SJ, W 2-1, 1, 1, 0, 1, 15, 0, 5.0
Matt Tomkins, Healthy, TB, G, FA, @Mon, W 7-4, 1, 1, 0, 4, 26, 0, 4.6
Dustin Wolf, Healthy, Cgy, G, SLC, @Wpg, L 2-5, 1, 0, 1, 4, 40, 0, 1.0
Jet Greaves, Healthy, Cls, G, FA, NYI, L 2-4, 0, 0, 1, 1, 24, 0, 0.9
Mackenzie Blackwood, O, SJ, G, FA, LA, L 1-2, 1, 0, 1, 2, 25, 0, 0.5
Daniil Tarasov, O, Cls, G, FA, NYI, L 2-4, 1, 0, 0, 2, 13, 0, 0.3
Anton Forsberg, Healthy, Ott, G, FA, Fla, L 0-6, 0, 0, 0, 2, 12, 0, 0.2
Filip Gustavsson, Healthy, Min, G, BOWS, Col, L 2-5, 1, 0, 1, 4, 31, 0, 0.1
Andrei Vasilevskiy, Healthy, TB, G, LKR, @Mon, W 7-4, --, --, --, --, --, --, --
Alexandar Georgiev, Healthy, Col, G, SLC, @Min, W 5-2, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, @Car, W 4-1, --, --, --, --, --, --, --
Cam Talbot, Healthy, LA, G, BOWS, @SJ, W 2-1, --, --, --, --, --, --, --
Tristan Jarry, Healthy, Pit, G, SLC, @Wsh, W 4-1, --, --, --, --, --, --, --
Jacob Markstrom, Healthy, Cgy, G, BBS, @Wpg, L 2-5, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, LA, L 1-2, --, --, --, --, --, --, --
Pyotr Kochetkov, Healthy, Car, G, BBS, Bos, L 1-4, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, @Ott, W 6-0, --, --, --, --, --, --, --
Marc-Andre Fleury, Healthy, Min, G, FA, Col, L 2-5, --, --, --, --, --, --, --
Semyon Varlamov, Healthy, NYI, G, FA, @Cls, W 4-2, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, FA, Pit, L 1-4, --, --, --, --, --, --, --
Jonas Johansson, DTD, TB, G, OXP, @Mon, W 7-4, --, --, --, --, --, --, --
Laurent Brossoit, Healthy, Wpg, G, FA, Cgy, W 5-2, --, --, --, --, --, --, --
Anthony Stolarz, Healthy, Fla, G, FA, @Ott, W 6-0, --, --, --, --, --, --, --
Sam Montembeault, Healthy, Mon, G, BOWS, TB, L 4-7, --, --, --, --, --, --, --
Elvis Merzlikins, Healthy, Cls, G, FA, NYI, L 2-4, --, --, --, --, --, --, --
Joel Hofer, Healthy, StL, G, FA, @Nsh, L 3-6, --, --, --, --, --, --, --
Antti Raanta, Healthy, Car, G, FA, Bos, L 1-4, --, --, --, --, --, --, --
Pheonix Copley, IR, LA, G, FA, @SJ, W 2-1, --, --, --, --, --, --, --
Jesper Wallstedt, Healthy, Min, G, FA, Col, L 2-5, --, --, --, --, --, --, --
Kevin Lankinen, Healthy, Nsh, G, FA, StL, W 6-3, --, --, --, --, --, --, --
Spencer Martin, Healthy, Car, G, FA, Bos, L 1-4, --, --, --, --, --, --, --
Yaroslav Askarov, Healthy, Nsh, G, FA, StL, W 6-3, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, Fla, L 0-6, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, TB, L 4-7, --, --, --, --, --, --, --
Dan Vladar, O, Cgy, G, FA, @Wpg, L 2-5, --, --, --, --, --, --, --
Malcolm Subban, Healthy, Cls, G, FA, NYI, L 2-4, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, @Car, W 4-1, --, --, --, --, --, --, --
Ivan Prosvetov, Healthy, Col, G, FA, @Min, W 5-2, --, --, --, --, --, --, --
Pavel Francouz, IR, Col, G, FA, @Min, W 5-2, --, --, --, --, --, --, --
Devin Cooley, Healthy, SJ, G, FA, LA, L 1-2, --, --, --, --, --, --, --
Artyom Zagidulin, Healthy, Cgy, G, FA, @Wpg, L 2-5, --, --, --, --, --, --, --
Hunter Shepard, Healthy, Wsh, G, FA, Pit, L 1-4, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, @Car, W 4-1, --, --, --, --, --, --, --
Brian Elliott, Healthy, TB, G, FA, @Mon, W 7-4, --, --, --, --, --, --, --
Magnus Chrona, Healthy, SJ, G, FA, LA, L 1-2, --, --, --, --, --, --, --
Magnus Hellberg, Healthy, Fla, G, FA, @Ott, W 6-0, --, --, --, --, --, --, --
Thomas Greiss, Healthy, StL, G, FA, @Nsh, L 3-6, --, --, --, --, --, --, --
Eetu Makiniemi, Healthy, SJ, G, FA, LA, L 1-2, --, --, --, --, --, --, --
Jack LaFontaine, Healthy, TB, G, FA, @Mon, W 7-4, --, --, --, --, --, --, --
Hunter Miska, Healthy, Col, G, FA, @Min, W 5-2, --, --, --, --, --, --, --
Antti Niemi, Healthy, Mon, G, FA, TB, L 4-7, --, --, --, --, --, --, --
Hugo Alnefelt, Healthy, TB, G, FA, @Mon, W 7-4, --, --, --, --, --, --, --
Collin Delia, Healthy, Wpg, G, FA, Cgy, W 5-2, --, --, --, --, --, --, --
Cory Schneider, Healthy, NYI, G, FA, @Cls, W 4-2, --, --, --, --, --, --, --
Niklas Svedberg, Healthy, Min, G, FA, Col, L 2-5, --, --, --, --, --, --, --
Zach Fucale, Healthy, Wsh, G, FA, Pit, L 1-4, --, --, --, --, --, --, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, StL, W 6-3, --, --, --, --, --, --, --
Kenneth Appleby, Healthy, NYI, G, FA, @Cls, W 4-2, --, --, --, --, --, --, --
Leevi Merilainen, Healthy, Ott, G, FA, Fla, L 0-6, --, --, --, --, --, --, --
Mike Condon, Healthy, TB, G, FA, @Mon, W 7-4, --, --, --, --, --, --, --
Alexei Melnichuk, Healthy, TB, G, FA, @Mon, W 7-4, --, --, --, --, --, --, --
Dylan Ferguson, Healthy, Ott, G, FA, Fla, L 0-6, --, --, --, --, --, --, --
Danny Taylor, Healthy, Ott, G, FA, Fla, L 0-6, --, --, --, --, --, --, --
Garret Sparks, Healthy, LA, G, FA, @SJ, W 2-1, --, --, --, --, --, --, --
Troy Grosenick, Healthy, Nsh, G, FA, StL, W 6-3, --, --, --, --, --, --, --
Maxime Lagace, Healthy, TB, G, FA, @Mon, W 7-4, --, --, --, --, --, --, --
Aaron Dell, Healthy, Cls, G, FA, NYI, L 2-4, --, --, --, --, --, --, --
Michael McNiven, Healthy, Ott, G, FA, Fla, L 0-6, --, --, --, --, --, --, --
Jared Coreau, Healthy, NYI, G, FA, @Cls, W 4-2, --, --, --, --, --, --, --
Jon Gillies, O, Cls, G, FA, NYI, L 2-4, --, --, --, --, --, --, --
Kevin Mandolese, Healthy, Ott, G, FA, Fla, L 0-6, --, --, --, --, --, --, --
Yaniv Perets, Healthy, Car, G, FA, Bos, L 1-4, --, --, --, --, --, --, --
Jean-Francois Berube, Healthy, LA, G, FA, @SJ, W 2-1, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, Bos, L 1-4, 1, 0, 1, 3, 24, 0, -0.1
Jordan Binnington, Healthy, StL, G, ME, @Nsh, L 3-6, 1, 0, 1, 4, 25, 0, -0.5
Charlie Lindgren, Healthy, Wsh, G, FA, Pit, L 1-4, 1, 0, 1, 3, 20, 0, -0.5
Cayden Primeau, Healthy, Mon, G, FA, TB, L 4-7, 1, 0, 1, 6, 28, 0, -1.2
Joonas Korpisalo, Healthy, Ott, G, FA, Fla, L 0-6, 1, 0, 1, 4, 13, 0, -1.7
Igor Shesterkin, Healthy, NYR, G, DINK, --, --, --, --, --, --, --, --, --
Jake Oettinger, Healthy, Dal, G, LKR, --, --, --, --, --, --, --, --, --
Thatcher Demko, Healthy, Van, G, BOWS, --, --, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, --, --, --, --, --, --, --, --, --
Adin Hill, Healthy, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, --, --, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, --, --, --, --, --, --, --, --, --
Joey Daccord, Healthy, Sea, G, FA, --, --, --, --, --, --, --, --, --
Connor Ingram, Healthy, Ari, G, OXP, --, --, --, --, --, --, --, --, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, --, --, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, --, --, --, --, --, --, --, --, --
Alex Lyon, Healthy, Det, G, SALT, --, --, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, --, --, --, --, --, --, --, --, --
Ville Husso, O, Det, G, OXP, --, --, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, --, --, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, --, --, --, --, --, --, --, --, --
Petr Mrazek, Healthy, Chi, G, FA, --, --, --, --, --, --, --, --, --
Samuel Ersson, Healthy, Phi, G, BBS, --, --, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, FA, --, --, --, --, --, --, --, --, --
