Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Ilya Samsonov, Healthy, Tor, G, HERB, Pit, W 3-2, 1, 1, 0, 2, 31, 0, 6.1
Arturs Silovs, Healthy, Van, G, FA, Vgk, W 4-3, 1, 1, 0, 3, 20, 0, 4.5
Alex Nedeljkovic, Healthy, Pit, G, FA, @Tor, L 2-3, 1, 0, 0, 3, 20, 0, 0.5
Thatcher Demko, Healthy, Van, G, BOWS, Vgk, W 4-3, --, --, --, --, --, --, --
Adin Hill, Healthy, Vgk, G, DINK, @Van, L 3-4, --, --, --, --, --, --, --
Tristan Jarry, Healthy, Pit, G, SLC, @Tor, L 2-3, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, Pit, W 3-2, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, FA, Vgk, W 4-3, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, Pit, W 3-2, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, @Van, L 3-4, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, Pit, W 3-2, --, --, --, --, --, --, --
Jiri Patera, Healthy, Vgk, G, FA, @Van, L 3-4, --, --, --, --, --, --, --
Jett Alexander, Healthy, Tor, G, FA, Pit, W 3-2, --, --, --, --, --, --, --
Zach Sawchenko, Healthy, Van, G, FA, Vgk, W 4-3, --, --, --, --, --, --, --
Dennis Hildeby, Healthy, Tor, G, FA, Pit, W 3-2, --, --, --, --, --, --, --
Keith Petruzzelli, Healthy, Tor, G, FA, Pit, W 3-2, --, --, --, --, --, --, --
Carter Hutton, Healthy, Tor, G, FA, Pit, W 3-2, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, @Van, L 3-4, 1, 0, 1, 4, 26, 0, -0.4
Connor Hellebuyck, O, Wpg, G, HERB, --, --, --, --, --, --, --, --, --
Igor Shesterkin, Healthy, NYR, G, DINK, --, --, --, --, --, --, --, --, --
Andrei Vasilevskiy, Healthy, TB, G, LKR, --, --, --, --, --, --, --, --, --
Alexandar Georgiev, Healthy, Col, G, SLC, --, --, --, --, --, --, --, --, --
Jake Oettinger, Healthy, Dal, G, LKR, --, --, --, --, --, --, --, --, --
Ilya Sorokin, Healthy, NYI, G, CLB, --, --, --, --, --, --, --, --, --
Jeremy Swayman, Healthy, Bos, G, SALT, --, --, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, --, --, --, --, --, --, --, --, --
Juuse Saros, Healthy, Nsh, G, SALT, --, --, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, --, --, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, --, --, --, --, --, --, --, --, --
