Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Igor Shesterkin, Healthy, NYR, G, DINK, StL, W 4-0, 1, 1, 0, 0, 26, 1, 8.6
Andrei Vasilevskiy, Healthy, TB, G, LKR, Phi, W 7-0, 1, 1, 0, 0, 25, 1, 8.5
Linus Ullmark, Healthy, Bos, G, LKR, Pit, W 5-1, 1, 1, 0, 1, 38, 0, 7.3
Anthony Stolarz, Healthy, Fla, G, FA, Cgy, W 5-1, 1, 1, 0, 1, 34, 0, 6.9
Kevin Lankinen, Healthy, Nsh, G, FA, @Cls, W 2-1, 1, 1, 0, 1, 33, 0, 6.8
Charlie Lindgren, Healthy, Wsh, G, FA, Chi, W 4-1, 1, 1, 0, 1, 31, 0, 6.6
Magnus Chrona, Healthy, SJ, G, FA, Ott, W 2-1, 1, 1, 0, 1, 31, 0, 6.6
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, Edm, W 3-2, 1, 1, 0, 2, 30, 0, 6.0
Ilya Samsonov, Healthy, Tor, G, HERB, @Mon, W 3-2, 1, 1, 0, 2, 29, 0, 5.9
Scott Wedgewood, Healthy, Dal, G, FA, @LA, W 4-1, 1, 1, 0, 1, 24, 0, 5.9
Pyotr Kochetkov, Healthy, Car, G, BBS, @NJ, W 4-2, 1, 1, 0, 2, 23, 0, 5.3
Thatcher Demko, Healthy, Van, G, BOWS, Wpg, W 5-0, 1, 1, 0, 0, 12, 0, 5.2
Adin Hill, Healthy, Vgk, G, DINK, Det, W 5-3, 1, 1, 0, 3, 23, 0, 4.8
Daniil Tarasov, O, Cls, G, FA, Nsh, L 1-2, 1, 0, 1, 2, 47, 0, 2.7
Stuart Skinner, Healthy, Edm, G, ME, @Buf, L 2-3, 1, 0, 0, 2, 25, 0, 1.5
Casey DeSmith, Healthy, Van, G, FA, Wpg, W 5-0, 0, 0, 0, 0, 10, 0, 1.0
Cam Talbot, Healthy, LA, G, BOWS, Dal, L 1-4, 1, 0, 1, 3, 31, 0, 0.6
Jordan Binnington, Healthy, StL, G, ME, @NYR, L 0-4, 1, 0, 1, 4, 35, 0, 0.5
Nico Daws, Healthy, NJ, G, FA, Car, L 2-4, 1, 0, 1, 2, 22, 0, 0.2
James Reimer, Healthy, Det, G, FA, @Vgk, L 3-5, 1, 0, 1, 4, 31, 0, 0.1
Jake Oettinger, Healthy, Dal, G, LKR, @LA, W 4-1, --, --, --, --, --, --, --
Jeremy Swayman, Healthy, Bos, G, SALT, Pit, W 5-1, --, --, --, --, --, --, --
Juuse Saros, Healthy, Nsh, G, SALT, @Cls, W 2-1, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, Cgy, W 5-1, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, Det, W 5-3, --, --, --, --, --, --, --
Tristan Jarry, Healthy, Pit, G, SLC, @Bos, L 1-5, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, @NJ, W 4-2, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, @TB, L 0-7, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, Ott, W 2-1, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, StL, W 4-0, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, Cgy, W 5-1, --, --, --, --, --, --, --
Alex Lyon, Healthy, Det, G, SALT, @Vgk, L 3-5, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, @Mon, W 3-2, --, --, --, --, --, --, --
Ville Husso, O, Det, G, OXP, @Vgk, L 3-5, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, FA, Chi, W 4-1, --, --, --, --, --, --, --
Jonas Johansson, DTD, TB, G, OXP, Phi, W 7-0, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, Edm, W 3-2, --, --, --, --, --, --, --
Laurent Brossoit, Healthy, Wpg, G, FA, @Van, L 0-5, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, @Mon, W 3-2, --, --, --, --, --, --, --
Jake Allen, Healthy, NJ, G, FA, Car, L 2-4, --, --, --, --, --, --, --
David Rittich, Healthy, LA, G, HERB, Dal, L 1-4, --, --, --, --, --, --, --
Dustin Wolf, Healthy, Cgy, G, SLC, @Fla, L 1-5, --, --, --, --, --, --, --
Elvis Merzlikins, Healthy, Cls, G, FA, Nsh, L 1-2, --, --, --, --, --, --, --
Joel Hofer, Healthy, StL, G, FA, @NYR, L 0-4, --, --, --, --, --, --, --
Arturs Silovs, Healthy, Van, G, FA, Wpg, W 5-0, --, --, --, --, --, --, --
Antti Raanta, Healthy, Car, G, FA, @NJ, W 4-2, --, --, --, --, --, --, --
Pheonix Copley, IR, LA, G, FA, Dal, L 1-4, --, --, --, --, --, --, --
Jack Campbell, Healthy, Edm, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Mackenzie Blackwood, O, SJ, G, FA, Ott, W 2-1, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, Car, L 2-4, --, --, --, --, --, --, --
Anton Forsberg, Healthy, Ott, G, FA, @SJ, L 1-2, --, --, --, --, --, --, --
Matt Tomkins, Healthy, TB, G, FA, Phi, W 7-0, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, Det, W 5-3, --, --, --, --, --, --, --
Spencer Martin, Healthy, Car, G, FA, @NJ, W 4-2, --, --, --, --, --, --, --
Yaroslav Askarov, Healthy, Nsh, G, FA, @Cls, W 2-1, --, --, --, --, --, --, --
Cayden Primeau, Healthy, Mon, G, FA, Tor, L 2-3, --, --, --, --, --, --, --
Arvid Soderblom, Healthy, Chi, G, FA, @Wsh, L 1-4, --, --, --, --, --, --, --
Kaapo Kahkonen, Healthy, NJ, G, FA, Car, L 2-4, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, @SJ, L 1-2, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, Tor, L 2-3, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, StL, W 4-0, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, @Mon, W 3-2, --, --, --, --, --, --, --
Matt Murray, Healthy, Dal, G, FA, @LA, W 4-1, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, Nsh, L 1-2, --, --, --, --, --, --, --
Dan Vladar, O, Cgy, G, FA, @Fla, L 1-5, --, --, --, --, --, --, --
Malcolm Subban, Healthy, Cls, G, FA, Nsh, L 1-2, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, Pit, W 5-1, --, --, --, --, --, --, --
Braden Holtby, Healthy, Dal, G, FA, @LA, W 4-1, --, --, --, --, --, --, --
Eric Comrie, Healthy, Buf, G, FA, Edm, W 3-2, --, --, --, --, --, --, --
Sebastian Cossa, Healthy, Det, G, FA, @Vgk, L 3-5, --, --, --, --, --, --, --
Jiri Patera, Healthy, Vgk, G, FA, Det, W 5-3, --, --, --, --, --, --, --
Jaroslav Halak, Healthy, NYR, G, FA, StL, W 4-0, --, --, --, --, --, --, --
Artyom Zagidulin, Healthy, Cgy, G, FA, @Fla, L 1-5, --, --, --, --, --, --, --
Cal Petersen, Healthy, Phi, G, FA, @TB, L 0-7, --, --, --, --, --, --, --
Mike Smith, Healthy, Edm, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Craig Anderson, Healthy, Buf, G, FA, Edm, W 3-2, --, --, --, --, --, --, --
Hunter Shepard, Healthy, Wsh, G, FA, Chi, W 4-1, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, Pit, W 5-1, --, --, --, --, --, --, --
Brian Elliott, Healthy, TB, G, FA, Phi, W 7-0, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, @Wsh, L 1-4, --, --, --, --, --, --, --
Dylan Wells, Healthy, Dal, G, FA, @LA, W 4-1, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, @Wsh, L 1-4, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, @Wsh, L 1-4, --, --, --, --, --, --, --
Magnus Hellberg, Healthy, Fla, G, FA, Cgy, W 5-1, --, --, --, --, --, --, --
Thomas Greiss, Healthy, StL, G, FA, @NYR, L 0-4, --, --, --, --, --, --, --
Trey Augustine, Healthy, Det, G, FA, @Vgk, L 3-5, --, --, --, --, --, --, --
Eetu Makiniemi, Healthy, SJ, G, FA, Ott, W 2-1, --, --, --, --, --, --, --
Jack LaFontaine, Healthy, TB, G, FA, Phi, W 7-0, --, --, --, --, --, --, --
Jonathan Bernier, Healthy, NJ, G, FA, Car, L 2-4, --, --, --, --, --, --, --
Antti Niemi, Healthy, Mon, G, FA, Tor, L 2-3, --, --, --, --, --, --, --
Hugo Alnefelt, Healthy, TB, G, FA, Phi, W 7-0, --, --, --, --, --, --, --
Jaxson Stauber, Healthy, Chi, G, FA, @Wsh, L 1-4, --, --, --, --, --, --, --
Mikko Koskinen, Healthy, Edm, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Collin Delia, Healthy, Wpg, G, FA, @Van, L 0-5, --, --, --, --, --, --, --
Jett Alexander, Healthy, Tor, G, FA, @Mon, W 3-2, --, --, --, --, --, --, --
Zach Fucale, Healthy, Wsh, G, FA, Chi, W 4-1, --, --, --, --, --, --, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, @Cls, W 2-1, --, --, --, --, --, --, --
Jeff Glass, Healthy, Chi, G, FA, @Wsh, L 1-4, --, --, --, --, --, --, --
Eddie Lack, Healthy, NJ, G, FA, Car, L 2-4, --, --, --, --, --, --, --
Erik Kallgren, Healthy, NJ, G, FA, Car, L 2-4, --, --, --, --, --, --, --
Leevi Merilainen, Healthy, Ott, G, FA, @SJ, L 1-2, --, --, --, --, --, --, --
Mike Condon, Healthy, TB, G, FA, Phi, W 7-0, --, --, --, --, --, --, --
Alexei Melnichuk, Healthy, TB, G, FA, Phi, W 7-0, --, --, --, --, --, --, --
