Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Igor Shesterkin, Healthy, NYR, G, DINK, @TB, W 5-1, 1, 1, 0, 1, 34, 0, 6.9
Connor Hellebuyck, Healthy, Wpg, G, HERB, Min, W 4-2, 1, 1, 0, 2, 34, 0, 6.4
Linus Ullmark, Healthy, Bos, G, LKR, NJ, W 5-2, 1, 1, 0, 2, 31, 0, 6.1
Yaroslav Askarov, Healthy, Nsh, G, FA, @Wsh, W 3-2, 1, 1, 0, 2, 27, 0, 5.7
Stuart Skinner, Healthy, Edm, G, ME, @LA, W 3-2, 1, 1, 0, 2, 26, 0, 5.6
Tristan Jarry, Healthy, Pit, G, SLC, StL, W 4-2, 1, 1, 0, 2, 25, 0, 5.5
Pyotr Kochetkov, Healthy, Car, G, BBS, @Tor, W 3-2, 1, 1, 0, 2, 25, 0, 5.5
Anthony Stolarz, Healthy, Fla, G, FA, Mon, W 4-1, 1, 1, 0, 1, 18, 0, 5.3
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, Cls, W 3-2, 1, 1, 0, 2, 18, 0, 4.8
Daniil Tarasov, Healthy, Cls, G, FA, @Buf, L 2-3, 1, 0, 0, 3, 39, 0, 2.4
Hunter Shepard, Healthy, Wsh, G, FA, Nsh, L 2-3, 1, 0, 0, 2, 34, 0, 2.4
Cam Talbot, Healthy, LA, G, BOWS, Edm, L 2-3, 1, 0, 0, 2, 24, 0, 1.4
Martin Jones, Healthy, Tor, G, FA, Car, L 2-3, 1, 0, 1, 2, 25, 0, 0.5
Marc-Andre Fleury, Healthy, Min, G, FA, @Wpg, L 2-4, 0, 0, 0, 1, 9, 0, 0.4
Joel Hofer, Healthy, StL, G, FA, @Pit, L 2-4, 1, 0, 1, 3, 26, 0, 0.1
Jeremy Swayman, Healthy, Bos, G, SALT, NJ, W 5-2, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, Mon, W 4-1, --, --, --, --, --, --, --
Juuse Saros, Healthy, Nsh, G, SALT, @Wsh, W 3-2, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, Car, L 2-3, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, @Tor, W 3-2, --, --, --, --, --, --, --
Jordan Binnington, Healthy, StL, G, ME, @Pit, L 2-4, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, @TB, W 5-1, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, Mon, W 4-1, --, --, --, --, --, --, --
Charlie Lindgren, Healthy, Wsh, G, FA, Nsh, L 2-3, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, Car, L 2-3, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, CLB, Nsh, L 2-3, --, --, --, --, --, --, --
Jonas Johansson, Healthy, TB, G, OXP, NYR, L 1-5, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, Cls, W 3-2, --, --, --, --, --, --, --
Laurent Brossoit, Healthy, Wpg, G, FA, Min, W 4-2, --, --, --, --, --, --, --
Elvis Merzlikins, Healthy, Cls, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Sam Montembeault, Healthy, Mon, G, BOWS, @Fla, L 1-4, --, --, --, --, --, --, --
Alex Nedeljkovic, Healthy, Pit, G, FA, StL, W 4-2, --, --, --, --, --, --, --
David Rittich, Healthy, LA, G, HERB, Edm, L 2-3, --, --, --, --, --, --, --
Antti Raanta, Healthy, Car, G, FA, @Tor, W 3-2, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, @LA, W 3-2, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, @Bos, L 2-5, --, --, --, --, --, --, --
Pheonix Copley, IR, LA, G, FA, Edm, L 2-3, --, --, --, --, --, --, --
Jack Campbell, Healthy, Edm, G, FA, @LA, W 3-2, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, @Bos, L 2-5, --, --, --, --, --, --, --
Kevin Lankinen, Healthy, Nsh, G, FA, @Wsh, W 3-2, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, @TB, W 5-1, --, --, --, --, --, --, --
Jesper Wallstedt, Healthy, Min, G, FA, @Wpg, L 2-4, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, Car, L 2-3, --, --, --, --, --, --, --
Cayden Primeau, Healthy, Mon, G, FA, @Fla, L 1-4, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, @Fla, L 1-4, --, --, --, --, --, --, --
Spencer Martin, Healthy, Car, G, FA, @Tor, W 3-2, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, NJ, W 5-2, --, --, --, --, --, --, --
Malcolm Subban, Healthy, StL, G, FA, @Pit, L 2-4, --, --, --, --, --, --, --
Eric Comrie, Healthy, Buf, G, FA, Cls, W 3-2, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Jaroslav Halak, Healthy, NYR, G, FA, @TB, W 5-1, --, --, --, --, --, --, --
Craig Anderson, Healthy, Buf, G, FA, Cls, W 3-2, --, --, --, --, --, --, --
Magnus Hellberg, Healthy, Fla, G, FA, Mon, W 4-1, --, --, --, --, --, --, --
Mike Smith, Healthy, Edm, G, FA, @LA, W 3-2, --, --, --, --, --, --, --
Brian Elliott, Healthy, TB, G, FA, NYR, L 1-5, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, NJ, W 5-2, --, --, --, --, --, --, --
Matt Tomkins, Healthy, TB, G, FA, NYR, L 1-5, --, --, --, --, --, --, --
Thomas Greiss, Healthy, StL, G, FA, @Pit, L 2-4, --, --, --, --, --, --, --
Collin Delia, Healthy, Wpg, G, FA, Min, W 4-2, --, --, --, --, --, --, --
Jonathan Bernier, Healthy, NJ, G, FA, @Bos, L 2-5, --, --, --, --, --, --, --
Niklas Svedberg, Healthy, Min, G, FA, @Wpg, L 2-4, --, --, --, --, --, --, --
Hugo Alnefelt, Healthy, TB, G, FA, NYR, L 1-5, --, --, --, --, --, --, --
Jack LaFontaine, Healthy, TB, G, FA, NYR, L 1-5, --, --, --, --, --, --, --
Mikko Koskinen, Healthy, Edm, G, FA, @LA, W 3-2, --, --, --, --, --, --, --
Antti Niemi, Healthy, Mon, G, FA, @Fla, L 1-4, --, --, --, --, --, --, --
Jett Alexander, Healthy, Tor, G, FA, Car, L 2-3, --, --, --, --, --, --, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, @Wsh, W 3-2, --, --, --, --, --, --, --
Alexei Melnichuk, Healthy, TB, G, FA, NYR, L 1-5, --, --, --, --, --, --, --
Zach Fucale, Healthy, Wsh, G, FA, Nsh, L 2-3, --, --, --, --, --, --, --
Mike Condon, Healthy, TB, G, FA, NYR, L 1-5, --, --, --, --, --, --, --
Aaron Dell, Healthy, Cls, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Andrew Hammond, Healthy, NJ, G, FA, @Bos, L 2-5, --, --, --, --, --, --, --
Garret Sparks, Healthy, LA, G, FA, Edm, L 2-3, --, --, --, --, --, --, --
Keith Kinkaid, Healthy, NJ, G, FA, @Bos, L 2-5, --, --, --, --, --, --, --
Erik Kallgren, Healthy, NJ, G, FA, @Bos, L 2-5, --, --, --, --, --, --, --
Keith Petruzzelli, Healthy, Tor, G, FA, Car, L 2-3, --, --, --, --, --, --, --
Matthew Berlin, Healthy, Edm, G, FA, @LA, W 3-2, --, --, --, --, --, --, --
Shane Starrett, Healthy, Edm, G, FA, @LA, W 3-2, --, --, --, --, --, --, --
Adam Huska, Healthy, NYR, G, FA, @TB, W 5-1, --, --, --, --, --, --, --
Dustin Tokarski, Healthy, Buf, G, FA, Cls, W 3-2, --, --, --, --, --, --, --
Troy Grosenick, Healthy, Nsh, G, FA, @Wsh, W 3-2, --, --, --, --, --, --, --
Jon Gillies, O, Cls, G, FA, @Buf, L 2-3, --, --, --, --, --, --, --
Maxime Lagace, Healthy, TB, G, FA, NYR, L 1-5, --, --, --, --, --, --, --
Eddie Lack, Healthy, NJ, G, FA, @Bos, L 2-5, --, --, --, --, --, --, --
Michael Houser, Healthy, Buf, G, FA, Cls, W 3-2, --, --, --, --, --, --, --
Jean-Francois Berube, Healthy, LA, G, FA, Edm, L 2-3, --, --, --, --, --, --, --
Carter Hutton, Healthy, Tor, G, FA, Car, L 2-3, --, --, --, --, --, --, --
Jake Allen, Healthy, NJ, G, FA, @Bos, L 2-5, 1, 0, 1, 3, 22, 0, -0.3
Filip Gustavsson, Healthy, Min, G, BOWS, @Wpg, L 2-4, 1, 0, 1, 3, 19, 0, -0.6
Vitek Vanecek, IR, SJ, G, BOWS, --, --, 1, 0, 1, 5, 26, 0, -0.9
Andrei Vasilevskiy, Healthy, TB, G, LKR, NYR, L 1-5, 1, 0, 1, 5, 16, 0, -1.9
Alexandar Georgiev, Healthy, Col, G, SLC, --, --, --, --, --, --, --, --, --
Thatcher Demko, O, Van, G, BOWS, --, --, --, --, --, --, --, --, --
Ilya Sorokin, Healthy, NYI, G, CLB, --, --, --, --, --, --, --, --, --
Jake Oettinger, Healthy, Dal, G, LKR, --, --, --, --, --, --, --, --, --
Adin Hill, Healthy, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Jacob Markstrom, DTD, Cgy, G, BBS, --, --, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Joey Daccord, Healthy, Sea, G, FA, --, --, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, --, --, --, --, --, --, --, --, --
Connor Ingram, Healthy, Ari, G, OXP, --, --, --, --, --, --, --, --, --
Alex Lyon, Healthy, Det, G, SALT, --, --, --, --, --, --, --, --, --
Joonas Korpisalo, Healthy, Ott, G, FA, --, --, --, --, --, --, --, --, --
Ville Husso, O, Det, G, OXP, --, --, --, --, --, --, --, --, --
