Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Connor Ingram, Healthy, Ari, G, OXP, @Ana, W 2-0, 1, 1, 0, 0, 28, 1, 8.8
Alexandar Georgiev, Healthy, Col, G, SLC, @StL, W 2-1, 1, 1, 0, 1, 28, 0, 6.3
Joey Daccord, Healthy, Sea, G, FA, Phi, W 2-1, 1, 1, 0, 1, 27, 0, 6.2
Ilya Sorokin, Healthy, NYI, G, CLB, Wsh, W 5-1, 1, 1, 0, 1, 26, 0, 6.1
Sergei Bobrovsky, Healthy, Fla, G, ME, NYR, W 4-3, 1, 1, 0, 3, 31, 0, 5.6
Nico Daws, Healthy, NJ, G, FA, @Ott, W 6-2, 1, 1, 0, 2, 25, 0, 5.5
Alex Lyon, Healthy, Det, G, SALT, Nsh, W 5-4, 1, 1, 0, 4, 33, 0, 5.3
Scott Wedgewood, Healthy, Dal, G, FA, Chi, W 5-4, 1, 1, 0, 4, 25, 0, 4.5
Spencer Martin, Healthy, Car, G, FA, --, --, 0, 1, 0, 3, 16, 0, 4.1
Carter Hart, IR, Phi, G, FA, @Sea, L 1-2, 1, 0, 0, 2, 27, 0, 1.7
John Gibson, Healthy, Ana, G, FA, Ari, L 0-2, 1, 0, 1, 2, 30, 0, 1.0
Petr Mrazek, Healthy, Chi, G, FA, @Dal, L 4-5, 1, 0, 0, 5, 30, 0, 0.5
Charlie Lindgren, Healthy, Wsh, G, FA, @NYI, L 1-5, 1, 0, 0, 0, 3, 0, 0.3
Elvis Merzlikins, Healthy, Cls, G, FA, Tor, W 6-5, 1, 0, 0, 2, 12, 0, 0.2
Jordan Binnington, Healthy, StL, G, ME, Col, L 1-2, 1, 0, 1, 2, 21, 0, 0.1
Igor Shesterkin, Healthy, NYR, G, DINK, @Fla, L 3-4, --, --, --, --, --, --, --
Jake Oettinger, Healthy, Dal, G, LKR, Chi, W 5-4, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, --, --, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, NYR, W 4-3, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, @Cls, L 5-6, --, --, --, --, --, --, --
Ville Husso, O, Det, G, OXP, Nsh, W 5-4, --, --, --, --, --, --, --
Samuel Ersson, Healthy, Phi, G, BBS, @Sea, L 1-2, --, --, --, --, --, --, --
Semyon Varlamov, Healthy, NYI, G, FA, Wsh, W 5-1, --, --, --, --, --, --, --
Philipp Grubauer, Healthy, Sea, G, FA, Phi, W 2-1, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, @Cls, L 5-6, --, --, --, --, --, --, --
Joel Hofer, Healthy, StL, G, FA, Col, L 1-2, --, --, --, --, --, --, --
Anthony Stolarz, Healthy, Fla, G, FA, NYR, W 4-3, --, --, --, --, --, --, --
James Reimer, Healthy, Det, G, FA, Nsh, W 5-4, --, --, --, --, --, --, --
Lukas Dostal, Healthy, Ana, G, FA, Ari, L 0-2, --, --, --, --, --, --, --
Karel Vejmelka, Healthy, Ari, G, FA, @Ana, W 2-0, --, --, --, --, --, --, --
Anton Forsberg, Healthy, Ott, G, FA, NJ, L 2-6, --, --, --, --, --, --, --
Justus Annunen, Healthy, Col, G, FA, @StL, W 2-1, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, @Ott, W 6-2, --, --, --, --, --, --, --
Daniil Tarasov, Healthy, Cls, G, FA, Tor, W 6-5, --, --, --, --, --, --, --
Arvid Soderblom, Healthy, Chi, G, FA, @Dal, L 4-5, --, --, --, --, --, --, --
Yaroslav Askarov, Healthy, Nsh, G, FA, @Det, L 4-5, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, NJ, L 2-6, --, --, --, --, --, --, --
Kevin Lankinen, Healthy, Nsh, G, FA, @Det, L 4-5, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, @Fla, L 3-4, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, @Cls, L 5-6, --, --, --, --, --, --, --
Matt Murray, Healthy, Dal, G, FA, Chi, W 5-4, --, --, --, --, --, --, --
Chris Driedger, Healthy, Sea, G, FA, Phi, W 2-1, --, --, --, --, --, --, --
Ivan Prosvetov, Healthy, Col, G, FA, @StL, W 2-1, --, --, --, --, --, --, --
Pavel Francouz, IR, Col, G, FA, @StL, W 2-1, --, --, --, --, --, --, --
Malcolm Subban, Healthy, StL, G, FA, Col, L 1-2, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, Tor, W 6-5, --, --, --, --, --, --, --
Braden Holtby, Healthy, Dal, G, FA, Chi, W 5-4, --, --, --, --, --, --, --
Sebastian Cossa, Healthy, Det, G, FA, Nsh, W 5-4, --, --, --, --, --, --, --
Cal Petersen, Healthy, Phi, G, FA, @Sea, L 1-2, --, --, --, --, --, --, --
Jaroslav Halak, Healthy, NYR, G, FA, @Fla, L 3-4, --, --, --, --, --, --, --
Felix Sandstrom, Healthy, Phi, G, FA, @Sea, L 1-2, --, --, --, --, --, --, --
Hunter Shepard, Healthy, Wsh, G, FA, @NYI, L 1-5, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, @Dal, L 4-5, --, --, --, --, --, --, --
Dylan Wells, Healthy, Dal, G, FA, Chi, W 5-4, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, @Dal, L 4-5, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, @Dal, L 4-5, --, --, --, --, --, --, --
Trey Augustine, Healthy, Det, G, FA, Nsh, W 5-4, --, --, --, --, --, --, --
Michael Hrabal, Healthy, Ari, G, FA, @Ana, W 2-0, --, --, --, --, --, --, --
Thomas Greiss, Healthy, StL, G, FA, Col, L 1-2, --, --, --, --, --, --, --
