Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Jonas Johansson, Healthy, TB, G, OXP, Car, W 3-0, 1, 1, 0, 0, 32, 1, 9.2
Jeremy Swayman, Healthy, Bos, G, SALT, @Chi, W 3-0, 1, 1, 0, 0, 23, 1, 8.3
Jake Oettinger, Healthy, Dal, G, LKR, @Pit, W 4-1, 1, 1, 0, 1, 38, 0, 7.3
Joseph Woll, Healthy, Tor, G, BBS, @Wsh, W 4-1, 1, 1, 0, 1, 37, 0, 7.2
Lukas Dostal, Healthy, Ana, G, FA, @Cls, W 3-2, 1, 1, 0, 2, 35, 0, 6.5
Anthony Stolarz, Healthy, Fla, G, FA, SJ, W 3-1, 1, 1, 0, 1, 27, 0, 6.2
Igor Shesterkin, Healthy, NYR, G, DINK, @Cgy, W 3-1, 1, 1, 0, 1, 25, 0, 6.0
Vitek Vanecek, IR, SJ, G, BOWS, @Fla, L 1-3, 1, 1, 0, 2, 27, 0, 5.7
Logan Thompson, Healthy, Vgk, G, DINK, Phi, W 3-2, 1, 1, 0, 2, 26, 0, 5.6
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, @Ott, W 6-4, 1, 1, 0, 4, 34, 0, 5.4
Pheonix Copley, IR, LA, G, FA, Ari, W 6-3, 1, 1, 0, 3, 24, 0, 4.9
Alexandar Georgiev, Healthy, Col, G, SLC, @NYI, W 7-4, 1, 1, 0, 4, 28, 0, 4.8
Connor Hellebuyck, Healthy, Wpg, G, HERB, StL, W 4-2, 1, 1, 0, 2, 18, 0, 4.8
Thatcher Demko, O, Van, G, BOWS, @Nsh, W 3-2, 1, 1, 0, 2, 16, 0, 4.6
Filip Gustavsson, Healthy, Min, G, BOWS, Edm, W 7-4, 1, 1, 0, 4, 24, 0, 4.4
Joey Daccord, Healthy, Sea, G, FA, @Det, W 5-4, 1, 1, 0, 4, 23, 0, 4.3
Petr Mrazek, Healthy, Chi, G, FA, Bos, L 0-3, 1, 0, 1, 3, 40, 0, 1.5
Mackenzie Blackwood, IR, SJ, G, FA, @Fla, L 1-3, 1, 0, 1, 2, 33, 0, 1.3
Elvis Merzlikins, Healthy, Cls, G, FA, Ana, L 2-3, 1, 0, 0, 3, 24, 0, 0.9
Ville Husso, O, Det, G, OXP, Sea, L 4-5, 1, 0, 0, 5, 33, 0, 0.8
Joonas Korpisalo, Healthy, Ott, G, FA, Buf, L 4-6, 0, 0, 0, 0, 5, 0, 0.5
Jordan Binnington, Healthy, StL, G, ME, @Wpg, L 2-4, 1, 0, 1, 3, 26, 0, 0.1
Carter Hart, IR, Phi, G, FA, @Vgk, L 2-3, 1, 0, 1, 3, 26, 0, 0.1
Andrei Vasilevskiy, Healthy, TB, G, LKR, Car, W 3-0, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, @Chi, W 3-0, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, SJ, W 3-1, --, --, --, --, --, --, --
Adin Hill, Healthy, Vgk, G, DINK, Phi, W 3-2, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, @Min, L 4-7, --, --, --, --, --, --, --
Tristan Jarry, Healthy, Pit, G, SLC, Dal, L 1-4, --, --, --, --, --, --, --
Cam Talbot, Healthy, LA, G, BOWS, Ari, W 6-3, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, @Wsh, W 4-1, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, @TB, L 0-3, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, @Cgy, W 3-1, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, SJ, W 3-1, --, --, --, --, --, --, --
Alex Lyon, Healthy, Det, G, SALT, Sea, L 4-5, --, --, --, --, --, --, --
Charlie Lindgren, Healthy, Wsh, G, FA, Tor, L 1-4, --, --, --, --, --, --, --
Marc-Andre Fleury, Healthy, Min, G, FA, Edm, W 7-4, --, --, --, --, --, --, --
Samuel Ersson, Healthy, Phi, G, BBS, @Vgk, L 2-3, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, @Ott, W 6-4, --, --, --, --, --, --, --
Semyon Varlamov, Healthy, NYI, G, FA, Col, L 4-7, --, --, --, --, --, --, --
John Gibson, Healthy, Ana, G, FA, @Cls, W 3-2, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, FA, @Nsh, W 3-2, --, --, --, --, --, --, --
Philipp Grubauer, Healthy, Sea, G, FA, @Det, W 5-4, --, --, --, --, --, --, --
Laurent Brossoit, Healthy, Wpg, G, FA, StL, W 4-2, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, @Wsh, W 4-1, --, --, --, --, --, --, --
Sam Montembeault, Healthy, Mon, G, BOWS, NJ, L 2-5, --, --, --, --, --, --, --
Joel Hofer, Healthy, StL, G, FA, @Wpg, L 2-4, --, --, --, --, --, --, --
Jake Allen, Healthy, NJ, G, FA, @Mon, W 5-2, --, --, --, --, --, --, --
Scott Wedgewood, Healthy, Dal, G, FA, @Pit, W 4-1, --, --, --, --, --, --, --
Alex Nedeljkovic, Healthy, Pit, G, FA, Dal, L 1-4, 1, 0, 1, 4, 30, 0, 0.0
David Rittich, Healthy, LA, G, HERB, Ari, W 6-3, --, --, --, --, --, --, --
James Reimer, Healthy, Det, G, FA, Sea, L 4-5, --, --, --, --, --, --, --
Dustin Wolf, Healthy, Cgy, G, SLC, NYR, L 1-3, --, --, --, --, --, --, --
Antti Raanta, Healthy, Car, G, FA, @TB, L 0-3, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, @Min, L 4-7, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, @Mon, W 5-2, --, --, --, --, --, --, --
Justus Annunen, Healthy, Col, G, FA, @NYI, W 7-4, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, @Mon, W 5-2, --, --, --, --, --, --, --
Daniil Tarasov, Healthy, Cls, G, FA, Ana, L 2-3, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, Phi, W 3-2, --, --, --, --, --, --, --
Kaapo Kahkonen, Healthy, NJ, G, FA, @Mon, W 5-2, --, --, --, --, --, --, --
Arvid Soderblom, Healthy, Chi, G, FA, Bos, L 0-3, --, --, --, --, --, --, --
Yaroslav Askarov, Healthy, Nsh, G, FA, Van, L 2-3, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, Buf, L 4-6, --, --, --, --, --, --, --
Kevin Lankinen, Healthy, Nsh, G, FA, Van, L 2-3, --, --, --, --, --, --, --
Dan Vladar, Healthy, Cgy, G, FA, NYR, L 1-3, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, @Cgy, W 3-1, --, --, --, --, --, --, --
Jesper Wallstedt, Healthy, Min, G, FA, Edm, W 7-4, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, @Wsh, W 4-1, --, --, --, --, --, --, --
Matt Murray, Healthy, Dal, G, FA, @Pit, W 4-1, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, NJ, L 2-5, --, --, --, --, --, --, --
Chris Driedger, Healthy, Sea, G, FA, @Det, W 5-4, --, --, --, --, --, --, --
Spencer Martin, Healthy, Car, G, FA, @TB, L 0-3, --, --, --, --, --, --, --
Ivan Prosvetov, Healthy, Col, G, FA, @NYI, W 7-4, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, @Chi, W 3-0, --, --, --, --, --, --, --
Pavel Francouz, IR, Col, G, FA, @NYI, W 7-4, --, --, --, --, --, --, --
Malcolm Subban, Healthy, StL, G, FA, @Wpg, L 2-4, --, --, --, --, --, --, --
Eric Comrie, Healthy, Buf, G, FA, @Ott, W 6-4, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, Ana, L 2-3, --, --, --, --, --, --, --
Braden Holtby, Healthy, Dal, G, FA, @Pit, W 4-1, --, --, --, --, --, --, --
