Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Charlie Lindgren, Healthy, Wsh, G, FA, @Pit, W 6-0, 1, 1, 0, 0, 39, 1, 9.9
Samuel Ersson, Healthy, Phi, G, BBS, @Fla, W 2-1, 1, 1, 0, 1, 29, 0, 6.4
Jeremy Swayman, Healthy, Bos, G, SALT, Tor, W 4-1, 1, 1, 0, 1, 28, 0, 6.3
Thatcher Demko, Healthy, Van, G, BOWS, @Vgk, W 3-1, 1, 1, 0, 1, 27, 0, 6.2
Frederik Andersen, Healthy, Car, G, BBS, Mon, W 4-1, 1, 1, 0, 1, 24, 0, 5.9
Daniil Tarasov, O, Cls, G, FA, Edm, W 4-2, 1, 1, 0, 2, 29, 0, 5.9
Nico Daws, Healthy, NJ, G, FA, StL, W 4-1, 1, 1, 0, 1, 23, 0, 5.8
Juuse Saros, Healthy, Nsh, G, SALT, Buf, W 4-2, 1, 1, 0, 2, 26, 0, 5.6
Ilya Sorokin, Healthy, NYI, G, CLB, @SJ, W 7-2, 1, 1, 0, 2, 23, 0, 5.3
Cam Talbot, Healthy, LA, G, BOWS, Ott, W 4-3, 1, 1, 0, 3, 28, 0, 5.3
Marc-Andre Fleury, Healthy, Min, G, FA, @Ari, W 5-2, 1, 1, 0, 2, 23, 0, 5.3
Jacob Markstrom, Healthy, Cgy, G, BBS, @TB, W 6-3, 1, 1, 0, 3, 19, 0, 4.4
Joonas Korpisalo, Healthy, Ott, G, FA, @LA, L 3-4, 1, 0, 0, 4, 31, 0, 1.1
Sam Montembeault, Healthy, Mon, G, BOWS, @Car, L 1-4, 1, 0, 1, 3, 35, 0, 1.0
Adin Hill, Healthy, Vgk, G, DINK, Van, L 1-3, 1, 0, 1, 3, 32, 0, 0.7
Calvin Pickard, Healthy, Edm, G, FA, @Cls, L 2-4, 1, 0, 1, 3, 30, 0, 0.5
Sergei Bobrovsky, Healthy, Fla, G, ME, Phi, L 1-2, 1, 0, 1, 2, 24, 0, 0.4
Jordan Binnington, Healthy, StL, G, ME, @NJ, L 1-4, 1, 0, 1, 3, 29, 0, 0.4
Linus Ullmark, Healthy, Bos, G, LKR, Tor, W 4-1, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, @Cls, L 2-4, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, Van, L 1-3, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, @Bos, L 1-4, --, --, --, --, --, --, --
Filip Gustavsson, Healthy, Min, G, BOWS, @Ari, W 5-2, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, @Fla, W 2-1, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, NYI, L 2-7, --, --, --, --, --, --, --
