Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Ilya Sorokin, Healthy, NYI, G, CLB, Edm, W 3-1, 1, 1, 0, 1, 30, 0, 6.5
Marc-Andre Fleury, Healthy, Min, G, FA, @Bos, W 4-3, 1, 1, 0, 3, 40, 0, 6.5
Petr Mrazek, Healthy, Chi, G, FA, Col, W 3-2, 1, 1, 0, 2, 35, 0, 6.5
Andrei Vasilevskiy, Healthy, TB, G, LKR, StL, W 6-1, 1, 1, 0, 1, 28, 0, 6.3
Igor Shesterkin, Healthy, NYR, G, DINK, @Tor, W 5-2, 1, 1, 0, 2, 31, 0, 6.1
Casey DeSmith, Healthy, Van, G, FA, @Nsh, W 5-2, 1, 1, 0, 2, 26, 0, 5.6
Karel Vejmelka, Healthy, Ari, G, FA, Ott, W 4-3, 0, 1, 0, 0, 16, 0, 5.6
Pyotr Kochetkov, Healthy, Car, G, BBS, Vgk, W 6-3, 1, 1, 0, 3, 30, 0, 5.5
Samuel Ersson, Healthy, Phi, G, BBS, @NJ, W 3-2, 1, 1, 0, 2, 24, 0, 5.4
David Rittich, Healthy, LA, G, HERB, @SJ, W 4-1, 1, 1, 0, 1, 15, 0, 5.0
Daniil Tarasov, Healthy, Cls, G, FA, @Buf, W 9-4, 1, 1, 0, 4, 25, 0, 4.5
Kevin Lankinen, Healthy, Nsh, G, FA, Van, L 2-5, 0, 0, 0, 0, 11, 0, 1.1
Kaapo Kahkonen, Healthy, NJ, G, FA, Phi, L 2-3, 1, 0, 1, 3, 35, 0, 1.0
Jiri Patera, Healthy, Vgk, G, FA, @Car, L 3-6, 0, 0, 0, 0, 10, 0, 1.0
Vitek Vanecek, IR, SJ, G, BOWS, LA, L 1-4, 1, 0, 0, 3, 23, 0, 0.8
Linus Ullmark, Healthy, Bos, G, LKR, Min, L 3-4, 1, 0, 0, 4, 26, 0, 0.6
Joonas Korpisalo, Healthy, Ott, G, FA, @Ari, L 3-4, 1, 0, 1, 4, 34, 0, 0.4
Joel Hofer, Healthy, StL, G, FA, @TB, L 1-6, 0, 0, 0, 1, 9, 0, 0.4
Martin Jones, Healthy, Tor, G, FA, NYR, L 2-5, 1, 0, 1, 4, 31, 0, 0.1
Jeremy Swayman, Healthy, Bos, G, SALT, Min, L 3-4, --, --, --, --, --, --, --
Thatcher Demko, O, Van, G, BOWS, @Nsh, W 5-2, --, --, --, --, --, --, --
Adin Hill, Healthy, Vgk, G, DINK, @Car, L 3-6, --, --, --, --, --, --, --
Cam Talbot, Healthy, LA, G, BOWS, @SJ, W 4-1, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, NYR, L 2-5, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, Vgk, W 6-3, --, --, --, --, --, --, --
Filip Gustavsson, Healthy, Min, G, BOWS, @Bos, W 4-3, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, @NJ, W 3-2, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, @Tor, W 5-2, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, NYR, L 2-5, --, --, --, --, --, --, --
Jonas Johansson, Healthy, TB, G, OXP, StL, W 6-1, --, --, --, --, --, --, --
Semyon Varlamov, Healthy, NYI, G, FA, Edm, W 3-1, --, --, --, --, --, --, --
Elvis Merzlikins, Healthy, Cls, G, FA, @Buf, W 9-4, --, --, --, --, --, --, --
Antti Raanta, Healthy, Car, G, FA, Vgk, W 6-3, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, @NYI, L 1-3, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, Phi, L 2-3, --, --, --, --, --, --, --
Pheonix Copley, IR, LA, G, FA, @SJ, W 4-1, --, --, --, --, --, --, --
Jack Campbell, Healthy, Edm, G, FA, @NYI, L 1-3, --, --, --, --, --, --, --
Anton Forsberg, Healthy, Ott, G, FA, @Ari, L 3-4, --, --, --, --, --, --, --
Mackenzie Blackwood, IR, SJ, G, FA, LA, L 1-4, --, --, --, --, --, --, --
Justus Annunen, Healthy, Col, G, FA, @Chi, L 2-3, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, Phi, L 2-3, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, @Car, L 3-6, --, --, --, --, --, --, --
Arvid Soderblom, Healthy, Chi, G, FA, Col, W 3-2, --, --, --, --, --, --, --
Yaroslav Askarov, Healthy, Nsh, G, FA, Van, L 2-5, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, @Ari, L 3-4, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, @Tor, W 5-2, --, --, --, --, --, --, --
Jesper Wallstedt, Healthy, Min, G, FA, @Bos, W 4-3, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, NYR, L 2-5, --, --, --, --, --, --, --
Spencer Martin, Healthy, Car, G, FA, Vgk, W 6-3, --, --, --, --, --, --, --
Ivan Prosvetov, Healthy, Col, G, FA, @Chi, L 2-3, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, Min, L 3-4, --, --, --, --, --, --, --
Pavel Francouz, IR, Col, G, FA, @Chi, L 2-3, --, --, --, --, --, --, --
Malcolm Subban, Healthy, StL, G, FA, @TB, L 1-6, --, --, --, --, --, --, --
Magnus Chrona, Healthy, SJ, G, FA, LA, L 1-4, --, --, --, --, --, --, --
Eric Comrie, Healthy, Buf, G, FA, Cls, L 4-9, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, @Buf, W 9-4, --, --, --, --, --, --, --
Cal Petersen, Healthy, Phi, G, FA, @NJ, W 3-2, --, --, --, --, --, --, --
Jaroslav Halak, Healthy, NYR, G, FA, @Tor, W 5-2, --, --, --, --, --, --, --
Felix Sandstrom, Healthy, Phi, G, FA, @NJ, W 3-2, --, --, --, --, --, --, --
Arturs Silovs, Healthy, Van, G, FA, @Nsh, W 5-2, --, --, --, --, --, --, --
Craig Anderson, Healthy, Buf, G, FA, Cls, L 4-9, --, --, --, --, --, --, --
Mike Smith, Healthy, Edm, G, FA, @NYI, L 1-3, --, --, --, --, --, --, --
Brian Elliott, Healthy, TB, G, FA, StL, W 6-1, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, Col, W 3-2, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, Min, L 3-4, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, Col, W 3-2, --, --, --, --, --, --, --
Matt Tomkins, Healthy, TB, G, FA, StL, W 6-1, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, Col, W 3-2, --, --, --, --, --, --, --
Michael Hrabal, Healthy, Ari, G, FA, Ott, W 4-3, --, --, --, --, --, --, --
Thomas Greiss, Healthy, StL, G, FA, @TB, L 1-6, --, --, --, --, --, --, --
Eetu Makiniemi, Healthy, SJ, G, FA, LA, L 1-4, --, --, --, --, --, --, --
Jaxson Stauber, Healthy, Chi, G, FA, Col, W 3-2, --, --, --, --, --, --, --
Jonathan Bernier, Healthy, NJ, G, FA, Phi, L 2-3, --, --, --, --, --, --, --
Niklas Svedberg, Healthy, Min, G, FA, @Bos, W 4-3, --, --, --, --, --, --, --
Hunter Miska, Healthy, Col, G, FA, @Chi, L 2-3, --, --, --, --, --, --, --
Hugo Alnefelt, Healthy, TB, G, FA, StL, W 6-1, --, --, --, --, --, --, --
