Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Darcy Kuemper, Healthy, Wsh, G, CLB, @Car, W 2-1, 1, 1, 0, 1, 28, 0, 6.3
Alexandar Georgiev, Healthy, Col, G, SLC, SJ, W 6-2, 1, 1, 0, 2, 25, 0, 5.5
John Gibson, Healthy, Ana, G, FA, @NJ, W 5-1, 1, 1, 0, 1, 18, 0, 5.3
Thatcher Demko, O, Van, G, BOWS, @Chi, W 4-3, 1, 1, 0, 3, 25, 0, 5.0
Logan Thompson, Healthy, Vgk, G, DINK, Ott, W 6-3, 0, 1, 0, 2, 20, 0, 5.0
Pyotr Kochetkov, Healthy, Car, G, BBS, Wsh, L 1-2, 1, 0, 0, 1, 20, 0, 1.5
Lukas Dostal, Healthy, Ana, G, FA, @NJ, W 5-1, 0, 0, 0, 0, 10, 0, 1.0
Frederik Andersen, Healthy, Car, G, BBS, Wsh, L 1-2, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, @Col, L 2-6, --, --, --, --, --, --, --
Charlie Lindgren, Healthy, Wsh, G, FA, @Car, W 2-1, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, FA, @Chi, W 4-3, --, --, --, --, --, --, --
Antti Raanta, Healthy, Car, G, FA, Wsh, L 1-2, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, Ana, L 1-5, --, --, --, --, --, --, --
Anton Forsberg, Healthy, Ott, G, FA, @Vgk, L 3-6, --, --, --, --, --, --, --
Justus Annunen, Healthy, Col, G, FA, SJ, W 6-2, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, Ott, W 6-3, --, --, --, --, --, --, --
Kaapo Kahkonen, Healthy, NJ, G, FA, Ana, L 1-5, --, --, --, --, --, --, --
Arvid Soderblom, Healthy, Chi, G, FA, Van, L 3-4, --, --, --, --, --, --, --
Mads Sogaard, Healthy, Ott, G, FA, @Vgk, L 3-6, --, --, --, --, --, --, --
Ivan Prosvetov, Healthy, Col, G, FA, SJ, W 6-2, --, --, --, --, --, --, --
Pavel Francouz, IR, Col, G, FA, SJ, W 6-2, --, --, --, --, --, --, --
Magnus Chrona, Healthy, SJ, G, FA, @Col, L 2-6, --, --, --, --, --, --, --
Jiri Patera, Healthy, Vgk, G, FA, Ott, W 6-3, --, --, --, --, --, --, --
Hunter Shepard, Healthy, Wsh, G, FA, @Car, W 2-1, --, --, --, --, --, --, --
Arturs Silovs, Healthy, Van, G, FA, @Chi, W 4-3, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, Van, L 3-4, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, Van, L 3-4, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, Van, L 3-4, --, --, --, --, --, --, --
Eetu Makiniemi, Healthy, SJ, G, FA, @Col, L 2-6, --, --, --, --, --, --, --
Alex Stalock, Healthy, Ana, G, FA, @NJ, W 5-1, --, --, --, --, --, --, --
Jaxson Stauber, Healthy, Chi, G, FA, Van, L 3-4, --, --, --, --, --, --, --
