Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Justus Annunen, Healthy, Col, G, FA, Chi, W 5-0, 1, 1, 0, 0, 37, 1, 9.7
Jordan Binnington, Healthy, StL, G, ME, @Phi, W 2-1, 1, 1, 0, 1, 41, 0, 7.6
Jeremy Swayman, Healthy, Bos, G, SALT, @Tor, W 4-1, 1, 1, 0, 1, 32, 0, 6.7
Philipp Grubauer, Healthy, Sea, G, FA, @Cgy, W 4-2, 1, 1, 0, 2, 35, 0, 6.5
Daniil Tarasov, O, Cls, G, FA, Vgk, W 6-3, 1, 1, 0, 3, 36, 0, 6.1
Sergei Bobrovsky, Healthy, Fla, G, ME, @NYR, W 4-2, 1, 1, 0, 2, 26, 0, 5.6
Samuel Ersson, Healthy, Phi, G, BBS, StL, L 1-2, 1, 0, 0, 1, 24, 0, 1.9
Igor Shesterkin, Healthy, NYR, G, DINK, Fla, L 2-4, 1, 0, 1, 3, 26, 0, 0.1
Alexandar Georgiev, Healthy, Col, G, SLC, Chi, W 5-0, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, @Tor, W 4-1, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, @Cls, L 3-6, --, --, --, --, --, --, --
Ilya Samsonov, Healthy, Tor, G, HERB, Bos, L 1-4, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, StL, L 1-2, --, --, --, --, --, --, --
Joey Daccord, Healthy, Sea, G, FA, @Cgy, W 4-2, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, Fla, L 2-4, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, @NYR, W 4-2, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, Bos, L 1-4, --, --, --, --, --, --, --
Anthony Stolarz, Healthy, Fla, G, FA, @NYR, W 4-2, --, --, --, --, --, --, --
Dustin Wolf, Healthy, Cgy, G, SLC, Sea, L 2-4, --, --, --, --, --, --, --
Elvis Merzlikins, Healthy, Cls, G, FA, Vgk, W 6-3, --, --, --, --, --, --, --
Joel Hofer, Healthy, StL, G, FA, @Phi, W 2-1, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, @Cls, L 3-6, --, --, --, --, --, --, --
Arvid Soderblom, Healthy, Chi, G, FA, @Col, L 0-5, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, Fla, L 2-4, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, Bos, L 1-4, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, Vgk, W 6-3, --, --, --, --, --, --, --
Dan Vladar, O, Cgy, G, FA, Sea, L 2-4, --, --, --, --, --, --, --
Malcolm Subban, Healthy, Cls, G, FA, Vgk, W 6-3, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Ivan Prosvetov, Healthy, Col, G, FA, Chi, W 5-0, --, --, --, --, --, --, --
Chris Driedger, Healthy, Sea, G, FA, @Cgy, W 4-2, --, --, --, --, --, --, --
Pavel Francouz, IR, Col, G, FA, Chi, W 5-0, --, --, --, --, --, --, --
Jiri Patera, Healthy, Vgk, G, FA, @Cls, L 3-6, --, --, --, --, --, --, --
Jaroslav Halak, Healthy, NYR, G, FA, Fla, L 2-4, --, --, --, --, --, --, --
Artyom Zagidulin, Healthy, Cgy, G, FA, Sea, L 2-4, --, --, --, --, --, --, --
Cal Petersen, Healthy, Phi, G, FA, StL, L 1-2, --, --, --, --, --, --, --
Felix Sandstrom, Healthy, Phi, G, FA, StL, L 1-2, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, @Tor, W 4-1, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, @Col, L 0-5, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, @Col, L 0-5, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, @Col, L 0-5, --, --, --, --, --, --, --
