Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Stuart Skinner, Healthy, Edm, G, ME, Vgk, W 5-1, 1, 1, 0, 1, 17, 0, 5.2
Connor Ingram, Healthy, Ari, G, OXP, @Van, W 4-3, 1, 1, 0, 3, 23, 0, 4.8
Joel Hofer, Healthy, StL, G, FA, Chi, W 5-2, 1, 1, 0, 2, 18, 0, 4.8
Arvid Soderblom, Healthy, Chi, G, FA, @StL, L 2-5, 0, 0, 0, 2, 21, 0, 1.1
Thatcher Demko, Healthy, Van, G, BOWS, Ari, L 3-4, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, @Edm, L 1-5, --, --, --, --, --, --, --
Jordan Binnington, Healthy, StL, G, ME, Chi, W 5-2, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, Vgk, W 5-1, --, --, --, --, --, --, --
Casey DeSmith, Healthy, Van, G, FA, Ari, L 3-4, --, --, --, --, --, --, --
Karel Vejmelka, Healthy, Ari, G, FA, @Van, W 4-3, --, --, --, --, --, --, --
Jack Campbell, Healthy, Edm, G, FA, Vgk, W 5-1, --, --, --, --, --, --, --
Robin Lehner, IR, Vgk, G, FA, @Edm, L 1-5, --, --, --, --, --, --, --
Jiri Patera, Healthy, Vgk, G, FA, @Edm, L 1-5, --, --, --, --, --, --, --
Mike Smith, Healthy, Edm, G, FA, Vgk, W 5-1, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, @StL, L 2-5, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, @StL, L 2-5, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, @StL, L 2-5, --, --, --, --, --, --, --
Thomas Greiss, Healthy, StL, G, FA, Chi, W 5-2, --, --, --, --, --, --, --
Michael Hrabal, Healthy, Ari, G, FA, @Van, W 4-3, --, --, --, --, --, --, --
Jaxson Stauber, Healthy, Chi, G, FA, @StL, L 2-5, --, --, --, --, --, --, --
Mikko Koskinen, Healthy, Edm, G, FA, Vgk, W 5-1, --, --, --, --, --, --, --
Jeff Glass, Healthy, Chi, G, FA, @StL, L 2-5, --, --, --, --, --, --, --
Zach Sawchenko, Healthy, Van, G, FA, Ari, L 3-4, --, --, --, --, --, --, --
Harri Sateri, Healthy, Ari, G, FA, @Van, W 4-3, --, --, --, --, --, --, --
Matthew Berlin, Healthy, Edm, G, FA, Vgk, W 5-1, --, --, --, --, --, --, --
Shane Starrett, Healthy, Edm, G, FA, Vgk, W 5-1, --, --, --, --, --, --, --
Josef Korenar, Healthy, Ari, G, FA, @Van, W 4-3, --, --, --, --, --, --, --
Matt Villalta, Healthy, Ari, G, FA, @Van, W 4-3, --, --, --, --, --, --, --
Arturs Silovs, Healthy, Van, G, FA, Ari, L 3-4, 1, 0, 0, 4, 14, 0, -0.6
Adin Hill, Healthy, Vgk, G, DINK, @Edm, L 1-5, 1, 0, 1, 5, 20, 0, -1.5
Petr Mrazek, Healthy, Chi, G, FA, @StL, L 2-5, 1, 0, 1, 3, 0, 0, -2.5
Connor Hellebuyck, O, Wpg, G, HERB, --, --, --, --, --, --, --, --, --
