Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Jake Oettinger, Healthy, Dal, G, LKR, Ana, W 5-0, 1, 1, 0, 0, 31, 1, 9.1
Jake Allen, Healthy, Mon, G, FA, @Cgy, W 2-1, 1, 1, 0, 1, 45, 0, 8.0
Spencer Knight, IR, Fla, G, FA, @Van, W 5-1, 1, 1, 0, 1, 32, 0, 6.7
Tristan Jarry, Healthy, Pit, G, HERB, Vgk, W 4-3, 1, 1, 0, 3, 34, 0, 5.9
Andrei Vasilevskiy, Healthy, TB, G, LKR, @Phi, W 4-1, 1, 1, 0, 1, 21, 0, 5.6
Philipp Grubauer, Healthy, Sea, G, BBS, Wsh, W 3-2, 1, 1, 0, 2, 21, 0, 5.1
Juuse Saros, Healthy, Nsh, G, SALT, @NJ, W 4-3, 1, 1, 0, 3, 25, 0, 5.0
Pyotr Kochetkov, Healthy, Car, G, HERB, @StL, W 6-4, 0, 1, 0, 1, 10, 0, 4.5
Alexandar Georgiev, Healthy, Col, G, SLC, @Buf, W 6-4, 1, 1, 0, 4, 24, 0, 4.4
Marc-Andre Fleury, Healthy, Min, G, LKR, Edm, W 5-3, 1, 1, 0, 3, 18, 0, 4.3
Jonathan Quick, Healthy, Vgk, G, FA, @Pit, L 3-4, 1, 1, 0, 3, 18, 0, 4.3
Logan Thompson, DTD, Vgk, G, DINK, @Pit, L 3-4, 1, 0, 1, 4, 43, 0, 1.3
Darcy Kuemper, Healthy, Wsh, G, SALT, @Sea, L 2-3, 1, 0, 0, 3, 22, 0, 0.7
Spencer Martin, Healthy, Van, G, FA, Fla, L 1-5, 0, 0, 0, 2, 12, 0, 0.2
Anthony Stolarz, IR, Ana, G, FA, @Dal, L 0-5, 1, 0, 1, 5, 36, 0, 0.1
Vitek Vanecek, Healthy, NJ, G, CLB, Nsh, L 3-4, 1, 0, 0, 4, 20, 0, 0.0
Frederik Andersen, Healthy, Car, G, HERB, @StL, W 6-4, 0, 0, 0, 0, 0, 0, --
Filip Gustavsson, Healthy, Min, G, OXP, Edm, W 5-3, 0, 0, 0, 0, 0, 0, --
Jordan Binnington, Healthy, StL, G, SLC, Car, L 4-6, 1, 0, 1, 4, 30, 0, 0.0
Sergei Bobrovsky, DTD, Fla, G, SLC, @Van, W 5-1, 0, 0, 0, 0, 0, 0, --
John Gibson, Healthy, Ana, G, ME, @Dal, L 0-5, 0, 0, 0, 0, 0, 0, --
Stuart Skinner, Healthy, Edm, G, BBS, @Min, L 3-5, 0, 0, 0, 0, 0, 0, --
Martin Jones, Healthy, Sea, G, DINK, Wsh, W 3-2, 0, 0, 0, 0, 0, 0, --
Pheonix Copley, Healthy, LA, G, HERB, Ari, W 5-3, 0, 0, 0, 0, 0, 0, --
Pavel Francouz, O, Col, G, FA, @Buf, W 6-4, 0, 0, 0, 0, 0, 0, --
Adin Hill, O, Vgk, G, FA, @Pit, L 3-4, 0, 0, 0, 0, 0, 0, --
Casey DeSmith, Healthy, Pit, G, FA, Vgk, W 4-3, 0, 0, 0, 0, 0, 0, --
Craig Anderson, O, Buf, G, FA, Col, L 4-6, 0, 0, 0, 0, 0, 0, --
Charlie Lindgren, O, Wsh, G, FA, @Sea, L 2-3, 0, 0, 0, 0, 0, 0, --
Sam Montembeault, Healthy, Mon, G, FA, @Cgy, W 2-1, 0, 0, 0, 0, 0, 0, --
Joel Hofer, Healthy, StL, G, FA, Car, L 4-6, 0, 0, 0, 0, 0, 0, --
Eric Comrie, Healthy, Buf, G, FA, Col, L 4-6, 0, 0, 0, 0, 0, 0, --
Robin Lehner, IR, Vgk, G, FA, @Pit, L 3-4, 0, 0, 0, 0, 0, 0, --
Cal Petersen, Healthy, LA, G, FA, Ari, W 5-3, 0, 0, 0, 0, 0, 0, --
Dan Vladar, Healthy, Cgy, G, FA, Mon, L 1-2, 0, 0, 0, 0, 0, 0, --
Mackenzie Blackwood, Healthy, NJ, G, FA, Nsh, L 3-4, 0, 0, 0, 0, 0, 0, --
Akira Schmid, Healthy, NJ, G, FA, Nsh, L 3-4, 0, 0, 0, 0, 0, 0, --
Kevin Lankinen, Healthy, Nsh, G, FA, @NJ, W 4-3, 0, 0, 0, 0, 0, 0, --
Alex Lyon, Healthy, Fla, G, FA, @Van, W 5-1, 0, 0, 0, 0, 0, 0, --
Laurent Brossoit, Healthy, Vgk, G, FA, @Pit, L 3-4, 0, 0, 0, 0, 0, 0, --
Collin Delia, Healthy, Van, G, FA, Fla, L 1-5, 0, 0, 0, 0, 0, 0, --
Brian Elliott, Healthy, TB, G, FA, @Phi, W 4-1, 0, 0, 0, 0, 0, 0, --
Ivan Prosvetov, Healthy, Ari, G, FA, @LA, L 3-5, 0, 0, 0, 0, 0, 0, --
Scott Wedgewood, O, Dal, G, FA, Ana, W 5-0, 0, 0, 0, 0, 0, 0, --
Connor Ingram, Healthy, Ari, G, FA, @LA, L 3-5, 0, 0, 0, 0, 0, 0, --
Thomas Greiss, DTD, StL, G, FA, Car, L 4-6, 0, 0, 0, 0, 0, 0, --
Carey Price, IR, Mon, G, FA, @Cgy, W 2-1, 0, 0, 0, 0, 0, 0, --
Lukas Dostal, Healthy, Ana, G, FA, @Dal, L 0-5, 0, 0, 0, 0, 0, 0, --
Jonas Johansson, Healthy, Col, G, FA, @Buf, W 6-4, 0, 0, 0, 0, 0, 0, --
Yaroslav Askarov, Healthy, Nsh, G, FA, @NJ, W 4-3, 0, 0, 0, 0, 0, 0, --
Jesper Wallstedt, Healthy, Min, G, FA, Edm, W 5-3, 0, 0, 0, 0, 0, 0, --
Felix Sandstrom, Healthy, Phi, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Malcolm Subban, Healthy, Buf, G, FA, Col, L 4-6, 0, 0, 0, 0, 0, 0, --
Mike Smith, O, Edm, G, FA, @Min, L 3-5, 0, 0, 0, 0, 0, 0, --
Michael Hutchinson, Healthy, Cls, G, FA, --, --, 0, 0, 0, 0, 0, 0, --
Mikko Koskinen, Healthy, Edm, G, FA, @Min, L 3-5, 0, 0, 0, 0, 0, 0, --
Dustin Wolf, Healthy, Cgy, G, FA, Mon, L 1-2, 0, 0, 0, 0, 0, 0, --
Braden Holtby, O, Dal, G, FA, Ana, W 5-0, 0, 0, 0, 0, 0, 0, --
