Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Connor Ingram, Healthy, Ari, G, FA, Cgy, W 4-3, 1, 1, 0, 3, 42, 0, 6.7
Juuse Saros, Healthy, Nsh, G, SALT, Det, W 2-1, 1, 1, 0, 1, 28, 0, 6.3
Sam Montembeault, Healthy, Mon, G, FA, @Pit, W 6-4, 1, 1, 0, 4, 39, 0, 5.9
Andrei Vasilevskiy, Healthy, TB, G, LKR, @NJ, W 4-1, 1, 1, 0, 1, 22, 0, 5.7
Joonas Korpisalo, Healthy, LA, G, DINK, NYI, W 5-2, 1, 1, 0, 2, 26, 0, 5.6
Thatcher Demko, Healthy, Van, G, BOWS, Dal, W 5-2, 1, 1, 0, 2, 25, 0, 5.5
Stuart Skinner, Healthy, Edm, G, BBS, Ott, W 6-3, 1, 1, 0, 3, 29, 0, 5.4
Igor Shesterkin, Healthy, NYR, G, DINK, Wsh, W 5-3, 1, 1, 0, 3, 28, 0, 5.3
Jonathan Quick, Healthy, Vgk, G, FA, @Phi, W 5-3, 1, 1, 0, 3, 27, 0, 5.2
Alex Stalock, Healthy, Chi, G, FA, Bos, W 6-3, 0, 1, 0, 3, 23, 0, 4.8
Frederik Andersen, Healthy, Car, G, HERB, Wpg, W 5-3, 1, 1, 0, 3, 21, 0, 4.6
Daniil Tarasov, Healthy, Cls, G, FA, @SJ, W 6-5, 1, 1, 0, 5, 27, 0, 4.2
Petr Mrazek, Healthy, Chi, G, FA, Bos, W 6-3, 1, 0, 0, 0, 16, 0, 1.6
Kaapo Kahkonen, Healthy, SJ, G, FA, Cls, L 5-6, 1, 0, 0, 6, 42, 0, 1.2
Ilya Sorokin, Healthy, NYI, G, CLB, @LA, L 2-5, 1, 0, 1, 4, 32, 0, 0.2
Darcy Kuemper, Healthy, Wsh, G, SALT, @NYR, L 3-5, 1, 0, 1, 4, 31, 0, 0.1
Jacob Markstrom, Healthy, Cgy, G, OXP, @Ari, L 3-4, 1, 0, 0, 4, 21, 0, 0.1
Connor Hellebuyck, Healthy, Wpg, G, ME, @Car, L 3-5, 0, 0, 0, 0, 0, 0, --
Jake Oettinger, Healthy, Dal, G, LKR, @Van, L 2-5, 0, 0, 0, 0, 0, 0, --
Jeremy Swayman, Healthy, Bos, G, BBS, @Chi, L 3-6, 0, 0, 0, 0, 0, 0, --
Logan Thompson, DTD, Vgk, G, DINK, @Phi, W 5-3, 0, 0, 0, 0, 0, 0, --
Jack Campbell, Healthy, Edm, G, FA, Ott, W 6-3, 0, 0, 0, 0, 0, 0, --
Carter Hart, DTD, Phi, G, OXP, Vgk, L 3-5, 0, 0, 0, 0, 0, 0, --
Cam Talbot, Healthy, Ott, G, ME, @Edm, L 3-6, 0, 0, 0, 0, 0, 0, --
Elvis Merzlikins, DTD, Cls, G, FA, @SJ, W 6-5, 0, 0, 0, 0, 0, 0, --
Pheonix Copley, Healthy, LA, G, HERB, NYI, W 5-2, 0, 0, 0, 0, 0, 0, --
Karel Vejmelka, Healthy, Ari, G, FA, Cgy, W 4-3, 0, 0, 0, 0, 0, 0, --
Antti Raanta, Healthy, Car, G, FA, Wpg, W 5-3, 0, 0, 0, 0, 0, 0, --
Pyotr Kochetkov, Healthy, Car, G, HERB, Wpg, W 5-3, 0, 0, 0, 0, 0, 0, --
Adin Hill, O, Vgk, G, FA, @Phi, W 5-3, 0, 0, 0, 0, 0, 0, --
Semyon Varlamov, Healthy, NYI, G, FA, @LA, L 2-5, 0, 0, 0, 0, 0, 0, --
Anton Forsberg, IR, Ott, G, FA, @Edm, L 3-6, 0, 0, 0, 0, 0, 0, --
James Reimer, Healthy, SJ, G, FA, Cls, L 5-6, 0, 0, 0, 0, 0, 0, --
Jake Allen, Healthy, Mon, G, FA, @Pit, W 6-4, 0, 0, 0, 0, 0, 0, --
Charlie Lindgren, O, Wsh, G, FA, @NYR, L 3-5, 0, 0, 0, 0, 0, 0, --
Jaroslav Halak, Healthy, NYR, G, FA, Wsh, W 5-3, 0, 0, 0, 0, 0, 0, --
Robin Lehner, IR, Vgk, G, FA, @Phi, W 5-3, 0, 0, 0, 0, 0, 0, --
Cal Petersen, Healthy, LA, G, FA, NYI, W 5-2, 0, 0, 0, 0, 0, 0, --
Dan Vladar, Healthy, Cgy, G, FA, @Ari, L 3-4, 0, 0, 0, 0, 0, 0, --
Mackenzie Blackwood, Healthy, NJ, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Akira Schmid, Healthy, NJ, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Alex Nedeljkovic, Healthy, Det, G, FA, @Nsh, L 1-2, 0, 0, 0, 0, 0, 0, --
Kevin Lankinen, Healthy, Nsh, G, FA, Det, W 2-1, 0, 0, 0, 0, 0, 0, --
Laurent Brossoit, Healthy, Vgk, G, FA, @Phi, W 5-3, 0, 0, 0, 0, 0, 0, --
Collin Delia, Healthy, Van, G, FA, Dal, W 5-2, 0, 0, 0, 0, 0, 0, --
Brian Elliott, Healthy, TB, G, FA, @NJ, W 4-1, 0, 0, 0, 0, 0, 0, --
Ivan Prosvetov, Healthy, Ari, G, FA, Cgy, W 4-3, 0, 0, 0, 0, 0, 0, --
Spencer Martin, Healthy, Van, G, FA, Dal, W 5-2, 0, 0, 0, 0, 0, 0, --
Scott Wedgewood, O, Dal, G, FA, @Van, L 2-5, 0, 0, 0, 0, 0, 0, --
Samuel Ersson, Healthy, Phi, G, FA, Vgk, L 3-5, 0, 0, 0, 0, 0, 0, --
Carey Price, IR, Mon, G, FA, @Pit, W 6-4, 0, 0, 0, 0, 0, 0, --
Magnus Hellberg, Healthy, Det, G, FA, @Nsh, L 1-2, 0, 0, 0, 0, 0, 0, --
Yaroslav Askarov, Healthy, Nsh, G, FA, Det, W 2-1, 0, 0, 0, 0, 0, 0, --
Tuukka Rask, Healthy, Bos, G, FA, @Chi, L 3-6, 0, 0, 0, 0, 0, 0, --
Mike Smith, O, Edm, G, FA, Ott, W 6-3, 0, 0, 0, 0, 0, 0, --
Michael Hutchinson, Healthy, Cls, G, FA, @SJ, W 6-5, 0, 0, 0, 0, 0, 0, --
Mikko Koskinen, Healthy, Edm, G, FA, Ott, W 6-3, 0, 0, 0, 0, 0, 0, --
Arvid Soderblom, Healthy, Chi, G, FA, Bos, W 6-3, 0, 0, 0, 0, 0, 0, --
Kevin Mandolese, Healthy, Ott, G, FA, @Edm, L 3-6, 0, 0, 0, 0, 0, 0, --
Dustin Wolf, Healthy, Cgy, G, FA, @Ari, L 3-4, 0, 0, 0, 0, 0, 0, --
Jaxson Stauber, Healthy, Chi, G, FA, Bos, W 6-3, 0, 0, 0, 0, 0, 0, --
Braden Holtby, O, Dal, G, FA, @Van, L 2-5, 0, 0, 0, 0, 0, 0, --
Pekka Rinne, Healthy, Nsh, G, FA, Det, W 2-1, 0, 0, 0, 0, 0, 0, --
Louis Domingue, Healthy, NYR, G, FA, Wsh, W 5-3, 0, 0, 0, 0, 0, 0, --
Anton Khudobin, Healthy, Chi, G, FA, Bos, W 6-3, 0, 0, 0, 0, 0, 0, --
Dustin Tokarski, Healthy, Pit, G, FA, Mon, L 4-6, 0, 0, 0, 0, 0, 0, --
Michael DiPietro, Healthy, Van, G, FA, Dal, W 5-2, 0, 0, 0, 0, 0, 0, --
Cayden Primeau, Healthy, Mon, G, FA, @Pit, W 6-4, 0, 0, 0, 0, 0, 0, --
Jonathan Bernier, IR, NJ, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Nico Daws, Healthy, NJ, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Jon Gillies, Healthy, Cls, G, FA, @SJ, W 6-5, 0, 0, 0, 0, 0, 0, --
Jiri Patera, Healthy, Vgk, G, FA, @Phi, W 5-3, 0, 0, 0, 0, 0, 0, --
Aaron Dell, Healthy, SJ, G, FA, Cls, L 5-6, 0, 0, 0, 0, 0, 0, --
Cory Schneider, Healthy, NYI, G, FA, @LA, L 2-5, 0, 0, 0, 0, 0, 0, --
Curtis McElhinney, Healthy, TB, G, FA, @NJ, W 4-1, 0, 0, 0, 0, 0, 0, --
Zach Fucale, Healthy, Wsh, G, FA, @NYR, L 3-5, 0, 0, 0, 0, 0, 0, --
Arturs Silovs, Healthy, Van, G, FA, Dal, W 5-2, 0, 0, 0, 0, 0, 0, --
Hugo Alnefelt, Healthy, TB, G, FA, @NJ, W 4-1, 0, 0, 0, 0, 0, 0, --
Antti Niemi, Healthy, Mon, G, FA, @Pit, W 6-4, 0, 0, 0, 0, 0, 0, --
Troy Grosenick, Healthy, Phi, G, FA, Vgk, L 3-5, 0, 0, 0, 0, 0, 0, --
Adam Huska, Healthy, NYR, G, FA, Wsh, W 5-3, 0, 0, 0, 0, 0, 0, --
Calvin Pickard, Healthy, Edm, G, FA, Ott, W 6-3, 0, 0, 0, 0, 0, 0, --
Maxime Lagace, Healthy, TB, G, FA, @NJ, W 4-1, 0, 0, 0, 0, 0, 0, --
Garret Sparks, Healthy, LA, G, FA, NYI, W 5-2, 0, 0, 0, 0, 0, 0, --
Mike Condon, Healthy, TB, G, FA, @NJ, W 4-1, 0, 0, 0, 0, 0, 0, --
Eddie Lack, Healthy, NJ, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Andrew Hammond, Healthy, NJ, G, FA, TB, L 1-4, 0, 0, 0, 0, 0, 0, --
Harri Sateri, Healthy, Ari, G, FA, Cgy, W 4-3, 0, 0, 0, 0, 0, 0, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, Det, W 2-1, 0, 0, 0, 0, 0, 0, --
Kenneth Appleby, Healthy, NYI, G, FA, @LA, L 2-5, 0, 0, 0, 0, 0, 0, --
Jack LaFontaine, Healthy, TB, G, FA, @NJ, W 4-1, 0, 0, 0, 0, 0, 0, --
Artyom Zagidulin, Healthy, Cgy, G, FA, @Ari, L 3-4, 0, 0, 0, 0, 0, 0, --
Josef Korenar, Healthy, Ari, G, FA, Cgy, W 4-3, 0, 0, 0, 0, 0, 0, --
Alexei Melnichuk, Healthy, TB, G, FA, @NJ, W 4-1, 0, 0, 0, 0, 0, 0, --
Danny Taylor, Healthy, Ott, G, FA, @Edm, L 3-6, 0, 0, 0, 0, 0, 0, --
Zach Sawchenko, Healthy, Car, G, FA, Wpg, W 5-3, 0, 0, 0, 0, 0, 0, --
Jeff Glass, Healthy, Chi, G, FA, Bos, W 6-3, 0, 0, 0, 0, 0, 0, --
Jean-Francois Berube, Healthy, Cls, G, FA, @SJ, W 6-5, 0, 0, 0, 0, 0, 0, --
Dylan Wells, Healthy, Dal, G, FA, @Van, L 2-5, 0, 0, 0, 0, 0, 0, --
Oscar Dansk, Healthy, Cgy, G, FA, @Ari, L 3-4, 0, 0, 0, 0, 0, 0, --
Shane Starrett, Healthy, Edm, G, FA, Ott, W 6-3, 0, 0, 0, 0, 0, 0, --
