Name, Health, NHL Team, Position, GFHL Team, GS, W, L, GA, SV, SO, FPTS
Elvis Merzlikins, DTD, Cls, G, FA, 27, 7, 18, 110, 779, 0, 32.9
Anthony Stolarz, IR, Ana, G, FA, 12, 5, 6, 51, 443, 0, 32.8
Alex Nedeljkovic, Healthy, Det, G, FA, 12, 5, 6, 46, 393, 0, 30.3
Lukas Dostal, Healthy, Ana, G, FA, 14, 4, 8, 57, 508, 0, 30.3
Jaxson Stauber, Healthy, Chi, G, FA, 6, 5, 1, 17, 174, 0, 27.9
Magnus Hellberg, Healthy, Det, G, FA, 14, 5, 8, 47, 383, 0, 26.8
Daniil Tarasov, Healthy, Cls, G, FA, 16, 4, 11, 57, 471, 0, 23.6
Laurent Brossoit, Healthy, Vgk, G, FA, 6, 3, 0, 16, 184, 0, 22.4
Cal Petersen, Healthy, LA, G, FA, 9, 5, 3, 34, 223, 0, 22.3
Erik Kallgren, Healthy, Tor, G, FA, 9, 3, 2, 25, 221, 0, 19.6
Joel Hofer, Healthy, StL, G, FA, 5, 3, 0, 12, 130, 0, 19.0
Joseph Woll, Healthy, Tor, G, FA, 4, 3, 1, 8, 113, 0, 18.3
Ivan Prosvetov, Healthy, Ari, G, FA, 4, 3, 1, 12, 124, 0, 17.4
Arturs Silovs, Healthy, Van, G, FA, 5, 3, 2, 14, 138, 0, 16.8
Arvid Soderblom, Healthy, Chi, G, FA, 13, 2, 10, 48, 405, 0, 14.5
Jonas Johansson, Healthy, Col, G, FA, 2, 2, 0, 5, 68, 0, 12.3
Jiri Patera, Healthy, Vgk, G, FA, 2, 2, 0, 5, 65, 0, 12.0
Joey Daccord, Healthy, Sea, G, FA, 3, 2, 0, 9, 84, 0, 11.9
Felix Sandstrom, Healthy, Phi, G, FA, 16, 2, 11, 59, 440, 0, 11.5
Dylan Ferguson, Healthy, Ott, G, FA, 2, 1, 1, 5, 78, 0, 8.3
Kevin Mandolese, Healthy, Ott, G, FA, 3, 1, 2, 10, 109, 0, 7.9
Michael Hutchinson, Healthy, Cls, G, FA, 6, 1, 4, 37, 260, 0, 7.5
Keith Kinkaid, Healthy, Col, G, FA, 1, 1, 0, 2, 38, 0, 6.8
Dustin Tokarski, Healthy, Pit, G, FA, 2, 1, 2, 12, 105, 0, 6.5
Devon Levi, Healthy, Buf, G, SALT, 1, 1, 0, 2, 31, 0, 6.1
Eetu Makiniemi, Healthy, SJ, G, FA, 1, 1, 0, 3, 29, 0, 5.4
Jon Gillies, Healthy, Cls, G, FA, 1, 1, 0, 3, 24, 0, 4.9
Justus Annunen, Healthy, Col, G, FA, 2, 1, 1, 7, 41, 0, 3.6
Matt Murray, Healthy, Dal, G, FA, 3, 1, 2, 10, 54, 0, 2.4
Aaron Dell, Healthy, SJ, G, FA, 3, 0, 3, 9, 94, 0, 1.9
Dylan Wells, Healthy, Dal, G, FA, 0, 0, 0, 1, 12, 0, 0.7
Cayden Primeau, Healthy, Mon, G, FA, 1, 0, 1, 3, 30, 0, 0.5
Yaroslav Askarov, Healthy, Nsh, G, FA, 1, 0, 1, 4, 31, 0, 0.1
Matthew Berlin, Healthy, Edm, G, FA, 0, 0, 0, 0, 1, 0, 0.1
Robin Lehner, IR, Vgk, G, FA, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, --, --, --, --, --, --, --
Jesper Wallstedt, Healthy, Min, G, FA, --, --, --, --, --, --, --
