Name, Health, NHL Team, Position, GFHL Team, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Erik Karlsson, Healthy, SJ, D, CLB, 76, 22, 73, -14, 34, 4, 21, 0, 0, 4, 0, 1, 1, 200, 31, 82, 226.55
Tage Thompson, DTD, Buf, C- RW, ME, 72, 44, 45, 6, 35, 19, 13, 1, 0, 6, 342, 449, 4, 269, 49, 24, 225.65
Joe Pavelski, Healthy, Dal, RW- C, BBS, 76, 24, 46, 36, 8, 11, 13, 0, 1, 1, 346, 301, 1, 175, 84, 62, 224.9
Roman Josi, DTD, Nsh, D, SALT, 67, 18, 41, 5, 36, 8, 16, 0, 0, 5, 0, 0, 0, 269, 51, 146, 224.6
Tim Stutzle, Healthy, Ott, LW- C, LKR, 73, 37, 47, -4, 48, 9, 17, 3, 0, 3, 194, 271, 1, 209, 107, 48, 223.75
Ryan Nugent-Hopkins, Healthy, Edm, C- LW, BBS, 77, 35, 62, 8, 33, 14, 36, 1, 2, 3, 303, 367, 0, 189, 44, 25, 223.4
Rasmus Dahlin, Healthy, Buf, D, BBS, 71, 14, 53, 10, 90, 5, 25, 0, 0, 2, 0, 0, 0, 188, 102, 119, 223.15
Dougie Hamilton, Healthy, NJ, D, BBS, 77, 20, 51, 21, 48, 8, 19, 0, 0, 7, 0, 0, 0, 262, 59, 82, 222.85
Moritz Seider, Healthy, Det, D, SALT, 76, 5, 35, -6, 40, 1, 13, 1, 1, 1, 0, 0, 0, 133, 189, 181, 222.5
Josh Morrissey, Healthy, Wpg, D, LKR, 74, 15, 56, -2, 39, 2, 25, 0, 0, 6, 0, 0, 0, 161, 84, 116, 221.65
Vincent Trocheck, Healthy, NYR, C, OXP, 77, 20, 41, 5, 51, 8, 8, 0, 0, 3, 687, 532, 0, 215, 178, 42, 219.3
Bo Horvat, Healthy, NYI, C, SALT, 75, 37, 28, -2, 18, 12, 10, 4, 1, 5, 906, 697, 0, 217, 53, 55, 217.45
Adam Larsson, Healthy, Sea, D, DINK, 75, 7, 24, 27, 39, 0, 0, 1, 0, 1, 0, 0, 0, 135, 203, 162, 217.0
Adam Fox, Healthy, NYR, D, SALT, 77, 12, 56, 28, 32, 1, 25, 0, 3, 5, 0, 0, 0, 157, 25, 119, 215.5
Darnell Nurse, Healthy, Edm, D, OXP, 77, 11, 31, 20, 64, 0, 1, 2, 1, 4, 0, 0, 0, 191, 136, 153, 215.5
Jack Hughes, Healthy, NJ, C- LW, BBS, 73, 40, 50, 7, 6, 8, 20, 0, 0, 6, 146, 274, 1, 321, 11, 30, 212.5
Zach Hyman, Healthy, Edm, LW- RW, LKR, 74, 34, 46, 11, 39, 15, 11, 0, 0, 3, 6, 6, 1, 262, 74, 18, 211.25
Claude Giroux, Healthy, Ott, LW- C- RW, CLB, 77, 29, 43, 4, 30, 7, 17, 0, 1, 5, 650, 471, 0, 196, 74, 27, 208.2
Kirill Kaprizov, O, Min, LW, CLB, 65, 39, 35, 6, 35, 16, 15, 0, 0, 6, 2, 4, 1, 250, 65, 28, 208.05
Alex Pietrangelo, Healthy, Vgk, D, DINK, 67, 9, 41, 7, 12, 1, 11, 0, 2, 3, 2, 0, 0, 150, 62, 164, 205.35
Dylan Larkin, Healthy, Det, C, OXP, 75, 31, 45, -3, 41, 15, 14, 1, 0, 5, 696, 577, 1, 233, 46, 26, 204.9
Elias Lindholm, Healthy, Cgy, RW- C, CLB, 75, 21, 42, 6, 14, 10, 11, 1, 2, 2, 812, 628, 0, 168, 91, 46, 204.35
Aleksander Barkov, Healthy, Fla, C, SALT, 63, 20, 51, 9, 6, 7, 20, 0, 1, 5, 684, 558, 1, 190, 45, 45, 204.25
Cale Makar, Healthy, Col, D, DINK, 60, 17, 49, 16, 30, 5, 25, 0, 0, 6, 0, 0, 0, 176, 65, 78, 203.35
Alex Tuch, Healthy, Buf, RW, LKR, 67, 35, 37, 11, 18, 8, 10, 1, 0, 8, 31, 37, 2, 193, 46, 44, 203.2
Timo Meier, Healthy, NJ, RW- LW, SALT, 73, 37, 24, -21, 39, 15, 5, 0, 0, 5, 21, 36, 1, 314, 146, 36, 203.05
Roope Hintz, Healthy, Dal, C- LW, ME, 68, 34, 35, 28, 30, 8, 11, 3, 0, 4, 238, 219, 2, 173, 42, 42, 202.05
Brandon Montour, Healthy, Fla, D, CLB, 75, 14, 51, 8, 101, 3, 26, 0, 0, 5, 0, 0, 0, 222, 92, 81, 201.7
Jake Guentzel, Healthy, Pit, LW, SALT, 73, 35, 34, 3, 42, 10, 10, 0, 0, 6, 8, 8, 0, 237, 79, 44, 201.2
William Nylander, Healthy, Tor, RW- LW, LKR, 76, 37, 45, 10, 26, 8, 18, 0, 0, 5, 25, 34, 0, 264, 17, 26, 201.0
Adrian Kempe, Healthy, LA, C- LW- RW, DINK, 77, 36, 23, 23, 40, 9, 7, 3, 0, 5, 16, 35, 1, 228, 112, 29, 199.25
Joel Eriksson Ek, Healthy, Min, C, ME, 76, 23, 37, 5, 40, 12, 11, 2, 1, 1, 671, 692, 0, 244, 117, 51, 195.4
Vince Dunn, Healthy, Sea, D, LKR, 75, 13, 48, 24, 51, 0, 15, 0, 0, 2, 0, 0, 0, 139, 110, 74, 194.55
Miro Heiskanen, Healthy, Dal, D, LKR, 73, 11, 55, 6, 28, 2, 27, 0, 1, 2, 0, 0, 0, 199, 46, 91, 194.4
Jared Spurgeon, Healthy, Min, D, DINK, 75, 10, 23, 32, 12, 1, 3, 0, 1, 2, 0, 0, 0, 140, 65, 175, 194.3
Kyle Connor, Healthy, Wpg, LW, BBS, 77, 30, 48, -10, 18, 7, 20, 0, 0, 8, 2, 5, 2, 261, 41, 21, 194.3
Charlie McAvoy, Healthy, Bos, D, SLC, 63, 7, 43, 29, 46, 2, 17, 0, 0, 2, 0, 0, 0, 99, 80, 126, 192.55
Rickard Rakell, Healthy, Pit, C- LW- RW, HERB, 77, 27, 29, -1, 16, 10, 8, 0, 0, 1, 10, 11, 0, 229, 135, 51, 192.2
Victor Hedman, Healthy, TB, D, LKR, 72, 8, 37, 15, 30, 0, 12, 1, 2, 1, 0, 0, 0, 176, 91, 129, 191.9
Clayton Keller, Healthy, Ari, C- LW- RW, SLC, 77, 36, 46, 0, 43, 6, 14, 1, 0, 4, 21, 40, 2, 204, 16, 32, 191.5
Tyler Toffoli, Healthy, Cgy, RW- LW, SLC, 77, 33, 38, 16, 26, 10, 15, 0, 0, 4, 7, 5, 0, 246, 59, 13, 190.15
Logan Couture, Healthy, SJ, C, BOWS, 76, 27, 37, -20, 19, 5, 14, 1, 0, 4, 611, 688, 0, 185, 125, 65, 189.4
Hampus Lindholm, Healthy, Bos, D, SLC, 75, 10, 41, 45, 54, 1, 15, 0, 0, 2, 0, 0, 0, 151, 70, 96, 188.95
Artemi Panarin, Healthy, NYR, LW, HERB, 77, 25, 62, 5, 34, 6, 26, 0, 0, 4, 5, 12, 1, 192, 24, 11, 188.8
Evgeni Malkin, Healthy, Pit, C, SLC, 77, 25, 55, -8, 82, 10, 25, 0, 0, 3, 404, 407, 0, 225, 52, 31, 187.85
Sebastian Aho, Healthy, Car, C, SALT, 69, 34, 30, 8, 34, 7, 8, 3, 1, 9, 494, 463, 3, 207, 53, 19, 187.05
Brayden McNabb, Healthy, Vgk, D, CLB, 76, 1, 16, 15, 49, 0, 0, 0, 2, 0, 0, 0, 0, 83, 191, 182, 186.7
Devon Toews, Healthy, Col, D, BBS, 73, 6, 34, 34, 18, 1, 3, 0, 0, 0, 0, 0, 0, 150, 88, 131, 186.35
Chandler Stephenson, Healthy, Vgk, C- LW- RW, HERB, 76, 14, 45, 9, 26, 6, 8, 1, 2, 4, 635, 453, 0, 112, 73, 52, 186.2
Justin Faulk, Healthy, StL, D, FA, 77, 10, 34, -7, 28, 2, 7, 0, 0, 2, 0, 0, 0, 188, 110, 129, 185.75
Carter Verhaeghe, Healthy, Fla, C- LW, HERB, 76, 40, 30, 14, 44, 7, 6, 0, 0, 2, 18, 21, 1, 263, 28, 29, 185.5
Drew Doughty, Healthy, LA, D, ME, 76, 8, 40, 13, 34, 4, 20, 0, 0, 2, 0, 0, 0, 138, 109, 101, 185.1
Jack Eichel, Healthy, Vgk, C, BBS, 63, 27, 35, 23, 4, 2, 11, 0, 0, 2, 338, 405, 2, 212, 56, 52, 184.65
Chris Kreider, Healthy, NYR, LW- RW, LKR, 74, 33, 18, 22, 26, 7, 9, 4, 0, 3, 38, 44, 0, 219, 124, 23, 184.15
Brock Nelson, Healthy, NYI, C- LW, CLB, 78, 32, 37, 11, 24, 6, 11, 0, 0, 6, 460, 529, 0, 212, 49, 41, 183.85
Rasmus Andersson, Healthy, Cgy, D, HERB, 74, 11, 39, 4, 26, 1, 21, 1, 1, 4, 0, 0, 0, 158, 48, 124, 183.6
Quinn Hughes, Healthy, Van, D, HERB, 72, 7, 66, 15, 26, 2, 31, 0, 1, 0, 1, 0, 0, 145, 25, 68, 183.5
Brandon Hagel, Healthy, TB, LW- RW, DINK, 77, 27, 32, 21, 52, 6, 6, 1, 2, 3, 23, 57, 1, 165, 66, 57, 180.7
Alex DeBrincat, Healthy, Ott, LW, SLC, 77, 26, 36, -29, 33, 10, 18, 0, 0, 6, 10, 9, 0, 250, 108, 35, 178.7
Brent Burns, Healthy, Car, D, BBS, 76, 14, 42, 15, 44, 3, 19, 0, 0, 2, 1, 0, 0, 231, 38, 83, 178.45
"KAndre Miller", Healthy, NYR, D, ME, 74, 9, 32, 12, 45, 0, 3, 0, 2, 2, 0, 0, 0, 108, 156, 96, 177.35
Mats Zuccarello, Healthy, Min, RW- LW, CLB, 74, 22, 43, 0, 26, 9, 18, 0, 0, 3, 22, 34, 1, 188, 49, 50, 177.2
Tomas Hertl, Healthy, SJ, C, BOWS, 73, 21, 39, -27, 36, 6, 14, 0, 0, 1, 736, 602, 0, 172, 89, 54, 175.2
Sam Reinhart, Healthy, Fla, RW- C, ME, 77, 29, 33, -14, 10, 15, 10, 0, 2, 5, 202, 206, 0, 212, 53, 45, 175.2
Jason Zucker, Healthy, Pit, LW, OXP, 73, 26, 20, 0, 43, 2, 7, 0, 0, 5, 4, 11, 0, 189, 192, 27, 174.75
Boone Jenner, Healthy, Cls, C- LW, BBS, 65, 26, 19, -27, 49, 7, 4, 0, 0, 3, 729, 601, 0, 211, 123, 68, 174.4
Andrei Svechnikov, IR, Car, LW- RW, SLC, 64, 23, 32, 6, 71, 5, 11, 0, 0, 4, 4, 5, 2, 205, 140, 17, 174.05
MacKenzie Weegar, Healthy, Cgy, D, BOWS, 76, 4, 26, 12, 43, 0, 3, 0, 1, 1, 0, 0, 0, 148, 178, 108, 173.4
Jean-Gabriel Pageau, Healthy, NYI, C, FA, 66, 13, 24, -4, 10, 5, 3, 3, 1, 2, 676, 523, 0, 114, 166, 57, 173.0
Luke Schenn, Healthy, Tor, D, FA, 65, 3, 18, 8, 73, 0, 0, 0, 2, 0, 0, 0, 0, 75, 296, 91, 173.0
Kevin Fiala, DTD, LA, C- LW- RW, CLB, 69, 23, 49, 2, 52, 7, 17, 0, 0, 2, 8, 8, 1, 208, 53, 18, 172.75
Matt Boldy, Healthy, Min, LW- RW, FA, 76, 29, 29, 3, 39, 8, 16, 0, 0, 5, 67, 51, 2, 244, 60, 25, 172.6
Brad Marchand, Healthy, Bos, LW, SALT, 68, 20, 43, 25, 72, 8, 19, 0, 1, 4, 20, 32, 0, 171, 76, 21, 172.5
Radko Gudas, Healthy, Fla, D, BOWS, 67, 2, 11, 11, 72, 0, 0, 0, 0, 0, 0, 0, 0, 102, 285, 116, 172.5
Anders Lee, Healthy, NYI, LW, FA, 78, 27, 22, -4, 48, 5, 7, 0, 0, 4, 26, 23, 0, 199, 121, 55, 172.45
Jesper Bratt, Healthy, NJ, RW- LW, HERB, 77, 31, 37, 12, 6, 8, 13, 0, 0, 3, 0, 0, 1, 199, 21, 21, 171.85
Martin Necas, Healthy, Car, C- RW, HERB, 76, 27, 41, 3, 32, 9, 16, 0, 1, 4, 179, 215, 0, 227, 52, 20, 171.75
Mikael Backlund, Healthy, Cgy, C, CLB, 77, 17, 35, 18, 36, 5, 7, 1, 3, 2, 666, 630, 0, 246, 90, 30, 171.6
Kris Letang, Healthy, Pit, D, DINK, 59, 10, 26, -9, 30, 5, 12, 1, 0, 3, 0, 0, 0, 144, 154, 100, 171.6
Jeff Skinner, Healthy, Buf, LW- RW, LKR, 72, 33, 40, 12, 35, 8, 11, 0, 0, 3, 130, 149, 0, 215, 21, 14, 171.15
Mark Scheifele, Healthy, Wpg, C, LKR, 77, 39, 25, -16, 43, 11, 9, 0, 0, 8, 564, 609, 2, 194, 49, 37, 171.05
Alexander Romanov, DTD, NYI, D, OXP, 76, 2, 20, 13, 43, 0, 0, 0, 1, 0, 0, 0, 0, 100, 198, 129, 170.85
Lawson Crouse, Healthy, Ari, LW- RW, FA, 72, 22, 20, -1, 31, 5, 2, 0, 0, 3, 32, 47, 0, 138, 182, 54, 170.3
Jordan Kyrou, Healthy, StL, C- LW- RW, ME, 74, 36, 34, -35, 18, 11, 12, 0, 1, 5, 5, 7, 2, 256, 14, 34, 168.55
Neal Pionk, Healthy, Wpg, D, OXP, 77, 9, 22, -11, 37, 1, 2, 0, 1, 2, 0, 0, 0, 134, 164, 120, 168.15
Jared McCann, Healthy, Sea, LW- C, FA, 72, 35, 25, 9, 14, 6, 9, 2, 0, 2, 25, 49, 1, 181, 57, 25, 167.15
Phillip Danault, Healthy, LA, C, FA, 77, 18, 35, -10, 57, 3, 17, 0, 2, 1, 652, 554, 0, 143, 71, 71, 166.95
Alec Martinez, Healthy, Vgk, D, FA, 71, 2, 11, 24, 27, 0, 0, 0, 0, 1, 0, 0, 0, 68, 46, 231, 166.9
Matt Roy, Healthy, LA, D, FA, 77, 9, 15, 10, 20, 0, 0, 1, 1, 2, 0, 0, 0, 131, 109, 146, 166.05
Connor Clifton, Healthy, Bos, D, FA, 74, 5, 16, 22, 58, 0, 0, 1, 0, 0, 0, 0, 0, 89, 201, 113, 165.9
Pierre-Luc Dubois, Healthy, Wpg, C, SLC, 69, 26, 34, 4, 71, 10, 11, 0, 0, 1, 469, 489, 0, 191, 66, 44, 165.55
Gustav Forsling, Healthy, Fla, D, HERB, 77, 12, 27, 21, 40, 1, 4, 0, 1, 3, 0, 0, 0, 191, 64, 101, 165.05
Andrei Kuzmenko, Healthy, Van, LW, SLC, 75, 37, 32, 9, 8, 13, 4, 0, 0, 3, 0, 0, 1, 139, 13, 18, 165.0
Owen Tippett, Healthy, Phi, RW- LW, FA, 71, 23, 19, -13, 16, 7, 3, 0, 0, 3, 19, 11, 1, 208, 119, 64, 164.95
Thomas Chabot, O, Ott, D, ME, 68, 11, 30, -11, 52, 5, 15, 0, 0, 0, 0, 0, 0, 165, 79, 123, 164.25
Jani Hakanpaa, Healthy, Dal, D, HERB, 76, 6, 10, 19, 58, 0, 0, 0, 0, 1, 0, 0, 0, 82, 207, 122, 163.0
Noah Dobson, Healthy, NYI, D, SLC, 74, 13, 30, 0, 18, 5, 12, 0, 0, 2, 0, 0, 0, 199, 59, 96, 162.3
Mikey Anderson, DTD, LA, D, FA, 75, 5, 15, 21, 40, 1, 0, 0, 1, 1, 0, 0, 0, 88, 160, 128, 162.05
Esa Lindell, Healthy, Dal, D, ME, 76, 7, 16, 30, 10, 0, 0, 0, 2, 1, 0, 0, 0, 105, 84, 143, 161.7
Tyson Barrie, Healthy, Nsh, D, ME, 78, 13, 40, -6, 32, 4, 26, 0, 0, 1, 0, 0, 0, 150, 51, 84, 161.6
Garnet Hathaway, Healthy, Bos, RW- LW, FA, 79, 12, 9, 6, 69, 0, 0, 0, 1, 3, 3, 10, 0, 85, 254, 80, 161.35
Drake Batherson, Healthy, Ott, C- RW, OXP, 77, 21, 37, -37, 28, 14, 13, 0, 0, 2, 14, 24, 0, 233, 113, 33, 161.15
Brandon Tanev, Healthy, Sea, LW- RW, FA, 75, 15, 18, 20, 39, 0, 0, 0, 0, 3, 3, 21, 0, 108, 176, 65, 160.4
Brayden Schenn, Healthy, StL, C- LW, FA, 77, 21, 41, -28, 50, 6, 9, 0, 0, 3, 438, 498, 0, 135, 137, 38, 160.35
Jake DeBrusk, Healthy, Bos, LW- RW, BBS, 59, 25, 23, 24, 14, 6, 8, 0, 1, 6, 2, 7, 0, 179, 84, 21, 159.95
Pavel Buchnevich, DTD, StL, RW- LW, SALT, 59, 25, 41, 14, 34, 8, 13, 0, 2, 2, 57, 115, 1, 118, 52, 20, 159.45
Ryan Graves, Healthy, NJ, D, DINK, 74, 7, 16, 26, 24, 0, 0, 0, 2, 2, 0, 1, 0, 130, 78, 142, 159.4
Dawson Mercer, Healthy, NJ, C- RW, FA, 77, 24, 28, 17, 14, 2, 7, 1, 1, 5, 70, 92, 0, 152, 34, 59, 159.3
Dylan Cozens, Healthy, Buf, C- LW, FA, 74, 28, 34, -2, 41, 3, 13, 2, 1, 1, 522, 548, 1, 192, 54, 28, 159.2
Jake McCabe, DTD, Tor, D, FA, 70, 3, 20, 12, 50, 0, 0, 0, 0, 1, 0, 0, 0, 87, 150, 135, 159.2
Ryan Pulock, Healthy, NYI, D, FA, 78, 4, 20, 10, 14, 1, 4, 0, 0, 1, 0, 0, 0, 120, 136, 124, 158.9
Jeff Petry, Healthy, Pit, D, LKR, 56, 5, 23, 1, 20, 2, 6, 0, 0, 0, 0, 0, 0, 106, 180, 96, 158.1
Alex Killorn, Healthy, TB, LW- RW, FA, 77, 24, 35, 16, 39, 2, 9, 1, 1, 4, 1, 0, 0, 132, 54, 29, 157.6
William Karlsson, Healthy, Vgk, C, FA, 76, 14, 35, 10, 8, 2, 7, 2, 3, 2, 590, 474, 0, 150, 46, 47, 157.6
Noah Hanifin, Healthy, Cgy, D, BOWS, 76, 6, 29, 2, 33, 1, 6, 0, 1, 0, 0, 0, 0, 163, 73, 125, 156.65
Artturi Lehkonen, O, Col, LW- RW, FA, 62, 20, 29, 6, 28, 8, 12, 1, 0, 3, 4, 19, 0, 145, 89, 42, 155.4
Reilly Smith, Healthy, Vgk, RW- LW, HERB, 72, 24, 27, 8, 16, 6, 4, 4, 0, 4, 4, 3, 0, 167, 66, 29, 154.0
Scott Laughton, Healthy, Phi, C- RW, DINK, 72, 18, 23, -9, 50, 5, 4, 3, 4, 0, 475, 528, 0, 159, 150, 55, 153.6
Travis Konecny, Healthy, Phi, RW- LW, SALT, 54, 29, 27, -13, 73, 5, 9, 3, 3, 6, 26, 27, 1, 177, 51, 34, 152.6
Nazem Kadri, Healthy, Cgy, C, ME, 77, 23, 31, -15, 56, 10, 8, 0, 0, 4, 551, 614, 0, 250, 92, 31, 152.2
Noel Acciari, DTD, Tor, C- RW, FA, 71, 13, 8, -7, 19, 0, 0, 0, 2, 1, 313, 274, 0, 97, 225, 71, 151.7
J.T. Compher, Healthy, Col, RW- C, FA, 75, 16, 34, 7, 31, 5, 9, 0, 0, 3, 752, 785, 0, 145, 36, 77, 151.65
Scott Mayfield, Healthy, NYI, D, FA, 78, 5, 17, 5, 83, 0, 0, 0, 0, 0, 0, 0, 0, 106, 106, 159, 151.6
Jonathan Marchessault, Healthy, Vgk, LW, BOWS, 70, 26, 28, 0, 17, 8, 7, 0, 0, 4, 20, 32, 0, 218, 71, 14, 150.95
Zach Parise, Healthy, NYI, LW, FA, 78, 21, 11, 8, 24, 3, 1, 2, 1, 2, 12, 18, 0, 175, 89, 81, 150.7
Jordan Staal, Healthy, Car, C, FA, 75, 17, 15, 7, 30, 0, 0, 1, 1, 3, 757, 601, 0, 110, 146, 37, 150.65
Sean Durzi, Healthy, LA, D, HERB, 67, 9, 29, -8, 37, 1, 15, 0, 0, 1, 0, 0, 0, 103, 64, 124, 150.55
Dmitry Orlov, Healthy, Bos, D, SALT, 62, 6, 27, 7, 16, 1, 7, 0, 1, 2, 0, 0, 0, 113, 131, 81, 150.5
Ivan Barbashev, Healthy, Vgk, C- LW- RW, FA, 76, 15, 27, -4, 36, 2, 3, 0, 0, 2, 55, 88, 0, 120, 172, 43, 150.45
Jonas Siegenthaler, Healthy, NJ, D, FA, 76, 3, 17, 25, 44, 1, 0, 0, 0, 1, 0, 0, 0, 82, 96, 143, 149.6
Bryan Rust, Healthy, Pit, RW, FA, 76, 19, 26, -4, 27, 2, 9, 0, 1, 2, 5, 5, 0, 200, 96, 44, 149.1
Nick Suzuki, Healthy, Mon, C, OXP, 77, 23, 38, -14, 31, 7, 10, 0, 0, 2, 623, 693, 0, 149, 47, 51, 148.4
Andrew Peeke, Healthy, Cls, D, FA, 74, 5, 6, -38, 22, 0, 0, 0, 1, 1, 0, 0, 0, 83, 165, 182, 148.35
David Perron, Healthy, Det, RW, FA, 76, 20, 30, -3, 48, 6, 16, 0, 0, 3, 2, 9, 1, 178, 100, 21, 148.3
Ivan Provorov, Healthy, Phi, D, LKR, 76, 5, 19, -10, 22, 0, 2, 0, 2, 0, 0, 0, 0, 110, 93, 152, 148.2
Charlie Coyle, Healthy, Bos, C, FA, 77, 13, 28, 26, 28, 0, 0, 1, 4, 0, 499, 450, 0, 130, 64, 57, 147.8
Viktor Arvidsson, Healthy, LA, RW- LW, FA, 72, 24, 30, -5, 22, 9, 13, 1, 0, 2, 27, 39, 0, 212, 24, 43, 147.75
Sam Bennett, O, Fla, LW- C, FA, 63, 16, 24, 5, 54, 4, 5, 0, 0, 3, 424, 480, 0, 193, 150, 35, 147.55
Travis Hamonic, DTD, Ott, D, FA, 75, 6, 15, -5, 71, 0, 1, 0, 3, 1, 0, 0, 0, 136, 109, 143, 146.2
David Krejci, DTD, Bos, C, OXP, 70, 16, 40, 23, 20, 4, 8, 0, 0, 2, 351, 389, 0, 112, 41, 38, 146.2
Marcus Pettersson, IR, Pit, D, FA, 67, 1, 23, 4, 58, 0, 0, 0, 0, 0, 0, 0, 0, 95, 130, 130, 146.2
Erik Cernak, Healthy, TB, D, FA, 67, 2, 14, 10, 51, 0, 0, 1, 1, 0, 0, 1, 0, 86, 204, 99, 145.85
Mattias Ekholm, Healthy, Edm, D, FA, 73, 8, 21, 18, 26, 0, 4, 0, 1, 0, 0, 0, 0, 127, 88, 102, 145.75
Brian Dumoulin, Healthy, Pit, D, FA, 77, 1, 22, -2, 16, 0, 0, 0, 2, 0, 0, 0, 0, 78, 120, 136, 145.7
Ben Chiarot, Healthy, Det, D, FA, 70, 5, 14, -24, 47, 0, 0, 0, 0, 0, 0, 0, 0, 103, 138, 159, 145.5
Rasmus Ristolainen, DTD, Phi, D, FA, 68, 3, 15, -3, 28, 1, 3, 1, 2, 0, 0, 0, 0, 70, 144, 134, 145.15
Tanner Jeannot, Healthy, TB, LW- RW, FA, 74, 6, 12, -6, 107, 0, 0, 0, 1, 1, 10, 13, 0, 104, 286, 62, 144.95
Yanni Gourde, Healthy, Sea, LW- C- RW, FA, 74, 11, 33, 18, 66, 2, 0, 1, 0, 2, 436, 441, 0, 129, 103, 47, 144.7
Matty Beniers, Healthy, Sea, C, CLB, 73, 21, 31, 8, 2, 4, 6, 0, 0, 4, 374, 511, 0, 135, 73, 46, 144.5
Colton Parayko, Healthy, StL, D, FA, 74, 4, 23, -21, 30, 0, 2, 0, 1, 1, 0, 0, 0, 126, 112, 134, 144.45
Mark Giordano, DTD, Tor, D, FA, 74, 4, 20, 26, 53, 0, 0, 1, 0, 1, 0, 0, 0, 101, 57, 139, 144.4
Brenden Dillon, Healthy, Wpg, D, FA, 77, 2, 20, 2, 72, 0, 0, 0, 1, 0, 0, 0, 0, 79, 187, 103, 144.05
